Table: Table_1

Summa Ase härad ;169,11 ;687 ;326 ;;283 ;22,176 ;755 ;7,719 ;25 ;319 ;148 ;7 ;80 ;127 ;42 ;8 ;2,718 ;7,002 ;604 ;479 ;105 ;33 ;2,481 ;5,198 ;30 ;2,594 ;2,677 ;160 ;12,075 ;- ;1,955 ;52,260 ;1,838 ;2,634 ;
Bjerby ;8,25 ;30 ;;4 ;16 ;1,480 ;92 ;500 ;2 ;;15 ;;;;- ;- ;185 ;500 ;100 ;25 ;2 ;2 ;185 ;300 ;- ;185 ;200 ;-- ;800 ;;100 ;4,000 ;200 ;160 ;
Bareberg ;12,25 ;91 ;;29 ;15 ;1,590 ;195 ;1,200 ;;;;;;;;;160 ;700 ;20 ;60 ;;10 ;160 ;320 ;;160 ;40 ;- ;750 ;- ;15 ;7,500 ;;65 ;
Flakeberg ;15,25 ;86 131 ;;11 ;25 ;2,280 ;75 ;190 ;3 ;;;2 ;;;;;279 ;890 ;146 ;50 ;;;400 ;600 ;-- - ;350 475 ;576 125 ;- - ;1,467 ;;275 120 ;7,600 10,000 ;200 ;730 900 ;
Främmestad ;19,69 ;;;81 ;10 ;3,800 ;;813 ;;;;;;;;1 ;475 ;1,100 ;150 ;150 ;20 ;5 ;475 ;950 ;;;350 ;;2,250 ;- ;300 ;7,000 ;300 ;100 ;
Hyringa ;16,44 ;51 ;;40 ;;2,548 ;10 ;;;;;;;;;;318 ;800 ;80 ;43 ;18 ;;479 ;479 ;- ;318 ;;- ;1,000 ;- ;;;;;
Levene, del ;7,88 ;50 ;;15 ;15 ;1,400 ;50 ;300 ;;;;;;;;;125 ;540 ;30 ;45 ;5 ;10 ;100 ;250 ;- ;125 ;160 ;- ;800 ;- ;100 ;800 ;200 ;150 ;
Längnum ;13,39 ;63 ;;;20 ;2,400 ;30 ;50 ;;;;;;;;- ;146 ;1,637 ;13 ;20 ;- ;;146 ;292 ;- ;146 ;78 ;- ;780 ;- ;;3,600 ;100 ;80 ;
Malma ;13,75 ;90 ;;;;;;;10 ;;;;;;;- ;;;;;- ;;;;- ;;150 ;- ;1,550 ;- ;105 ;9,000 ;21 ;125 ;
Sparlösa ;22,18 ;96 ;;;;3,700 ;60 ;744 ;;;;;;;;- ;320 ;1,428 ;130 ;100 ;25 ;10 ;160 ;818 ;- ;629 ;550 ;;1,370 ;- ;280 ;13,400 ;600 ;480 ;
Tengene ;15,88 ;;;;60 ;3,100 ;155 ;380 ;;;;;;;3 ;;400 ;1,140 ;30 ;60 ;;15 ;355 ;700 ;- ;400 ;300 ;10 ;1,100 ;;450 ;6,500 ;1,500 ;300 ;
Trökörna ;18,56 ;107 ;;90 ;;1,860 ;30 ;4,500 ;5 ;;;;;12 ;;- ;180 ;530 ;15 ;45 ;5 ;5 ;200 ;300 ;- - ;180 ;250 ;- ;750 ;- ;50 ;4,800 ;;70 ;
Summa Viste härad ;163,47 ;879 ;441 ;;216 ;24,158 ;697 ;8,677 ;59 ;497 ;154 ;8 ;7 ;23 ;10 ;I ;2,588 ;9,265 ;714 ;598 ;75 ;01 ;2,660 ;5,009 ;- ;2,968 ;2,779 ;10 ;12,617 ;- ;1,873 ;74,200 ;3,121 ;3,160 ;
Gösslunds ;22,69 ;46 ;;61 ;40 ;2,700 ;15 ;536 ;;X ;;;;;;1 ;300 ;1,200 ;250 ;67 ;3 ;7 ;95 ;476 ;- ;300 ;500 ;- ;1.100 ;- ;430 ;7,870 ;245 ;570 ;
Hjerpâs, Höra och Vedum ;28,05 ;172 ;100 ;;;4,802 ;X 308 ;2,100 ;;;;;;89 ;;;500 ;1,890 ;273 ;76 ;47 ;;191 ;1,188 ;- ;630 ;600 ;- ;1,900 ;X 50 ;200 ;15,000 ;;400 ;
Häggesled ;10,38 ;49 ;;20 ;;1,398 ;19 ;705 ;27 ;;;;;;;;135 ;189 ;27 ;18 ;4 ;;297 ;280 ;;140 ;25 ;8 ;440 ;- ;105 ;450 ;170 ;160 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedum ;;;;;;970 ;58 ;253 ;;;;;;;5 ;;150 ;346 ;;;;;100 ;238 ;- ;136 ;195 ;;390 ;;82 ;3,024 ;;145 ;
Lavad ;9,50 ;;;;;1,871 ;168 ;437 ;8 ;;;;;;;;161 ;599 ;34 ;;;;107 ;238 ;;201 ;240 ;;542 ;;162 ;4,424 ;133 ;192 ;
Levene, del ;9,25 ;;;;;2,468 ;30 ;900 ;;;;;;;;;352 ;568 ;;;;;356 ;704 ;;352 ;440 ;;1,584 ;;392 ;5,058 ;400 ;220 ;
Mellby ;16,88 ;;;;;2,170 ;15 ;1,230 ;;;;;;;;;300 ;780 ;70 ;40 ;;;200 ;500 ;5 ;300 ;500 ;9 ;1,350 ;- ;120 ;5,000 ;450 ;250 ;
Otterstad med Senäte ;30,88 ;;161 ;;;2,700 ;650 ;5,325 ;10 ;;;;;;;;560 ;950 ;235 ;90 ;;;100 ;230 ;-- ;530 ;1,150 ;;1,650 ;- ;850 ;6,000 ;700 ;860 ;
Rackeby ;22 ;;;;;2,058 ;98 ;973 ;;;;;;;;;216 ;612 ;62 ;185 ;;;52 ;650 ;7 ;334 ;650 ;;430 ;;800 ;5,030 ;430 ;184 ;
R&da ;20,13 ;;;;;2,373 ;173 ;2,235 ;3 ;;;;;;;;294 ;930 ;55 ;48 ;;;200 ;535 ;- ;295 ;381 ;- ;1,153 ;18 ;380 ;6,800 ;69 ;184 ;
Skalunda ;10,63 ;;;;;2,000 ;15 ;40 ;;;;;;;;;;;;;;;;;- ;;350 ;- ;450 ;- ;500 ;2,250 ;140 ;345 ;
Sladene ;16,50 ;;;;;2,500 ;;1,805 ;10 ;;;;;;;;400 ;700 ;100 ;150 ;;;350 ;350 ;;300 ;560 ;;1,780 ;- ;200 ;6,400 ;200 ;500 ;
Strö ;12,81 ;;;;;993 ;164 ;1,598 ;;;;;;;;;195 ;310 ;131 ;40 ;;;;145 ;;150 ;430 ;;580 ;;400 ;2,040 ;200 ;300 ;
Sunnersberg ;27,88 ;;;;;3,345 ;30 ;2,199 ;5 ;;;;;;;;500 ;1,400 ;;50 ;50 ;10 ;140 ;700 ;15 ;480 ;750 ;;1,750 ;;450 ;2,180 ;;500 ;
Söne ;15 ;;;;;1,680 ;180 ;200 ;10 ;;;;;X ;;;136 ;490 ;150 ;50 ;;;50 ;200 ;1 ;125 ;200 ;8 ;610 ;20 ;500 ;2,900 ;20 ;350 ;
Tranum ;15,18 ;;;;;2,230 ;90 ;600 ;6 ;;;;;;;;220 ;1,000 ;170 ;120 ;10 ;;175 ;;;350 ;362 ;;975 ;;525 ;6,350 ;425 ;555 ;
Tâdene ;9,25 ;;;;;920 2,900 ;33 ;837 ;;;;;;;;;130 ;375 ;29 ;22 ;5 ;;42 ;208 ;;107 ;258 ;;462 ;- ;225 ;2,289 ;66 ;108 ;
Ufvered ;16,25 ;;;;;;270 ;10 ;;;;;;;;;300 ;1,000 ;100 ;25 ;25 ;;496 ;700 ;;250 ;450 ;;1,100 ;;150 ;8,000 ;250 ;300 ;
Yäla och Gillatad ;16,76 ;;;;;2,098 ;40 ;3,590 ;14 ;;;;;;;;250 ;840 ;24 ;50 ;;;106 ;604 ;;203 ;205 ;10 ;965 ;-- ;204 ;6,599 ;- ;100 ;
Ásaka ;;;;;;1,885 ;;280 ;;;;;;;;;2:0 ;610 ;25 ;30 ;20 ;;165 ;520 ;;233 ;500 ;;1.100 ;;180 ;6,200 ;;200 ;
Orslösa ;19,75 ;;;;;3,000 ;25 ;1,144 ;;;;;;;;;210 ;1,800 ;190 ;45 ;10 ;;508 ;810 ;20 ;200 ;685 ;;1,155 ;- ;420 ;6,110 ;560 ;1,200 ;
Summa Kâllands härad ;356,16 ;1,287 ;988 ;;504 ;46,561 ;2,481 ;26,997 ;115 ;646 ;206 ;24 ;297 ;442 ;92 ;6 ;5,589 ;16,589 ;2,007 ;1,108 ;453 ;70 ;3,730 ;9,276 ;48 ;5,616 ;9,431 ;33 ;21,466 ;88 ;7,275 ;109,974 ;4,458 ;7,623 ;
Eling ;10 ;60 ;31 ;;;875 ;380 ;190 ;8 ;49 ;;;;;;;120 ;480 ;10 ;50 ;12 ;3 ;30 ;85 ;3 ;98 ;30 ;24 ;600 ;18 ;60 ;3,600 ;30 ;24 ;
Essunga ;22,69 ;180 ;183 ;;;2,600 ;70 ;322 ;40 ;170 ;;;;;;2 ;265 ;1,960 ;10 ;200 ;20 ;;105 ;250 ;- ;265 ;9 ;5 ;1,325 ;14 ;55 ;12,150 ;200 ;35 ;
Foglum ;11 ;;;;;1,150 ;649 ;245 ;3 ;71 ;;;;;;;150 ;720 ;;75 ;5 ;10 ;50 ;75 ;;140 ;60 ;4 ;690 ;8 ;176 ;8,170 ;50 ;21 ;
Hallum ;7,50 ;;;;;1,818 ;60 ;80 ;;29 ;;;;;;i ;200 ;600 ;25 ;20 ;15 ;;300 ;475 ;- ;200 ;260 ;-- ;550 ;;180 ;3,700 ;40 ;100 ;
Kedum Lekasa ;13,56 11,50 ;144 43 ;;;;2,680 1,370 ;176 80 ;2,460 86 ;12 ;138 ;;;;143 ;11 ;;310 170 ;1,000 660 ;50 15 ;60 ;;10 ;290 ;630 ;- ;306 165 ;150 40 ;;1,300 ;20 ;100 ;10,000 ;200 ;50 ;
Levene, del ;;17 ;;;;700 ;20 ;20 ;;;;;;12 ;;1 ;56 ;300 ;;28 ;11 ;4 ;70 ;220 189 ;- - ;120 ;60 ;6 - ;900 400 ;20 ;300 ;6,460 3,000 ;100 60 ;80 50 ;
Long ;16 ;70 ;;;;3,051 ;160 ;30 ;7 ;40 ;;;;;3 ;2 ;320 ;900 ;100 ;50 ;10 ;5 ;446 ;900 ;- ;320 ;500 ;;1,400 ;;300 ;7,650 ;;300 ;
Naum ;13,19 ;91 ;;;36 ;2,303 ;590 ;300 ;;;;;;;;;300 ;995 ;20 ;100 ;3 ;18 ;12 ;565 ;;290 ;40 ;16 ;1,410 ;14 ;43 ;9,025 ;200 ;120 ;
Ryda med Halfas ;25 ;149 ;91 ;;106 ;3,690 ;45 ;1,809 ;;;;;;;;- ;485 ;1,200 ;150 ;50 ;25 ;15 ;416 ;864 ;;485 ;250 ;;1,890 ;;200 ;10,000 ;400 ;500 ;
Sandbäck eller Kyrk&s ;4 ;;;;;650 ;120 ;600 ;10 ;;;;;;;;100 ;290 ;;24 ;2 ;4 ;16 ;90 ;- ;100 ;4 ;5 ;500 ;20 ;;2,610 ;18 ;10 ;
Skarstad ;18,38 ;157 ;;;96 ;3,586 ;65 ;16 ;;104 ;;;;;1 ;- ;273 ;1.174 ;268 ;72 ;3 ;2 ;378 ;1,332 ;- - ;261 ;268 ;11 ;1,312 ;6 ;316 ;7,836 ;138 ;539 ;
Yara ;10,75 ;;;;;2,329 ;50 ;13 ;;45 ;19 ;;;;;- ;270 ;999 ;100 ;30 ;- ;5 ;125 ;350 ;;450 ;300 ;;1,200 ;;50 ;7,600 ;600 ;100 ;
Asaka ;14,58 ;134 ;;;;1.366 ;145 ;;;;;;;5 ;no ;- ;145 ;710 ;10 ;45 ;- ;16 ;20 ;160 ;;260 ;15 ;5 ;690 ;20 ;70 ;6,000 ;110 ;40 ;
Onum ;11.25 ;79 ;;54 ;22 ;3,500 ;143 ;450 ;4 ;24 ;20 ;;;;;1 ;260 ;1,507 ;70 ;100 ;3 ;5 ;680 ;730 ;- ;260 ;125 ;8 ;1,450 ;20 ;150 ;8,650 ;380 ;90 ;
Summa Barne härad ;196,85 ;1,319 ;714 ;;427 ;31,668 ;2,753 ;6,121 ;105 ;777 ;122 ;6 ;20 ;239 ;32 ;8 ;3,424 ;13,495 ;844 ;987 ;118 ;103 ;2,938 ;6,915 ;3 ;3,720 ;2,111 ;84 ;15,617 ;160 ;2,088 ;106,451 ;2,526 ;2,059 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broby ;7,50 ;23 ;;3 ;2 ;885 ;45 ;3 ;1 ;4 ;8 ;;- ;2 ;4 ;- ;124 ;337 ;4 ;8 ;3 ;1 ;50 ;285 ;- ;123 ;120 ;;525 ;;25 ;3,500 ;;25 ;
Hangelösa ;16,50 ;56 ;;;;2,962 ;384 ;1,820 ;;33 ;14 ;;;;;;415 ;880 ;30 ;50 ;10 ;;190 ;890 ;- ;415 ;270 ;35 ;915 ;10 ;60 ;6,160 ;20 ;150 ;
Hasslösa ;12,25 ;84 ;;56 ;10 ;2,647 ;;621 ;3 ;49 ;25 ;;24 ;26 ;;1 ;304 ;849 ;48 ;40 ;12 ;3 ;491 ;607 ;;293 ;260 ;;1,096 ;;240 ;7,222 ;;120 ;
Husaby ;23,75 ;42 ;;32 ;20 ;1,820 ;80 ;300 ;;;;;;;;;270 ;370 ;30 ;280 ;50 ;4 ;260 ;366 ;- ;270 ;260 ;- -- ;1.150 ;;500 ;2,000 ;340 ;125 ;
Hofby ;12,63 ;46 ;37 ;;24 ;2,652 ;33 ;91 ;2 ;18 ;20 ;1 ;4 ;12 ;2 ;2 ;300 ;750 ;40 ;50 ;15 ;;500 ;700 ;- ;300 ;300 ;10 ;720 ;- - ;200 ;7,000 ;;200 ;





