Table: Table_1

;Medelplana ;17:38 ;19 ;61 ;4,629 ;80 ;1,600 ;500 ;2,300 ;4 ;;;;;;;;;;;115 ;66 ;3 ;80 ;300 ;;;100 ;24 ;600 ;;- ;;1,000 ;200 ;2,800 ;150 ;;
;Sil ;;26 ;14 ;1,389 ;;1,100 ;50 ;141 ;;;;;;;;;;;;;;2 ;129 ;400 ;;120 ;104 ;;450 ;;;;100 ;2,000 ;;25 ;;
;Vedum ;13:31 ;42 ;75 ;4,397 ;27 ;3,100 ;;947 ;25 ;;;;;;;;;;;;10 ;4 ;435 ;870 ;;435 ;300 ;;2,300 ;;- ;;;7,000 ;;100 ;;
;Vesterplana ;10:50 ;28 ;19 ;1,389 ;8 ;1,058 ;7 ;331 ;;;;;;;;;;;;;;;24 ;344 ;;;38 ;;684 ;;- ;;690 ;185 ;1,225 ;90 ;;
;Vättlõsa ;16:81 ;;;6,480 ;40 ;1,900 ;60 ;2,300 ;;;;;;;;;;;;;;10 ;260 ;;;;340 ;;742 ;;- ;;132 ;4,725 ;;126 ;;
;Osterplana ;17:88 ;35 ;109 ;3,703 ;20 ;1,200 ;130 ;800 ;20 ;;;;;;;;;;;;40 ;2 ;8 ;395 ;;200 ;80 ;10 ;1,100 ;;- ;;560 ;560 ;1,030 ;80 ;;
;Kinne härad ;211:26 ;682 ;937 ;75,909 ;352 ;26,861 ;1,712 ;22,438 ;148 ;33² ;152 ;;;;;;3,819 ;7,498 ;339 ;975 ;365 ;54 ;2,510 ;7,494 ;2 ;3,753 ;2,755 ;204 ;16,056 ;;4 ;;3,929 ;50,164 ;5,272 ;1,348 ;;
;Edsvära ;30:50 ;101 ;125 ;8,100 ;28 ;5,550 ;175 ;2,347 ;;;;;;;;;;1,550 ;;;15 ;10 ;2,000 ;;;860 ;346 ;;2,520 ;;134 ;;315 ;11,845 ;281 ;94 ;;
;Fyrunga ;9:75 ;76 ;;2,546 ;14 ;2,408 ;;116 ;;;;;;;;;;1,000 ;;;;;235 ;;;;527 ;;1,060 ;;;;126 ;4,863 ;257 ;207 ;;
;Gerum ;13:88 ;19 ;;3,934 ;26 ;1,588 ;215 ;810 ;;;;;;;;;;586 ;;;;;;;;;100 ;;750 ;;- ;;90 ;5,420 ;;50 ;;
;Händene ;12 ;55 ;46 ;5,091 ;44 ;1,668 ;288 ;2,500 ;;;;;;;;;;462 ;;;;;;;;;;;1,750 ;;- ;;;4,345 ;;;;
;Härlunda (del af Bjerklunda) Härjevad ;17:81 8:88 ;158 36 ;160 20 ;6.249 2,314 ;30 10 ;1,200 1,765 ;450 36 ;4,011 ;;;;;;;;;;370 610 ;;;;;;;;;;;1,600 850 ;;50 ;;50 200 ;4,000 4,200 ;100 ;178 ;;
;Jung. ;16'69 ;85 ;;5.786 ;35 ;3,053 ;10 ;;;;;;;;;;;1,000 ;;;;;;;;;;;2,000 ;;25 ;;250 ;9,454 ;;420 ;;
;Marum ;10:98 ;10 ;45 ;2,777 ;8 ;1,015 ;130 ;1,873 ;;;;;;;;;;350 ;;;;;;;;;;;700 ;;;;50 ;2,400 ;;30 ;;
;Qvänum ;20 ;73 ;;5,786 ;50 ;5,308 ;120 ;150 ;;;;;;;;;;2,100 ;108 ;;;;;;;;400 ;;1,800 ;;- ;;300 ;16,200 ;500 ;250 ;;
;Saleby ;36'1 3 ;210 ;22 ;6,943 ;117 ;6,730 ;38 ;58 ;;;;;;;;;;2,700 ;;;;;;1,200 ;;;1,260 ;;3,750 ;;;;650 ;18,000 ;1,000 ;400 ;;
;Skara landeföreamling ;11'75 ;26 ;32 ;4,397 ;18 ;1,131 ;357 ;835 ;;;;;X ;;;;;820 ;;;;;;;;;90 ;;650 ;;- ;;130 ;2,400 ;;70 ;;
;Skallmeja ;17:95 ;;37 ;2,777 ;50 ;2,578 ;131 ;;;;;;;;;;;;;;;;;;;;255 ;20 ;1,525 ;;- ;;500 ;5,500 ;100 ;300 ;;
;Synnerby ;19 ;83 ;108 ;6.249 ;44 ;4,050 ;90 ;1,390 ;;;;;;;;;;1,516 ;;;;;400 ;1,012 ;;;600 ;25 ;1,862 ;;;;200 ;11,700 ;;136 ;;
;Travad, (del) ;9:75 ;39 ;;2,314 ;;2,107 ;19 ;180 ;;;;;;;;;;;;;;;200 ;;;;120 ;;1,200 ;;- ;;60 ;3,780 ;;20 ;;
;Trässberg ;18:38 ;60 ;;5,323 ;36 ;3,735 ;25 ;;;;;;;;;;;2,400 ;;;;;210 ;;;;215 ;;875 ;;;;125 ;1.500 ;25 ;200 ;87 ;
;Vinköl ;22:66 ;109 ;;7,174 ;20 ;4,105 ;215 ;2,774 ;;;;;;;;;;2,600 ;;;;;120 ;;;350 ;250 ;40 ;1,900 ;;50 ;;200 ;15,100 ;50 ;120 ;38 ;
;yânga ;54:75 ;128 ;;16,663 ;50 ;7,000 ;400 ;5,550 ;;;;;;;;;;2,500 ;;;;;1,000 ;1.535 ;;800 ;250 ;;4,120 ;;;;150 ;15,000 ;1,500 ;80 ;39 ;
;Asaka Ottum ;24:88 14:s8 ;81 ;;7,687 4,860 ;16 ;3,951 3,005 ;340 10 ;709 996 ;;;;;;;;;;1,000 1,280 ;;;;;930 200 ;;;400 370 ;190 400 ;40 ;2,000 1,800 ;;50 - ;;200 100 ;9,200 10,500 ;130 ;90 240 ;40 41 ;
;Skänings härad ;367-62 ;1,517 ;1,038 ;) 106,920 ;620 ;61,947 ;3,057 ;23,870 ;192 ;736 ;363 ;28 ;227 ;X 309 ;110 ;20 ;7,694 ;23,930 ;1,370 ;1,741 ;332 ;96 ;7,772 ;11,142 ;15 ;7,773 ;5,590 ;175 ;32,712 ;;309 ;;3,696 ;155,407 ;4,549 ;2,956 ;;
;Bitterna, Vester- ;14:59 ;72 ;18 ;4,629 ;6 ;931 ;100 ;30 ;;;;;;5 ;3 ;;118 ;488 ;;;;;100 ;75 ;- ;114 ;38 ;;706 ;;- ;;63 ;1,575 ;;19 ;42 ;
;Bitterna, Oster- ;16:81 ;113 ;46 ;5,554 ;10 ;1,680 ;400 ;50 ;;;;;;;;;175 ;860 ;;;;;140 ;250 ;;175 ;60 ;40 ;800 ;;;;100 ;8,500 ;200 ;25 ;;
;Larf ;47 ;216 ;120 ;18,052 ;10 ;4,500 ;260 ;1,200 ;;;;;;160 ;;;450 ;2,450 ;;200 ;10 ;10 ;265 ;650 ;- ;450 ;240 ;60 ;2,000 ;;100 ;;250 ;22,000 ;330 ;140 ;44 ;
;Längjum med Vessby ;24:88 ;111 ;31 ;4,397 ;20 ;3,750 ;35 ;45 ;;80 ;;;;;;;235 ;2,675 ;;45 ;;;100 ;425 ;;235 ;140 ;;970 ;;;;100 ;25,025 ;150 ;75 ;45 ;
;Lundby ;15:50 ;69 ;46 ;3,703 ;16 ;2,200 ;120 ;1,867 ;;;;;;;1 ;;250 ;857 ;10 ;120 ;10 ;3 ;200 ;500 ;;250 ;120 ;5 ;1.120 ;;10 ;;80 ;10,000 ;300 ;50 ;46 ;
;Trâvad, (del) ;8'81 ;63 ;9 ;1,620 ;15 ;1,577 ;20 ;8 ;;45 ;;;;;;- ;190 ;700 ;3 ;18 ;;1 ;139 ;275 ;;250 ;72 ;;1,014 ;;;;30 ;5,550 ;;28 ;47 ;
;Vedum ;19:88 ;148 ;50 ;5,091 ;16 ;2,000 ;40 ;130 ;4 ;102 ;20 ;;14 ;;1 ;- ;200 ;1.185 ;10 ;80 ;25 ;- ;50 ;270 ;- ;180 ;30 ;- ;1,170 ;;-- ;;50 ;11,650 ;;25 ;48 ;
;Laske härad ;146.97 ;792 ;320 ;43,046 ;93 ;16,638 ;975 ;2,830 ;86 ;583 ;138 ;6 ;X 89 ;179 ;X 91 ;- ;1,618 ;9,215 ;80 ;548 ;30 ;26 ;994 ;2,445 ;- ;1,654 ;700 ;III ;7,780 ;;110 ;;673 ;84,300 ;980 ;362 ;;
;Floby ;27:94 ;87 ;54 ;5,554 ;12 ;2,510 ;1,633 ;52 ;;54 ;10 ;1 ;;22 ;;- ;195 ;1,377 ;30 ;120 ;17 ;3 ;150 ;408 ;- ;210 ;- ;- ;1,170 ;;;;320 ;13,510 ;- ;50 ;49 ;
50 ;Gökhem ;34:68 ;115 ;42 ;6,943 ;18 ;3,235 ;90 ;10 ;10 ;65 ;40 ;;9 ;20 ;X 20 ;;210 ;2,460 ;P ;125 ;30 ;;50 ;140 ;8 ;210 ;40 ;8 ;1,650 ;;18 ;;1,180 ;12,750 ;500 ;100 ;50 ;
51 ;Göteve ;16'18 ;101 ;18 ;4,860 ;20 ;1,000 ;650 ;20 ;15 ;2 ;;;;2 ;;;130 ;350 ;6 ;150 ;24 ;2 ;18 ;200 ;- ;120 ;- ;;800 ;;- ;;500 ;4,500 ;- ;3 ;51 ;
58 ;Jäla ;16:12 ;77 ;41 ;5,323 ;;555 ;;;? ;P ;9 ;P ;;;, ;P ;55 ;260 ;10 ;110 ;5 ;5 ;;55 ;- ;;the ;10 ;150 ;;- - ;;120 ;2,000 ;;15 ;5% ;
;Klefva ;;;37 ;7.868 ;13 ;1,350 ;2,340 ;1,480 ;15 ;68 ;;;10 ;46 ;;;250 ;675 ;30 ;90 ;;i ;50 ;;;;;;;;;;;;;;;
58 ;;26:38 ;88 ;;;;;;;;;;;;;;- ;;;;;2 ;;;120 ;- ;210 ;50 ;25 ;1,350 ;;;;900 ;8,000 ;550 ;100 ;53 ;
54 ;Marka ;19:18 ;44 ;34 ;4,397 ;6 ;2,230 ;1,295 ;15 ;3 ;38 ;;;;12 ;;;105 ;865 ;20 ;150 ;40 ;5 ;240 ;580 ;- ;225 ;5 ;;625 ;;- ;;510 ;4,625 ;150 ;18 ;54 ;
55 ;Sörby ;15:88 ;49 ;11 ;2,777 ;16 ;668 ;210 ;;;;;;;;;;;;x6 ;I20 ;16 ;;- ;;- ;;- ;;604 ;;;;100 ;4,838 ;;;55 ;
56 ;Trevattna ;18:44 ;;;4,860 ;16 ;775 ;1,900 ;900 ;4 ;;;;;;;;;400 ;;40 ;6 ;2 ;- ;;- ;100 ;;18 ;750 ;;36 ;;;3,000 ;90 ;25 ;;
57 ;Ullene ;12:12 ;56 ;25 ;4,629 ;4 ;919 ;250 ;1,700 ;- ;;;;;;;;241 ;376 ;1 ;60 ;i ;;- ;;- ;240 ;24 ;24 ;1,400 ;;12 ;;50 ;3,300 ;40 ;10 ;56 57 ;
;Vilske härad ;186.77 ;664 ;281 ;²) 47,211 ;105 ;13,242 ;8,368 ;4,227 ;47 ;263 ;59 ;4 ;20 ;121 ;37 ;I ;1,436 ;7,271 ;118 ;965 ;141 ;20 ;ses ;1,613 ;8 ;1,466 ;119 ;85 ;8,499 ;;66 ;;3,730 ;56,523 ;1,331 ;347 ;;
58 ;Bjerka (del af Bjerklunda) ;18:63 ;58 ;54 ;4,629 ;10 ;1,600 ;950 ;2,656 ;- ;- ;2 ;2 ;5 ;- ;- ;- ;260 ;440 ;? ;300 ;- ;- ;- ;400 ;- ;200 ;- ;- ;1,220 ;;240 ;;- ;3,150 ;- ;50 ;58 ;
59 ;Bjurum ;15*13 ;36 ;- ;6,017 ;;2,300 ;;;P ;, ;;;;P ;P ;P ;350 ;700 ;30 ;300 ;- ;- ;250 ;350 ;;320 ;- ;- ;1,575 ;;- ;;180 ;4,410 ;- ;80 ;59 ;





