Table: Table_1

1. ;34. ;;;;;;;;;;;;;;;;;;;;;;;;;;;
Häggesled. ;170 ;160 ;2 ;145 ;375 ;- ;125 ;28 ;1,700 ;- ;275 ;11,570 ;510 ;580 ;8 ;600 ;1,050 ;;300 ;;;;;200 ;470 ;;;
Kedum ;;138 ;- ;1,575 ;270 ;- ;1,134 ;;2,268 ;;189 ;12,200 ;;276 ;-- ;7,875 ;1,620 ;;;;;;;;;;;
Lavad* ;120 ;135 ;- ;28 ;912 ;- ;1,150 ;- ;2,700 ;- ;650 ;17,070 ;360 ;270 ;- ;;4,100 ;;;;;;;;150 ;;;
Levene, del* ;400 ;220 ;;284 ;1,260 ;- ;2,640 ;- ;7,920 ;- ;1,570 ;15,17° ;1,200 ;440 ;- ;1,850 ;;- ;;;;;;90 ;;;;
Mellby' ;550 ;;;;;;;;;;;;;;;;5,040 ;;;;;;;;;;;
Otterstad med Senäte* ;;350 ;- ;33° ;1,33° ;- ;720 ;- ;2,595 ;- ;1,200 ;10,600 ;1,100 ;350 ;- ;33° ;6,650 ;;TOO ;;;;;;;;;
Rackeby ;430 ;184 ;;230 ;1,010 ;- ;6,900 5,100 ;- ;;- ;;18,150 16,700 ;2,100 1,500 ;1,720 ;- ;;8,100 ;;170 ;;;;;;;;;
Râda ;69 ;184 ;10 ;472 ;1,383 ;- ;2,452 ;;8,966 ;65 ;1,832 ;29,550 ;336 ;700 1,135 ;;2,832 ;4,550 6,942 ;;;;;;;;;;;
Skalunda ;130 ;340 ;- ;360 ;330 ;- ;1,500 ;;2,000 ;;2,500 ;6,750 ;500 ;1,200 ;37 ;1,500 ;1,050 ;- ;136 ;;;;;128 ;;;115 ;
Slädene ;200 ;600 ;- ;300 ;5,500 ;- ;3,200 ;600 ;11,200 ;- ;1,400 ;25,200 ;1,000 ;3,000 ;- - ;2,000 ;20,000 ;;80 200 ;;;;150 ;50 ;;;;
Strö* ;;320 ;;1,000 ;1,300 ;- ;2,580 ;;2,700 ;- ;1,600 ;6,120 ;600 ;600 ;;;;;;;;30 ;390 ;200 ;;;170 ;
Sunnersberg ;100 ;;16 ;450 ;290 ;- ;5,500 ;;12,800 ;- ;3,300 ;7,960 ;500 ;3,120 ;84 ;2,700 ;Tico ;;198 ;;;;;;;;;
Söne ;20 ;300 ;3 ;550 ;700 ;- ;1,000 ;64 ;3,960 ;100 ;2,775 ;11,275 ;90 ;3,300 ;15 ;4,400 ;4,200 ;;90 ;;;;;;;;;
Tranum* ;450 ;540 ;3° ;450 ;726 ;- ;1,824 ;-- ;5,400 ;- ;3,240 ;37,200 ;2,600 ;;;2,600 ;;;;;;;275 ;120 ;;;150 ;
Tâdene* ;;;- ;;;- ;;;2,100 ;;;;220 ;;-- ;;4.356 ;;115 ;;;;115 ;120 ;;;;
Ufvered ;200 ;300 ;- ;300 ;1,606 ;- ;2,250 ;;7,700 ;;400 ;36,600 ;1,000 ;1,800 ;;1,800 ;1,000 ;;170 ;;;;;;;;;
Yäla och Gillatad ;;100 ;5 ;350 ;1,300 ;- ;1,080 ;60 ;4,930 ;;1,020 ;25,144 ;- ;600 ;30 ;1,800 ;8,500 ;;180 ;;;;;;;;;
Asaka. ;;200 ;;150 ;900 ;- ;2,500 ;;5,500 ;- ;900 ;24,800 ;;1,000 ;750 ;;3,600 ;;;;;;;;;;;
Orslõsa ;600 ;1,200 ;30 ;1,000 ;780 ;- ;4,200 ;- ;9,600 ;- ;4,200 ;24,000 ;4,200 ;9,600 ;300 ;6,000 ;4,680 ;;160 ;;;4 ;210 ;200 ;;;;
Summa K&llands härad ;4,661 ;8,017 ;101 ;10,741 ;27,097 ;- ;53,075 ;752 ;123,584 ;415 ;36,901 ;415,449 ;18,491 ;33,937 ;1,244 ;49,462 ;112,589 ;;2,721 ;370 ;750 ;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;134 ;6,126 ;2,671 ;5,550 ;;2,077 ;
Eling ;30 ;20 ;- ;18 ;1,440 ;10 ;150 ;48 ;2,700 ;120 ;300 ;17,500 ;150 ;150 ;- ;110 ;4,390 ;50 ;81 ;;;;;;;;;
Essunga ;200 ;35 ;2 ;7 ;5,100 ;;45 ;;;;;35,600 ;;;;;;;;;;;215 ;;;;;
;;;;;;85 ;;;3,550 ;40 ;150 ;;600 ;75 ;8 ;20 ;35,000 ;140 ;175 ;;;;610 ;;;;;
Foglum ;136 ;21 ;2 ;;2,600 ;70 ;480 ;24 ;4,604 ;40 ;950 ;32,680 ;534 ;158 ;7 ;;10,400 ;225 ;88 ;;;;;1GO ;;;175 ;
Hällum ;50 ;100 ;;425 ;600 ;;1,250 ;- ;2,500 ;;950 ;14,800 ;200 ;600 ;- ;2,125 ;1,800 ;;70 ;;;;;;150 100 ;;80 ;
Kedum Lek&sa ;180 440 ;80 100 ;- 2 ;100 ;2,400 ;80 ;750 ;;6,750 ;60 ;420 ;48,350 ;540 ;480 ;;400 ;14,400 ;160 ;140 ;;;;;140 ;;;100 ;
Levene, del* ;60 ;;- ;23 ;1,932 ;56 ;150 360 ;10 - ;3,500 ;100 - ;720 ;21,408 15,000 ;2,640 ;700 ;10 - ;92 ;5,796 ;112 ;70 ;;;;476 ;238 ;470 ;;50 ;
Long. ;200 ;300 ;- ;500 ;1.800 ;12 ;2,800 ;;9,600 ;;3,600 ;48,000 ;1,200 ;2,100 ;;3,000 ;10,800 ;70 ;128 ;;;;;;;;;
Naum ;270 ;100 ;3 ;30 ;3,230 ;125 ;240 ;60 ;6,950 ;60 ;260 ;34,580 ;820 ;800 ;10 ;150 ;22,600 ;;150 ;;;;;;;;;
Ryda med Halfis ;800 ;500 ;- ;1,100 ;1,500 ;-- ;1,920 ;;14,000 ;;2,400 ;57,500 ;4,800 ;4,000 ;- ;7,700 ;9,000 ;- ;;;;;;;340 ;;90 ;
;;;;;;;;;;;;;;;;;;;300 ;;;;;250 ;;;150 ;
Sandbäck eller Kyrk&s ;;;- ;;720 ;;10 ;10 ;2,760 ;100 ;68 ;9,008 ;76 ;;- ;;3,600 ;- ;36 ;;;;100 ;;;;;
Skarstad ;142 ;531 ;;961 ;1,452 ;;1,631 ;;8,327 ;38 ;1,866 ;36,453 ;735 ;2,886 ;- ;4,676 ;7,976 ;;315 ;;;;;;;;122 ;
Yara ;600 ;100 ;;200 ;800 ;25 ;2,000 ;- ;6,500 ;;250 ;35,000 ;2,500 ;450 ;- ;2,000 ;2,500 ;- ;136 ;;;;;;200 ;;;
Asaka ;100 ;50 ;;15 ;2,100 ;70 ;;;3,200 ;35 ;230 ;20,000 ;250 ;75 ;- ;40 ;5,900 ;;120 ;;;;;265 ;;;;
Onum **** ******* ;380 ;90 ;2 ;520 ;2,420 ;12 ;400 ;24 ;4,600 ;50 ;400 ;30,000 ;1,150 ;250 ;8 ;1,560 ;13,000 ;- ;170 ;;;;;190 ;;;;
Summa Barne härad ;3,607 ;2,081 ;11 ;3,929 ;28,594 ;562 ;12,221 ;211 ;81,941 ;643 ;12,914 ;455,679 ;16,493 ;12,990 ;43 ;21,973 ;149,592 ;757 ;2,013 ;370 ;360 ;82 ;4,812 ;1,930 ;3,737 ;;1,168 ;
Broby ;;26 ;- ;6 ;320 ;- ;440 ;- ;3,132 ;- ;144 ;13,400 ;;130 ;- ;30 ;1,280 ;- ;3G ;;;;;;90 ;;;
Hangelösa ;310 ;200 ;- ;900 ;3,200 ;;1,400 ;- ;10,850 ;;1,240 ;25,600 ;1,240 ;800 ;- ;3,600 ;9,600 ;;75 ;;;;;;400 ;;150 ;
Hasslösn ;;160 ;- ;200 ;1,140 ;- ;1,200 ;;5,992 ;- ;1,680 ;36,000 ;;640 ;- ;800 ;2,280 ;- ;125 ;;;12 ;340 ;;190 ;;90 ;
Husaby ;350 ;125 ;2 ;160 ;8,000 ;- ;1.020 ;80 ;6,000 ;- ;2,750 ;9,600 ;1,400 ;375 ;G ;300 ;32,000 ;- ;130 ;;108 ;;400 ;180 ;500 ;;;
Ilofby 1) ;50 ;150 ;- ;150 ;1,250 ;- ;1,500 ;400 ;4,000 ;- ;1,500 ;45,000 ;250 ;900 ;- ;GOO ;3,500 ;-- ;100 ;15 ;;G ;;;200 ;;50 ;





