Table: Table_1

;Keatad ;- ;;;600 ;24 ;150 ;- ;3,000 ;- ;750 ;8,800 ;- ;150 ;- ;;- ;3,000 ;8,000 ;96 ;3 ;;4.250 ;31 ;11 ;20 ;;102 ;33 ;50 ;;;120 13 ;
;Klefva ;;70 ;;1,000 ;;600 ;- ;5,600 ;;1,250 ;12,000 ;- ;240 ;- ;300 ;- ;5,000 ;;;- ;500 ;5,000 ;45 ;;;;140 ;60 ;150 ;;;;
;Ledsjö ;;;;7,200 ;;900 ;;8.820 ;;2,250 ;26,100 ;;640 ;;;;50,400 ;;35 ;;;10,000 ;88 ;25 ;80 ;;420 ;146 ;321 ;;160 ;;
;Lugnas ;;20 ;;1,500 ;;300 ;- ;2,000 ;;120 ;20,000 ;100 ;120 ;10 ;100 ;- ;7,000 ;460 ;40 ;- ;- ;10,000 ;;;140 ;;560 ;200 ;100 ;;100 ;16 ;
;Medelplana ;;;;4,000 ;10 ;1,000 ;240 ;5,400 ;;7,000 ;1,200 ;20,000 ;1,000 ;;;- ;35,000 ;80,000 ;;20 ;;12,000 ;90 ;20 ;50 ;;350 ;100 ;200 ;;250 ;400 17 ;
;;;;;;;;;;;;;;;;- ;;;;;;;;;;;;;;150 ;;;;
;Sil Vedum ;;;;280 1,600 ;12 20 ;1.470 3,000 ;;3,552 23,000 ;- ;1,855 ;6,750 42,000 ;;360 600 ;- ;105 ;- ;2,800 7,800 ;2,220 2,000 ;10 28 ;;;5,925 ;45 100 ;10 40 ;40 60 ;3 6 ;125 400 ;46 150 ;450 ;- ;40 ;;
;Vesterplana ;;;;1,227 ;;154 ;7 ;4,632 ;- ;4,010 ;575 ;6,054 ;395 ;;186 ;- ;5,860 ;;;;- ;;44 ;;16 ;;92 ;46 ;86 ;- ;;;
;Vättlösa ;6 ;;;2,000 ;30 ;6,300 ;;11.250 ;;1,260 ;35,000 ;;1,500 ;60 ;600 ;- ;20,000 ;15,000 ;? ;10 ;;16,000 ;128 ;35 ;80 ;;503 ;96 ;123 ;- ;49 ;21 ;
;Österplana ;;50 ;;2.250 ;20 ;400 ;40 ;5,500 ;;2,800 ;2,240 ;5.150 ;400 ;;grönfoder ;- ;11.250 ;33,000 ;80 ;3 ;400 ;4,500 ;75 ;;34 ;;280 ;70 ;150 ;- ;;300 22 ;
;Summa för Kinne härad ;12 ;918 ;- ;30,167 ;255 ;26,192 ;727 ;124,344 ;15 ;25,255 ;301,392 ;34,671 ;8,565 ;95 ;5,028 ;- ;198,524 ;273,53° ;682 ;57 ;30,720 ;198,675 ;1,153 ;340 ;1,162 ;77 ;4,004 ;1,666 ;3,225 ;- ;1,270 ;820 ;
;Edsvära ;- ;126 ;- ;7.623 ;;2.772 ;;17,640 ;630 ;1,890 ;59,220 ;1.417 ;756 ;- ;1,008 ;- ;60,784 ;1,500 ;40 ;- ;cas ;3,990 ;150 ;;;;550 ;100 ;925 ;- ;;;
;Fyrunga ;;628 ;;975 ;;2,108 ;;6,360 ;- ;756 ;24,315 ;1,285 ;804 ;- ;1,884 ;;5,850 ;400 ;10 ;5 ;;7,000 ;120 ;;;;244 ;90 ;280 ;;;;
;Gerum ;;310 ;;1.702 ;63 ;800 ;- ;8,500 ;- ;450 ;44,940 ;- ;500 ;- ;1,860 ;- ;5,106 ;;10 ;;;6,550 ;76 ;;;;250 ;55 ;100 ;;;;
;Händene ;;;;1,848 ;48 ;350 ;;10,506 ;;;17,380 ;;105 ;- ;;- ;11,088 ;2,000 ;- ;36 ;;13.344 ;120 ;;;;300 ;60 ;200 ;;;20 ;
;Härlunda ;;100 ;;7,000 ;;250 ;200 ;7,000 ;300 ;300 ;16,000 ;500 ;250 ;- ;600 ;- ;70,000 ;;;;300 ;500 ;50 ;;;;300 ;150 ;160 ;;;;
;Härjevad ;;100 ;;630 ;;1,400 ;;8,500 ;;1,000 ;25,200 ;630 ;1,780 ;;;- ;6,300 ;600 ;;;100 ;25,000 ;;;;;164 ;125 ;135 ;;;28 ;
;Jung. ;;;;1.680 ;;2.580 ;;16.450 ;36 ;1,000 ;47,500 ;2,760 ;4,000 ;;1,950 ;- ;8,400 ;2,500 ;72 ;12 ;;20,000 ;207 ;;;;450 ;200 ;380 ;;150 ;29 ;
;Marum ;;;;500 ;;400 ;;4,200 ;- ;250 900 ;12,500 69,200 ;1,800 ;90 1,250 ;;125 ;- - ;3,000 ;1,200 ;;- ;;7,100 ;28 ;;;;185 400 ;135 ;50 350 ;;145 ;30 ;
;Qvänum ;;550 ;;1,400 ;;2.824 ;;17,500 ;;;;;;;2,200 ;- ;8,400 ;? ;70 ;;;;140 ;;;;;;;;;31 ;
;Saleby ;;;;1,500 ;;7,560 ;;30,000 ;;2,500 ;90,000 ;4,400 ;1,600 ;- ;;;5,000 ;;;;;60,000 ;345 ;;;;765 ;240 ;550 ;- ;130 ;;
;Skara landsförsamling ...... Skallmeja ;30 ;470 ;;400 700 ;;400 5,580 ;120 ;4.420 6.800 ;- - ;600 4,000 ;14,460 36,000 ;600 ;360 4.000 ;180 ;360 3,290 ;- - ;4,000 7,000 ;6,000 ;60 ;;;4.000 36,800 ;54 150 ;;;10 ;212 375 ;200 ;110 350 ;- - ;200 ;;
;Synnerby ;4 ;256 ;;3,000 ;;6,000 ;150 ;20,000 ;- ;1.400 ;58,632 ;800 ;1,650 ;20 ;1,792 ;- ;30,000 ;;1CO ;11 ;4,000 ;15,000 ;175 ;;;;600 ;200 ;200 ;- ;180 ;;
;Travad ;;;;1.100 ;;672 ;;8,100 ;;360 ;35,200 ;;100 ;- ;;- ;8,800 ;60 ;21 ;;;14,000 ;75 ;;;;270 ;;120 ;;;;
;(del) ;- ;150 ;;1,800 ;;1.500 ;;6.700 ;;4.200 ;46.000 ;710 ;500 ;;400 ;- ;14.400 ;500 ;;;;;125 ;;;;220 ;150 ;260 ;;;;
;Trässberg. ;;;;5.250 ;40 ;1.664 ;125 ;14.100 ;80 ;1,200 ;80,200 ;250 ;500 ;50 ;1,360 ;;28,000 ;15,000 ;120 ;20 ;;10,000 ;160 ;;;;;150 ;450 ;;150 ;;
;Vinköl ;10 ;170 ;;;;;;;;;;;;;;- ;;;;;;;;;;;;;;-- ;;;
;Vanga ;;200 ;;5,000 ;;1.250 ;;20.600 ;;600 ;52,500 ;6,000 ;320 ;;650 ;- ;22.500 ;15,000 ;80 ;;;39,700 ;217 ;;;;;175 ;460 ;- ;220 ;;
;Ásaka ;;100 ;;9.000 ;;1.500 ;X 250 ;12.600 ;250 ;750 ;35,000 ;2,000 ;1,600 ;;500 ;- ;72,000 ;3.000 ;;25 ;1,600 ;34,000 ;140 ;;;;;150 ;350 ;;200 ;;
;Ottum ;;525 ;- ;3.540 ;14 ;2.152 ;;16.660 ;;384 ;46,500 ;;3.600 ;- ;2.625 ;- ;35,400 ;9,000 ;15 ;- ;;;170 ;;;;300 ;110 ;200 ;;40 ;;
;Summa för Skânings bärad ;44 ;4.130 ;- ;54,648 ;371 ;41,762 ;845 ;230,636 ;1,296 ;22,540 ;810,747 ;23,152 ;23,765 ;250 ;21,154 ;- ;406,028 ;56,760 ;632 ;151 ;6,000 ;296,984 ;2.578 ;828 ;1,090 ;137 ;7,075 ;2,387 ;4,930 ;- ;2,067 ;;
;Bitterna, Vester- ;6 ;50 ;- ;1.200 ;;480 ;72 ;8.100 ;- ;396 ;25,800 ;;240 ;60 ;250 ;- ;12,000 ;3,000 ;36 ;- ;1,000 ;2,000 ;96 ;19 ;;;336 ;160 ;280 ;- ;80 ;;
;Bitterna, Öster- ;2 ;50 ;- ;1.800 ;;375 ;100 ;6,000 ;;700 ;40,100 ;2,160 ;300 ;20 ;350 ;;14,400 ;200 ;60 ;- ;- ;15,000 ;80 ;10 ;;;220 ;130 ;300 ;- ;;;
;Larf ;;60 ;;5,000 ;40 ;960 ;240 ;12,600 ;400 ;1,500 ;132,000 ;1,980 ;200 ;the ;360 ;- ;25,000 ;1,000 ;120 ;;;13,500 ;330 ;50 ;270 ;;860 ;430 ;600 ;- ;300 ;;
;Längjum med Vessby ;;55 ;;3.200 ;20 ;1.600 ;;9.600 ;;620 ;127,250 ;380 ;1,200 ;;385 ;- ;32,000 ;;80 ;10 ;3,000 ;7,000 ;195 ;30 ;32 ;;390 ;125 ;390 ;;120 ;;
;Lundby ;;35 ;;4,000 ;15 ;600 ;25 ;7,840 ;50 ;400 ;36,000 ;1,200 ;125 ;- ;170 ;- ;20,000 ;1,200 ;90 ;;;3,000 ;120 ;15 ;50 ;6 ;350 ;120 ;200 ;the ;150 ;300 ;
;Travad (del) ;;;- ;400 ;3 ;480 ;;6,000 ;- ;240 ;20,100 ;;140 ;- ;;- ;3,200 ;20 ;12 ;;;8,250 ;60 ;;2 ;2 ;170 ;30 ;155 ;;40 ;;
;Vedum ;- ;40 ;- ;3,700 ;20 ;265 ;;9,660 ;- ;330 ;51,200 ;- ;150 ;- ;280 ;;18.500 ;? ;? ;- ;- ;? ;120 ;20 ;15 ;5 ;360 ;150 ;340 ;- ;160 ;670 48 ;
;Summa för Laske härad ;8 ;290 ;- ;10,300 ;130 ;4,760 ;437 ;59,800 ;430 ;4,180 ;432,450 ;5.720 ;2,355 ;80 ;1,795 ;- ;125,100 ;5,420 ;398 ;10 ;4,000 ;48,750 ;1,001 ;151 ;420 ;39 ;2.686 ;1,145 ;2,265 ;- ;910 ;970 ;
;Floby ;;180 ;- ;5,065 ;20 ;240 ;;10.400 ;- ;4.300 ;68,500 ;;500 ;- ;1,440 ;;40,520 ;1,500 ;;18 ;;20,000 ;140 ;35 ;135 ;5 ;440 ;305 ;230 ;;110 ;;
;Gökhem ;;25 ;;4.100 ;12 ;110 ;69 ;8.360 ;120 ;10,900 ;95,100 ;3,500 ;600 ;;100 ;;26,400 ;? ;24 ;16 ;1,350 ;7.900 ;150 ;70 ;160 ;;500 ;140 ;325 ;;175 ;;
;Göteve ;;;;2,400 ;;;- ;4.608 ;- ;1,636 ;31,680 ;- ;12 ;- ;16 ;- ;14.400 ;75 ;24 ;30 ;5,595 ;2,700 ;93 ;20 ;46 ;4 ;256 ;45 ;164 ;- ;75 ;;
;Jäla ;- ;;- ;4.962 ;24 ;- ;;1.680 ;- ;720 ;9.630 ;- ;250 ;- ;grönfoder ;;25,000 ;;100 ;25 ;48 ;1.880 ;76 ;35 ;120 ;5 ;235 ;200 ;275 ;;75 ;;
;Klefva ;;50 ;- ;3,000 ;7 ;250 ;125 ;9,450 ;- ;6.300 ;40,000 ;3.300 ;600 ;- ;300 ;- ;24,000 ;3.000 ;- ;10 ;- ;2,200 ;75 ;40 ;100 ;4 ;225 ;200 ;300 ;- ;100 ;;
;Marka ;- ;150 ;;4.220 ;;- ;;3.150 ;- ;2.100 ;23.100 ;870 ;;- ;100 ;- ;21.200 ;1.000 ;;5 ;- ;;90 ;40 ;85 ;5 ;260 ;175 ;195 ;- ;80 ;225 ;
;Sörby ;;25 ;;1.256 ;12 ;- ;- ;3.072 4.500 ;180 ;1.280 250 ;21.299 16.500 ;450 ;102 100 ;- - ;102 grönfoder ;- ;8.192 11.200 ;3,070 1.000 ;19 ;18 ;;5.100 ;64 ;32 ;64 ;Z ;160 320 ;65 ;128 ;;35 ;;
;Trevattna ;;;- ;1,600 ;;36 ;;;;;;;;- ;;- ;;;- ;;10 ;2.000 ;80 ;30 ;;;;125 ;125 ;- ;40 ;200 ;
;Ullene ;- ;6 ;- ;945 ;9 ;;18 ;2.360 ;48 ;300 ;12.190 ;- ;12 ;- ;14 ;;6,970 ;? ;- ;5 ;- ;2,400 ;48 ;9 ;50 ;1 ;157 ;137 ;140 ;- ;40 ;;
;Summa för Vilske härad ;- ;470 ;- ;27.548 ;84 ;636 ;212 ;47,580 ;348 ;27,786 ;317,999 ;8,120 ;2,226 ;- ;2,072 ;- ;177,882 ;9,645 ;167 ;127 ;7.003 ;44,180 ;816 ;311 ;835 ;44 ;2,553 ;1,392 ;1.882 ;- ;730 ;425 ;
;Bierka ;- ;315 ;-- ;8.190 ;, ;- ;- ;10.710 ;378 ;504 ;31.500 ;- ;309 ;- ;(grönfoder ;- ;78,750 ;18,000 ;- ;16 ;- ;4,000 ;50 ;;156 ;5 ;310 ;80 ;240 ;- ;90 ;;
;Bjurum ;- ;;;12,500 ;- ;- ;- ;8,380 ;- ;3,600 ;24,000 ;- ;1.000 ;- ;- ;;112.000 ;;;;- ;? ;GO ;15 ;130 ;3 ;250 ;150 ;130 ;-- ;100 ;;





