Table: Table_1

Eggby ;20:75 ;33 ;;3,406 ;;1,600 ;170 ;800 ;6 ;;;;;;;;230 ;500 ;20 ;150 ;;;;;- ;;;;1.300 ;- ;200 ;3,100 ;250 ;150 ;24 ;
Häggum ;17:09 ;72 ;;3,703 10 ;;2,310 ;600 ;783 ;P ;;;;;;;;175 ;665 ;30 ;155 ;40 ;? ;310 ;755 ;- ;180 ;25 ;25 ;770 ;- ;125 ;6,760 ;120 ;60 ;25 ;
Istrum ;8:25 ;13 ;;4,000 15 ;;1.165 ;150 ;2,670 ;;;;;;;;;150 ;360 ;10 ;85 ;15 ;;90 ;300 ;;150 ;60 ;;900 ;46 ;;;;65 ;;
Lundby ;25:50 ;;;2,777 20 ;;1,700 ;300 ;480 ;;;;;;;;;214 ;550 ;60 ;100 ;50 ;5 ;180 ;300 ;30 ;214 ;140 ;30 ;780 ;;70 500 ;3.150 2,600 ;365 ;200 ;26 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- ;;;;;27 ;
Skarke ;24:69 ;;;2,777 29 ;;1,565 ;981 ;;66 ;;;;;;;;305 ;535 ;37 ;100 ;30 ;;65 ;202 ;;290 ;40 ;14 ;1.930 ;- ;515 ;2.515 ;108 ;240 ;28 ;
Skärf ;15:31 ;25 ;;4,397 60 ;;900 ;300 ;2,500 ;;;;;;;;;150 ;230 ;15 ;50 ;;;100 ;200 ;- ;150 ;;;712 ;- ;180 ;1.800 ;- ;60 ;29 ;
Stenum ;15:88 ;38 ;;5,092 60 ;;560 ;1,120 ;3,352 ;- ;;;;;;;;125 ;220 ;10 ;76 ;;;;;;125 ;;- ;580 ;;60 ;1.890 ;- ;40 ;80 ;
Ving. ;10:13 ;20 ;;2,083 55 ;;900 ;100 ;1,000 ;;17 ;;;;;;;150 ;263 ;5 ;70 ;2 ;;;260 ;;150 ;25 ;;725 ;;78 ;2,000 ;;20 ;31 ;
Oglunda ;13:56 ;39 ;17 ;3,934 7 ;;500 ;600 ;200 ;9 ;20 ;;;;;;;150 ;250 ;20 ;50 ;;;;50 ;- ;120 ;30 ;- ;760 ;- ;130 ;1,800 ;500 ;100 ;32 ;
Valle härad ;184,41 ;452 ;492 ;46,286 274 ;;12,750 ;4,711 ;13,315 ;102 ;236 ;51 ;6 ;196 ;154 ;21 ;;1,959 ;4,243 ;215 ;916 ;160 ;14 ;770 ;2.237 ;30 ;1,633 ;500 ;70 ;10,312 ;46 ;2,458 ;30,615 ;2,593 ;1,135 ;;
Bredvik ;17:88 ;135 ;122 ;10,877 15 ;;1,880 ;45 ;1,000 ;90 ;187 ;;;;140 ;;;310 ;566 ;12 ;240 ;;2 ;50 ;390 ;;310 ;;- ;1.395 ;- ;- ;5,660 ;-- ;- ;33 ;
Forsby ;11 ;38 ;;4,397 12 ;;1,510 ;250 ;488 ;;;;;;;;;350 ;380 ;20 ;50 ;10 ;;200 ;200 ;;300 ;130 ;;1,700 ;;50 ;2.600 ;;;;
Fogelas, Norra ;38:75 ;60 ;;136 ;;3,360 ;1,241 ;6,253 ;10 ;28 ;;;;;;;550 ;1,115 ;10 ;350 ;30 ;5 ;60 ;740 ;- ;500 ;396 ;;2.904 ;;126 ;10,246 ;35 ;80 ;34 35 ;
Fogelas, Södra ;37:81 ;130 ;;23,837 38 ;;3,000 ;180 ;3,182 ;;110 ;18 ;;;;;;454 ;800 ;20 ;380 ;14 ;;150 ;757 ;- ;420 ;200 ;20 ;2,070 ;20 ;60 ;8,200 ;;50 ;36 ;
Gredbäck ;23:81 ;40 ;;9,720 32 ;;2,220 ;986 ;3,800 ;;;;;;;;;400 ;700 ;;300 ;14 ;;;400 ;- ;400 ;;;2.600 ;;;;;;;
Hagelberg ;;38 ;;2,083 ;;1,000 ;240 ;835 ;;;;;;;;;200 ;200 ;;70 ;10 ;;;340 ;- ;172 ;80 ;;1.020 ;;;6.300 1,600 ;;12 50 ;37 ;
Hjo landeförsamling ;20:50 ;;;7.174 25 ;;2,900 ;1,730 ;2.100 ;;;;;;;;;450 ;1,035 ;;300 ;30 ;;200 ;450 ;;400 ;100 ;150 ;2,000 ;150 ;- ;8,000 ;;75 ;38 39 ;
Kvrkefalla ;45 ;239 ;170 ;23,143 45 ;;5,790 ;6,751 ;10,557 ;10 ;122 ;;;;;;;960 ;1,930 ;45 ;130 ;;;298 ;1,433 ;;960 ;200 ;;4,400 ;;;19,000 ;;200 ;40 ;
Kyrketorp Mofalla ;14:63 10:31 ;29 61 ;;4,166 12 5,091 ;;1,650 640 ;350 470 ;1,657 1.688 ;10 ;;;;;;;;200 120 ;450 157 ;49 10 ;200 49 ;20 ;;;500 180 ;;200 120 ;120 ;;1,100 500 ;;30 ;3,600 ;;63 ;;
Ryd ;8:88 ;;;4 ;;620 ;100 ;1,062 ;;;;;;;;;84 ;210 ;10 ;90 ;;;;142 ;;;58 ;;340 ;;360 ;950 1.200 ;;30 60 ;;
Sköfde landsförsamling ;23:89 ;100 ;;13) 5,503 75 ;;2,837 ;;;80 ;;;;;;;;320 ;1,400 ;17 ;280 ;20 ;;;500 ;;300 ;300 ;100 ;1,500 ;120 ;75 ;8.000 ;;110 ;;
Suntetorp och Sventorp ;27:35 ;112 ;;11,571 36 ;;4,474 ;100 ;1,400 ;? ;;;;;;;;660 ;1,525 ;20 ;110 ;35 ;;;1,344 ;;600 ;200 ;50 ;3,150 ;;;12,500 ;;85 ;45 ;
Varols (jemte här:sdelen af Ed&sa) ;16:95 ;100 ;;7.869 30 ;;2,680 ;35 ;2,730 ;- ;;;;;;;;435 ;975 ;14 ;60 ;3 ;;;610 ;;435 ;160 ;;2,030 ;;25 ;7.820 ;;;46 ;
Versãs ;25:37 ;96 ;;10,414 20 ;;3,900 ;1.700 ;3,910 ;;;;;;;;;750 ;1.100 ;20 ;120 ;10 ;;300 ;1,000 ;;600 ;400 ;;3,500 ;;;9,500 ;;120 ;47 ;
V&mb ;13 ;36 ;;1,389 20 ;;580 ;150 ;600 ;20 ;;;;;;;;100 ;180 ;20 ;40 ;10 ;;20 ;130 ;;80 ;;50 ;600 ;;50 ;1.700 ;;;48 ;
Om, Bjärby och Amundtorp ;6:18 ;40 ;;3) 1.903 14 ;;950 ;100 ;839 ;17 ;;;;;;;;188 ;260 ;10 ;16 ;14 ;;105 ;170 ;;185 ;100 ;;920 ;;10 ;2,500 ;;;49 ;
K&kinde härad ;343:66 ;1,315 ;1,152 ;* 130,311 524 ;;39,891 ;14,428 ;42,101 ;276 ;829 ;188 ;23 ;168 ;500 ;54 ;II ;6,531 ;12,983 ;290 ;2,785 ;225 ;56 ;1,564 ;9.286 ;- ;6,064 ;2,450 ;426 ;31,729 ;380 ;786 ;109,376 ;185 ;1,095 ;;
Acklinga ;15 ;;56 ;6.017 10 ;;1,025 ;420 ;1,015 ;3 ;;;;;12 ;4 ;;140 ;475 ;6 ;45 ;7 ;;60 ;146 ;;145 ;75 ;;750 ;;100 ;;;;;
Angarp ;21'44 ;78 ;140 ;11.340 22 ;;2,869 ;918 ;;;;;;;;;;490 ;1.016 ;16 ;;;;140 ;590 ;;523 ;140 ;10 ;2,545 ;- ;60 ;4,715 7,468 ;;10 30 ;50 ;
Baltak ;12:25 ;32 ;;3.703 7 ;;760 ;340 ;1.240 ;8 ;;;;;;2 ;;150 ;200 ;5 ;80 ;500 ;;75 ;97 ;- ;145 ;13 ;;700 ;;15 ;2,500 ;;18 ;51 5. ;
Bottpary (länsdel) Biurbäck (länsdel) ;3:75 16:18 ;;;3.934 2 6.249 6 ;;205 800 ;350 1,000 ;700 3,196 ;;;;;;;;;150 ;94 386 ;- ;55 68 ;2 ;;;20 ;- ;17 ;;;140 ;45 ;25 ;880 ;100 ;;53 ;
;;;;;;;;;;;;;;;;;;;;;;;;42 ;;150 ;;;890 ;48 ;40 ;4.504 ;;;54 ;
Brandstorp ;16:84 ;86 ;;14.811 IO ;;;1328 ;2,000 ;;;;;;;;;350 ;400 ;15 ;255 ;5 ;15 ;1.800 ;1,400 ;10 ;225 ;;60 ;1.780 ;63 ;225 ;4.000 ;180 ;25 ;55 ;
Daretorp Dimbo ;17:38 ;110 ;;17,820 14 16 ;;1.886 ;195 ;8,500 ;12 ;;;;;;;;280 150 ;460 565 ;2 ;120 ;10 ;4 ;;80 ;;275 ;;;1,650 ;55 ;30 ;5,700 ;50 ;;;
;26:63 ;50 ;33 ;4.860 ;;;;130 ;;;;;;;;;;;;65 ;;? ;150 ;450 ;5 ;150 ;;10 ;880 ;;200 ;5,085 ;40 ;;57 ;
Falköpings landsförsamling (del) ;14:50 ;14 ;;2,083 15 ;;1,500 ;45 ;440 ;;;;;;;;;150 ;650 ;10 ;50 ;15 ;;200 ;275 ;;150 ;;;900 ;10 ;650 ;3,500 ;;;58 ;
Fridene. ;12:75 ;61 ;40 ;5,786 12 ;;1,575 ;400 ;330 ;14 ;;;;;;;;225 ;495 ;10 ;20 ;4 ;3 ;110 ;528 ;- ;180 ;;;611 ;;40 ;3.805 ;;;;
Fröjered ;17:69 ;92 ;91 ;13,423 30 ;;2,897 ;2,000 ;5,403 ;24 ;;;;;;;1 ;440 ;1,100 ;25 ;50 ;30 ;12 ;100 ;700 ;;440 ;150 ;10 ;2.600 ;25 ;;;40 ;;59 ;
Gerum ;9:75 ;32 ;;2,132 , ;;482 ;400 ;;;;;;;;;;78 ;225 ;10 ;39 ;4 ;;;;;;;;;;60 ;9,000 ;;;60 ;
******* Fiskebäcks kapell ;23 ;145 ;105 ;21,523 28 ;;1,650 ;1,800 ;4,000 ;;125 ;;;;;;;210 ;700 ;2 ;230 ;;;- ;;;;;;490 ;;130 ;1,900 ;40 ;;61 ;
;;;;;;;;;;;;;;;;;;;;;;25 ;;300 ;;;;;2.700 ;130 ;;;;;;
Habo (länsdel) ;41:90 ;251 ;96 ;26.152 28 ;;4,124 ;9.175 ;13.025 ;;;;;;;;;556 ;1,821 ;5 ;410 ;7 ;16 ;24 ;685 ;;550 ;;25 ;4,320 ;240 ;40 200 ;9,000 18,350 ;320 ;20 ;6% ;
Hvarf ;12:50 ;22 ;12 ;2.083 8 ;;740 ;54 ;1.115 ;;;;;;;;;100 ;320 ;13 ;80 ;20 ;2 ;40 ;85 ;;;10 ;;560 ;;;;500 ;30 ;63 ;
Hvalstad ;26:75 ;50 ;31 ;4,397 15 ;;2,500 ;500 ;1,000 ;8 ;40 ;;;8 ;;2 ;;400 ;850 ;P ;175 ;50 ;3 ;172 ;400 ;- ;450 ;;;2.210 ;;70 125 ;3.600 5,400 ;100 ;30 ;64 65 ;





