Table: Table_1

Trökörna ;18,56 ;107 ;90 ;;15 ;1,915 ;45 ;3,500 ;5 ;48 ;30 ;1 ;6 ;12 ;- ;- ;240 ;700 ;20 ;45 ;- ;5 ;250 ;415 ;- ;240 ;360 ;- ;990 ;- ;60 ;6,910 ;30 ;90 ;
Summa Viste härad ;164,60 ;920 ;453 ;;234 ;24,225 ;607 ;7,491 ;63 ;494 ;131 ;6 ;6 ;25 ;11 ;2 ;2,715 ;9,530 ;619 ;604 ;69 ;57 ;2,743 ;5,362 ;- ;2,978 ;3,014 ;40 ;13,494 ;- ;2,263 ;76,247 ;2,050 ;2,482 ;
Gösslunda ;22,68 ;45 ;62 ;;45 ;2,600 ;15 ;561 ;5 ;26 ;20 ;1 ;40 ;5 ;9 ;- ;400 ;1,190 ;250 ;70 ;2 ;7 ;100 ;476 ;- ;300 ;500 ;- ;1,100 ;- ;425 ;7,950 ;240 ;570 ;
Hjerpas, Höra och Vedum ;28,05 ;172 ;100 ;;88 ;4,802 ;308 ;2,100 ;5 ;50 ;17 ;5 ;2 ;89 ;4 ;;640 ;1,850 ;265 ;76 ;55 ;;140 ;1,248 ;;521 ;750 ;- ;2,400 ;50 ;240 ;14,480 ;1,470 ;300 ;
Häggesled ;10,88 ;46 ;18 ;;21 ;1,430 ;19 ;673 ;6 ;30 ;10 ;;;- ;;;135 ;200 ;30 ;18 ;5 ;1 ;415 ;325 ;130 ;150 ;28 ;8 ;450 ;- ;100 ;475 ;175 ;160 ;
Kedum ;11 ;27 ;;;11 ;970 ;58 ;253 ;1 ;7 ;12 ;;- ;3 ;5 ;;136 ;344 ;;;;;99 ;240 ;;150 ;182 ;- ;378 ;-- ;75 ;3,036 ;;139 ;
Lavad ;9,50 ;37 ;30 ;;27 ;1,871 ;168 ;437 ;8 ;19 ;6 ;2 ;;;;;161 ;599 ;34 ;25 ;3 ;;107 ;238 ;- ;201 ;240 ;- ;542 ;- ;162 ;4,424 ;133 ;192 ;
Levene, del ;9,25 ;71 ;33 ;;25 ;2,468 ;30 ;900 ;;;;;4 ;66 ;;;352 ;568 ;82 ;35 ;;;356 ;704 ;- ;352 ;440 ;- ;1,584 ;- ;392 ;5,058 ;400 ;220 ;
Mellby ;16,88 ;60 ;101 ;;30 ;2,180 ;;1,230 ;3 ;43 ;12 ;2 ;82 ;;;;320 ;775 ;65 ;40 ;20 ;;200 ;500 ;5 ;300 ;500 ;- ;1,360 ;- ;110 ;6,100 ;- ;250 ;
Otterstad med Senäte ;30,88 ;82 ;140 ;;71 ;2,859 ;480 ;6,997 ;16 ;46 ;3 ;;15 ;57 ;;;680 ;788 ;202 ;115 ;24 ;1 ;;587 ;;462 ;1,083 ;- ;1,636 ;- ;800 ;6,209 ;- ;670 ;
;22 ;47 ;52 ;;37 ;2,058 ;98 ;973 ;;23 ;8 ;2 ;;16 ;;;216 ;612 ;62 ;185 ;72 ;3 ;52 ;650 ;7 ;334 ;650 ;;430 ;- ;800 ;5,030 ;;430 ;
Rackeby Rada ;20,13 ;49 ;76 ;;36 ;2,515 ;54 ;2,210 ;4 ;30 ;11 ;4 ;45 ;34 ;;;359 ;886 ;120 ;43 ;28 ;2 ;200 ;518 ;- ;359 ;890 ;18 ;1,120 ;25 ;630 ;6,282 ;74 ;660 ;
Skalunda ;10,68 ;39 ;24 ;;18 ;1,837 ;15 ;40 ;;;;;;;;;294 ;1,000 ;60 ;50 ;10 ;;215 ;;;295 ;380 ;X 3 ;1,150 ;4 ;300 ;7,000 ;25 ;300 ;
Slädene ;16,50 ;84 ;45 ;;10 ;2,500 ;65 ;1,805 ;10 ;58 ;15 ;2 ;;;;;400 ;700 ;100 ;150 ;90 ;10 ;350 ;350 ;- ;300 ;560 ;- ;1,780 ;- ;200 ;6,400 ;200 ;500 ;
Strö ;12,81 ;28 ;28 ;;26 ;993 ;164 ;1,598 ;;;;;;;;;195 ;310 ;131 ;40 ;20 ;;;145 ;;150 ;430 ;- ;580 ;- ;400 ;2,040 ;200 ;300 ;
Sunnersberg ;27,88 ;96 ;68 ;;15 ;3,490 ;20 ;1,964 ;;;;;;;;;600 ;1,400 ;;50 ;60 ;10 ;140 ;700 ;80 ;600 ;600 ;;3,600 ;;1,000 ;3,000 ;75 ;600 ;
Söne ;15 ;54 ;35 ;;9 ;1,680 ;180 ;200 ;6 ;26 ;16 ;;;;;;136 ;490 ;150 ;50 ;1 ;;50 ;200 ;1 ;125 ;200 ;X 8 ;610 ;20 ;500 ;3,130 ;25 ;300 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tranum ;15,13 ;61 ;25 ;;41 ;2,300 ;90 ;600 ;6 ;24 ;20 ;;;;;;270 ;950 ;160 ;130 ;12 ;10 ;170 ;160 ;- ;320 ;350 ;- ;900 ;- ;600 ;5,440 ;520 ;450 ;
Tâdene ;9,25 ;15 ;30 ;;16 ;920 ;33 ;837 ;;;;;;;;;130 ;375 ;29 ;22 ;5 ;;42 ;208 ;- ;107 ;258 ;- ;462 ;- ;225 ;2,289 ;66 ;108 ;
Ufvered ;16,85 ;50 ;20 ;;20 ;2,900 ;270 ;10 ;;24 ;20 ;;;;;;350 ;950 ;100 ;25 ;15 ;3 ;400 ;797 ;- ;260 ;480 ;- ;1,440 ;- ;250 ;9,000 ;250 ;300 ;
Väla och Gillatad ;8,63 ;32 ;33 ;;9 ;1,067 ;11 ;1,880 ;5 ;41 ;6 ;;;;;;150 ;400 ;12 ;25 ;;;53 ;300 ;- ;127 ;95 ;5 ;805 ;- ;95 ;3,205 ;- ;60 ;
Asaka ;17 ;44 ;31 ;;25 ;1,885 ;35 ;280 ;;25 ;;;14 ;20 ;;;280 ;610 ;25 ;30 ;20 ;;165 ;520 ;- ;233 ;500 ;- ;1,100 ;- ;200 ;6,200 ;;200 ;
Orslösa ;19,75 ;70 ;70 ;;20 ;3,000 ;25 ;1,144 ;3 ;35 ;31 ;;- ;3 ;8 ;;200 ;1,100 ;150 ;45 ;10 ;8 ;450 ;800 ;37 ;200 ;600 ;- ;1,200 ;- ;500 ;6,000 ;600 ;1,000 ;
Summa K&liands härad ;348,08 ;1,209 ;1,026 ;;600 ;45,825 ;2,143 ;26,692 ;85 ;515 ;218 ;27 ;285 ;398 ;81 ;8 ;6,404 ;16,097 ;2,027 ;1,227 ;460 ;74 ;3,704 ;9,666 ;260 ;5,846 ;9,716 ;42 ;24,627 ;99 ;8,004 ;112,748 ;4,453 ;7,709 ;
Eling ;10 ;50 ;31 ;;15 ;885 ;370 ;190 ;8 ;39 ;2 ;1 ;1 ;;;1 ;130 ;480 ;10 ;50 ;12 ;3 ;30 ;95 ;5 ;85 ;30 ;12 ;600 ;24 ;60 ;3,600 ;30 ;30 ;
Essunga ;22,69 ;183 ;186 ;;15 ;2,600 ;80 ;322 ;;;;;- ;;;;265 ;1,960 ;10 ;200 ;20 ;5 ;105 ;250 ;- ;265 ;9 ;5 ;1,325 ;14 ;55 ;12,150 ;200 ;35 ;
Foglum ;11 ;77 ;28 ;;27 ;1,275 ;600 ;168 ;3 ;71 ;;;;;;;160 ;738 ;;65 ;;10 ;60 ;91 ;- ;140 ;65 ;4 ;700 ;2 ;180 ;8,180 ;40 ;24 ;
Hällum Kedum ;7,50 13,56 ;37 146 ;21 33 ;;40 ;1,728 2,746 ;10 160 ;114 2,400 ;10 ;14 125 ;10 ;3 ;;34 5 ;2 ;;218 320 ;662 1,100 ;54 60 ;20 50 ;15 5 ;10 ;218 250 ;436 650 ;- - ;218 301 ;55 150 ;- - ;163 1,300 ;- 20 ;20 110 ;786 10,000 ;150 200 ;20 50 ;
Lekasa ;11,50 ;43 ;47 ;;15 ;1,620 ;100 ;160 ;4 ;34 ;3 ;1 ;- ;;;;186 ;782 ;20 ;48 ;;8 ;47 ;338 ;- ;182 ;60 ;10 ;875 ;X 30 ;210 ;6,200 ;75 ;45 ;
Levene, del ;7 ;17 ;17 ;;3 ;700 ;20 ;20 ;;;;;;12 ;;;56 ;300 ;;28 ;11 ;;189 ;189 ;- ;120 ;60 ;- ;400 ;- ;70 ;3,000 ;60 ;50 ;
Long ;16 ;70 ;24 ;;10 ;3,103 ;108 ;30 ;7 ;40 ;12 ;;;;3 ;;320 ;1,000 ;150 ;50 ;10 ;5 ;500 ;856 ;===== ;320 ;500 ;;1,200 ;;300 ;8,640 ;;400 ;
Naum ;13,19 ;90 ;100 ;;36 ;2,319 ;550 ;400 ;54 ;106 ;8 ;;;;;;303 ;1,000 ;21 ;100 ;3 ;15 ;12 ;565 ;- ;300 ;50 ;16 ;1,465 ;13 ;43 ;8,950 ;125 ;120 ;
Ryda med Half&s ;25 ;149 ;91 ;;106 ;3,690 ;45 ;1,309 ;;;;;;;;;485 ;1,200 ;150 ;50 ;25 ;15 ;416 ;864 ;- ;485 ;250 ;;1,800 ;;200 ;10,000 ;400 ;500 ;
Sandbäck eller Kyrk&s ;4 ;16 ;28 ;;2 ;615 ;120 ;600 ;10 ;14 ;2 ;;;;;;110 ;295 ;2 ;25 ;2 ;4 ;30 ;120 ;- ;100 ;;5 ;550 ;20 ;18 ;2,710 ;18 ;10 ;
Skarstad ;18,88 ;158 ;21 ;;97 ;3,585 ;60 ;21 ;9 ;103 ;24 ;;3 ;27 ;;;285 ;1,164 ;265 ;75 ;4 ;3 ;375 ;1,380 ;- ;262 ;275 ;- ;1,524 ;- ;328 ;7,645 ;140 ;540 ;
Yara ;10,75 ;68 ;7 ;;8 ;2,349 ;40 ;3 ;1 ;45 ;19 ;;1 ;;2 ;;290 ;816 ;100 ;30 ;- ;4 ;290 ;580 ;;290 ;300 ;- ;1,000 ;;50 ;6,450 ;300 ;100 ;
Asaka ;14,58 ;140 ;38 ;;;1,378 ;;;;;;;;;;;150 ;710 ;12 ;50 ;- ;16 ;20 ;160 ;- ;260 ;15 ;;700 ;20 ;70 ;6,000 ;112 ;40 ;
Onum ;11,25 ;81 ;56 ;;22 ;3,550 ;143 ;400 ;4 ;24 ;20 ;- ;;;2 ;1 ;260 ;1,507 ;70 ;100 ;3 ;5 ;680 ;730 ;- ;260 ;125 ;;1,450 ;20 ;150 ;8,050 ;380 ;90 ;
Summa Barne härad ;196,85 ;1,325 ;728 ;;400 ;32,143 ;2,406 ;6,137 ;110 ;615 ;102 ;6 ;7 ;96 ;14 ;9 ;3,538 ;13,714 ;937 ;941 ;124 ;104 ;3,222 ;7,254 ;5 ;3,588 ;1,948 ;X 66 ;15,052 ;163 ;1,864 ;102,301 ;2,230 ;2,054 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Broby ;7,50 ;23 ;;3 ;2 ;885 ;45 ;3 ;;;;- ;- ;;- ;- ;124 ;337 ;4 ;8 ;3 ;1 ;50 ;285 ;- ;123 ;125 ;- ;530 ;- ;25 ;3,500 ;-- ;25 ;
Hangelösa ;16,50 ;68 ;80 ;;8 ;2,918 ;378 ;1,812 ;34 ;14 ;;;;;;;415 ;895 ;35 ;50 ;10 ;;180 ;890 ;- ;410 ;215 ;X 38 ;845 ;12 ;55 ;6,200 ;30 ;125 ;
Hasslösa ;12,95 ;74 ;66 ;;10 ;2,655 ;;613 ;4 ;52 ;15 ;1 ;24 ;22 ;;- ;276 ;860 ;48 ;38 ;10 ;3 ;550 ;580 ;- ;290 ;260 ;- ;1,120 ;- ;84 ;7,035 ;;110 ;
Husaby ;23,75 ;42 ;32 ;;20 ;2,150 ;80 ;300 ;9 ;20 ;16 ;;;;;;350 ;470 ;30 ;240 ;50 ;4 ;260 ;400 ;- ;350 ;260 ;35 ;1,350 ;- ;600 ;2,600 ;400 ;120 ;
Hofby ;12,63 ;45 ;37 ;;24 ;2,660 ;33 ;83 ;2 ;18 ;20 ;1 ;4 ;11 ;;2 ;250 ;800 ;35 ;50 ;20 ;1 ;600 ;600 ;- ;300 ;300 ;5 ;700 ;- ;100 ;8,000 ;- ;150 ;





