Table: Table_1

20 ;Tunhem 1) ;12:00 ;50 ;6 ;1,620 ;20 ;507 ;200 ;;5 ;23 ;22 ;;;;24 ;;86 ;266 ;10 ;46 ;3 ;1 ;15 ;- ;80 ;- ;- ;420 - ;360 ;1,740 ;- ;60 ;
21 ;Ugglum ;15:50 ;57 ;13 ;2,314 ;10 ;600 ;220 ;10 ;7 ;40 ;6 ;;10 ;;;;95 ;320 ;10 ;60 ;5 ;5 ;20 ;- ;85 ;G ;- ;570 - ;140 ;2,100 ;;30 ;
22 ;Valtorp ;14:50 ;25 ;32 ;2.083 ;22 ;1.140 ;421 ;500 ;3 ;21 ;1 ;2 ;;;;;'183 ;537 ;16 ;40 ;25 ;2 25 ;129 ;- ;183 ;20 ;- ;1,072 - ;301 ;4,530 ;15 ;31 ;
;Summa för Gudhems härad ;363-78 ;998 ;573 ;73,363 ;419 ;30,007 ;9,492 ;19,542 ;90 ;639 ;203 ;13 ;125 ;419 ;116 ;7 ;4,384 ;10,652 ;401 ;2,193 ;324 ;53 1,904 ;5,740 ;17 ;4,274 ;485 ;26 ;21,768 45 ;6,182 ;78,388 ;2,332 ;1,458 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 ;Bolum ;33:25 ;130 ;59 ;4,397 ;18 ;1,850 ;330 ;2,159 ;24 ;65 ;16 ;- ;10 ;26 ;10 ;- ;350 ;945 ;40 ;90 ;10 ;5 20 ;210 ;- ;280 ;55 ;15 ;2,000 - ;550 ;5,600 ;1.150 ;180 ;
24 ;Eggby ;20:75 ;34 ;39 ;3,406 ;;1.600 ;170 ;800 ;6 ;18 ;10 ;- ;;3 ;2 ;1 ;230 ;500 ;15 ;150 ;15 ;30 ;430 ;- ;230 ;40 ;;1,300 - ;200 ;3,100 ;250 ;90 ;
25 ;Häggum ;17:09 ;74 ;19 ;3,703 ;11 ;2,330 ;392 ;980 ;6 ;36 ;18 ;- ;10 ;12 ;2 ;- ;180 ;678 ;26 ;150 ;40 ;1 310 ;760 ;;185 ;24 ;25 ;1,032 ;450 ;6,798 ;- ;60 ;
26 ;Istrum ;8'25 ;16 ;66 ;4,000 ;17 ;1.165 ;148 ;2,670 ;- ;3 ;5 ;;;5 ;2 ;- ;140 ;370 ;22 ;80 ;18 ;4 85 ;297 ;;149 ;60 ;15 ;750 15 ;90 ;3,190 ;;60 ;
27 28 ;Lundby Skarke ;25:50 24-69 ;34 51 ;52 76 ;2,777 2.777 ;20 30 ;1,862 1,635 ;355 910 ;540 202 ;48 ;24 34 ;3 4 ;2 1 ;3 32 ;32 ;4 3 ;;214 320 ;550 510 ;60 40 ;100 130 ;50 20 ;2 220 1 100 ;422 234 ;30 - ;214 280 ;140 40 ;25 ;780 - 2,050 - ;500 600 ;2,600 3,200 ;355 100 ;200 150 ;
29 ;Skärf. ;15:31 ;25 ;66 ;4,397 ;60 ;900 ;300 ;3,100 ;;19 ;6 ;;44 ;22 ;;;150 ;230 ;15 ;50 ;5 ;- 100 ;200 ;- ;150 ;45 ;;712 - ;180 ;1,800 ;- ;60 ;
so ;Stenum ;15:88 ;38 ;54 ;5,092 ;60 ;580 ;1,120 ;3,332 ;;36 ;;;20 ;34 ;;;125 ;220 ;10 ;76 ;4 ;- - ;20 ;- ;125 ;45 ;24 ;580 - ;60 ;1,890 ;- ;40 ;
31 ;Ving ;10:13 ;20 ;35 ;2,083 ;55 ;900 ;100 ;1,000 ;;17 ;2 ;;18 ;17 ;;;150 ;263 ;5 ;70 ;2 ;- - ;260 ;;150 ;25 ;- ;725 - ;80 ;2,000 ;- ;20 ;
32 ;Öglunda ;13:56 ;38 ;18 ;3,934 ;7 ;620 ;530 ;600 ;6 ;27 ;6 ;;12 ;3 ;2 ;- ;100 ;300 ;15 ;40 ;- ;- - ;65 ;- ;100 ;30 ;- ;560 - ;130 ;2,550 ;- ;75 ;
;Summa för Valle härad ;184,41 ;460 ;484 ;5) 46,286 ;278 ;13,442 ;4,355 ;15,383 ;91 ;270 ;71 ;6 ;149 ;156 ;25 ;1 ;1,959 ;4,566 ;248 ;936 ;104 ;13 865 ;2.898 ;30 ;1,863 ;504 ;104 ;10,489 15 ;2,840 ;32,728 ;1.855 ;935 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33 ;Bredvik ;17:88 ;133 ;125 ;10,877 ;15 ;1.912 ;60 ;2,030 ;90 ;187 ;2 ;;88 ;140 ;1 ;11/1 ;340 ;587 ;14 ;266 ;- ;5 50 ;345 ;- ;305 ;15 ;- ;1,610 - ;- ;5,300 ;- ;26 ;
34 ;Fogel&s, Norra ;38:75 ;58 ;93 ;23,837 ;136 ;3.360 ;1,241 ;6,253 ;10 ;27 ;;;10 ;40 ;17 ;;532 ;1.137 ;;350 ;30 ;5 58 ;762 ;- ;500 ;189 ;- ;2,800 - ;200 ;10,200 ;;;
35 36 ;Fogelas, Sódra Forsby ;37:81 11:00 ;130 40 ;78 16 ;8) 4,397 ;38 20 ;3,230 1.300 ;180 230 ;9,399 750 ;- 6 ;110 29 ;18 ;2 ;;15 28 ;;1 ;452 200 ;1,000 375 ;15 25 ;277 50 ;30 20 ;6 150 5 125 ;900 300 ;- - ;420 200 ;200 200 ;20 ;2,060 30 800 ;- - ;10,000 2,000 ;- - ;50 100 ;
37 ;Grefbäck ;23:31 ;40 ;88 ;9) 9,720 ;32 ;2.220 ;986 ;3,800 ;;22 ;;3 ;;;2 ;;400 ;700 ;- ;300 ;17 ;3 - ;400 ;- ;400 ;;- ;2,600 - ;;6,300 ;- ;;
38 ;Hagelberg ;4:00 ;43 ;31 ;2,083 ;8 ;1.000 ;240 ;835 ;12 ;20 ;;;;;4 ;;100 ;300 ;4 ;70 ;6 ;2 - ;346 ;- ;172 ;30 ;;570 ;240 ;2,000 ;;20 ;
39 ;Hio landsförsamling ;20:50 ;111 ;49 ;7,174 ;30 ;3.275 ;975 ;2,894 ;37 ;60 ;37 ;3 ;;;;;475 ;1,000 ;10 ;350 ;30 ;5 250 ;705 ;;450 ;150 ;50 ;2,300 100 ;- ;10,000 ;100 ;20 ;
40 ;Kyrkefalla ;45:00 ;239 ;170 ;23,143 ;45 ;5,790 ;6,912 ;10,396 ;10 ;122 ;62 ;5 ;19 ;207 ;;;960 ;1,930 ;45 ;144 ;4 ;16 298 ;1,433 ;- ;960 ;200 ;;4,400 ;;19,000 ;;200 ;
41 ;Kyrketorp 1) ;14:63 ;29 ;36 ;4,166 ;12 ;1,650 ;350 ;1,657 ;6 ;15 ;16 ;3 ;3 ;;1 ;;200 ;450 ;49 ;200 ;20 ;- ;500 ;- ;200 ;120 ;;1,100 40 ;60 ;3,500 ;;300 ;
42 ;Mofalla ;10:31 ;60 ;43 ;5,091 ;3 ;600 ;460 ;1,737 ;9 ;35 ;6 ;;;;;;100 ;170 ;5 ;50 ;- ;2 - ;173 ;-- - ;100 ;30 ;10 ;500 25 ;;1.000 ;20 ;30 ;
43 ;Rvd ;8:88 ;8 ;31 ;;4 ;640 ;100 ;1.042 ;3 ;;2 ;1 ;3 ;;;;94 ;210 ;10 ;90 ;;;142 ;- ;94 ;;12 ;340 ;360 ;1.200 ;;60 ;
44 ;Sköfde landsförsamling ;23:39 ;124 ;122 ;in 5,503 ;50 ;2,000 ;200 ;1.100 ;20 ;90 ;5 ;;;;;;350 ;900 ;30 ;250 ;20 ;- 50 ;;- ;400 ;130 ;100 ;1,350 50 ;100 ;7.800 ;- ;150 ;
45 ;Suntetorp eller Sventorp ¹) ;27:35 ;112 ;116 ;11,571 ;36 ;4.474 ;100 ;1,400 ;? ;;P ;? ;? ;;? ;? ;600 ;1,525 ;20 ;110 ;35 ;5 135 ;1,344 ;- ;600 ;200 ;50 ;3,100 50 ;- ;12,100 ;;80 ;
46 ;Varola med Ed&sa häradsdel ;16:25 ;103 ;58 ;7,869 ;30 ;2.515 ;340 ;2,715 ;- ;77 ;10 ;;;13 ;2 ;;420 ;965 ;16 ;60 ;;2 56 ;575 ;- ;416 ;160 ;25 ;2,035 - ;25 ;8,000 ;;30 ;
47 ;Versãs ;25:37 ;96 ;53 ;10.414 ;25 ;3.950 ;1,900 ;4,593 ;;66 ;28 ;2 ;;11 ;12 ;;760 ;1.115 ;20 ;120 ;10 ;- 300 ;1,000 ;- ;625 ;400 ;30 ;3,580 - ;- ;9.630 ;- ;120 ;
48 ;V&mb 1) ;13:00 ;36 ;24 ;1.389 ;20 ;580 ;150 ;639 ;20 ;11 ;5 ;;20 ;11 ;5 ;;100 ;180 ;20 ;40 ;10 ;- 20 ;130 ;- ;80 ;;- ;600 - ;- ;1,800 ;;GO ;
49 ;Om, Bjärby o. Amundtorp 1) ;6:13 ;40 ;37 ;1,903 ;14 ;976 ;100 ;813 ;17 ;37 ;3 ;1 ;3 ;6 ;;;188 ;274 ;12 ;20 ;10 ;2 105 ;165 ;- ;200 ;100 ;- ;920 - ;10 ;2,500 ;50 ;50 ;
;Summa för K&kinds härad ;343.56 ;1,402 ;1,170 ;12) 136,311 ;518 ;39,472 ;14,524 ;52,053 ;241 ;909 ;213 ;26 ;176 ;533 ;72 ;13 ;6,271 ;12,818 ;301 ;2,747 ;247 ;59 1,597 ;9,220 ;- ;6.122 ;2,130 ;297 ;30,665 205 ;995 ;112,330 ;170 ;1,296 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50 ;Acklinga¹ ;15:00 ;32 ;56 ;6.017 ;10 ;1,060 ;410 ;1,000 ;3 ;8 ;2 ;- ;1 ;12 ;4 ;- ;150 ;470 ;20 ;50 ;6 ;2 55 ;160 ;- ;147 ;56 ;- ;760 - ;80 ;4,060 ;- ;32 ;
;;;;;3.703 ;;710 ;330 ;1,280 ;8 ;18 ;;;;;, ;;125 ;;;;;;;;;;;;;;;;
51 ;Baltak ;12:25 ;32 ;25 ;;6 6 ;;1,000 ;4.443 ;;10 ;9 ;- ;- ;27 ;1 ;;;265 ;4 ;60 ;4 ;2 22 ;92 ;- ;126 ;12 ;;625 ;10 ;2,345 ;- ;12 ;
52 ;Biurbäck (länsdel) ;16:13 ;47 ;39 ;6.249 ;;800 ;;;- ;;;- ;- ;;;;150 ;380 ;- ;68 ;2 ;2 8 ;46 ;- ;144 ;- ;12 ;820 48 ;40 ;4,504 ;;;
53 ;Bottnaryd (länsdel) ;3:75 ;8 ;11 ;3.934 ;2 ;274 ;1.140 ;2.518 ;;;;;;;;;23 ;141 ;- ;61 ;;2 ;24 ;- ;23 ;;;145 24 ;14 ;724 ;74 ;;
54 ;Brandstorp ;16:84 ;86 ;62 ;14,811 ;10 ;5,000 ;4,000 ;4,801 ;? ;;P ;? ;;;? ;? ;500 ;1,000 ;20 ;850 ;10 ;20 600 ;1,500 ;- ;500 ;25 ;50 ;2,475 70 ;200 ;5,000 ;500 ;25 ;
55 ;Daretorp ;17:38 ;110 ;60 ;17.820 ;14 ;1.175 ;1,243 ;3,500 ;12 ;97 ;;;12 ;20 ;1 ;;275 ;400 ;2 ;120 ;6 ;2 14 ;86 ;;270 ;40 ;20 ;1,310 55 ;35 ;3.165 ;75 ;8 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56 ;Dimbo ;26:63 ;35 ;33 ;4.860 ;16 ;1,850 ;107 ;4 ;3 ;70 ;20 ;3 ;;;3 ;1 ;150 ;766 ;21 ;68 ;10 ;4 216 ;460 ;5 ;150 ;50 ;12 ;850 - ;190 ;5,000 ;42 ;80 ;
57 ;Falköpings landsförs, (del) ;14:50 ;17 ;19 ;2.083 ;6 ;1,777 ;300 ;;;13 ;1 ;2 ;2 ;13 ;;;140 ;802 ;10 ;50 ;14 ;i 235 ;375 ;- ;150 ;;- ;775 ;575 ;5,500 ;;12 ;
58 ;Fridene ;12:75 ;62 ;46 ;13) 5,786 ;12 ;1,575 ;400 ;325 ;14 ;15 ;15 ;2 ;2 ;;5 ;;230 ;495 ;5 ;20 ;3 ;2 115 ;530 ;- ;175 ;95 ;5 ;620 20 ;25 ;3,550 ;;12 ;
;Fröjered ;17:69 ;91 ;90 ;13,423 ;30 ;5,525 ;2,498 ;5,370 ;22 ;64 ;21 ;4 ;;14 ;11 ;2 ;600 ;1.613 ;25 ;75 ;30 ;;;;;;;;50 ;;;;
59 ;Gernm ;9:75 ;32 ;;2,132 ;2 ;482 ;400 ;;2 ;24 ;6 ;;2 ;24 ;;;78 ;215 ;10 ;39 ;;12 1,000 ;1,570 ;- ;600 ;150 ;10 ;2,600 15 ;;9,000 ;30 ;60 ;
60 ;;;;;;;;;;;;;;8 ;;20 ;;;;;;- ;2 - ;60 ;- ;78 ;;- ;468 ;180 ;2.580 ;24 ;GO ;
61 ;Fiskebäck (Gustaf Adolf) 1). ;23:00 ;130 ;105 ;21,523 ;28 ;2,000 ;1,800 ;4.000 ;1 ;125 ;12 ;;;135 ;;1 ;280 ;700 ;2 ;230 ;- ;15 - ;480 ;10 ;283 ;15 ;- ;3,000 150 ;40 ;10,000 ;320 ;20 ;
62 ;Haho ;41:90 ;248 ;131 ;26.152 ;32 ;4.300 ;8,000 ;13-820 ;;;40 ;2 ;? ;;? ;P ;650 ;1,450 ;20 ;500 ;10 ;20 ;1,000 ;- ;650 ;25 ;30 ;3.700 350 ;300 ;12,500 ;150 ;120 ;
;Hyalstad ;26:75 ;46 ;33 ;4,397 ;15 ;2,379 ;500 ;1,000 ;5 ;29 ;5 ;;9 ;31 ;5 ;1 ;457 ;749 ;1 ;420 ;55 ;3 180 ;;;;;;2.030 20 ;150 ;;;5 ;
63 ;;;22 ;12 ;2,083 ;8 ;744 ;60 ;1,271 ;;12 ;4 ;2 ;;;;;100 ;;;;;;140 ;- ;392 ;;- ;;;7,000 ;50 ;;
64 65 ;Hvarf Hângsdala ;12:50 16:00 ;26 ;12 ;2,083 ;10 ;1,285 ;219 ;- ;- - ;6 ;20 ;;12 ;6 ;18 ;;214 ;320 307 ;13 7 ;82 107 ;22 5 ;2 40 3 15 ;85 413 ;- - ;80 214 ;10 6 ;- - ;560 - 1.342 - ;60 101 ;3,500 3.219 ;- - ;20 76 ;





