Table: Table_1

Summa för Vartofta härad ;X 18 ;2,208 ;- ;177,285 ;;488 ;6,585 ;1,541 ;290,911 ;4,603 ;48,101 ;1,150,888 ;19,564 ;8,659 ;103 ;6,020 ;- ;1,402,423 ;94,947 ;877 ;471 ;21,972 ;251,457 ;2,333 ;825 ;6,140 ;297 ;12,459 ;5,520 ;12,391 ;- ;4,709 ;1,639 ;
Brismene ;- ;30 ;- ;3,600 ;;10 ;- ;- ;1,920 ;- ;1,000 ;21,250 ;- ;120 ;- ;120 ;- ;21,600 ;- ;10 ;- ;;3,150 ;90 ;10 ;80 ;;300 ;150 ;X 200 ;- ;100 ;;
Börstig ;;48 ;- ;5,000 ;;;175 ;120 ;2,550 ;X 300 ;650 ;18,000 ;900 ;;- ;100 ;- ;27,000 ;200 ;3 ;;1,000 ;3,000 ;60 ;30 ;135 ;;400 ;170 ;215 ;- ;200 ;;
Grolanda ;4 ;30 ;- ;2,520 ;;25 ;- ;- ;8,552 ;42 ;1,868 ;18,900 ;- ;X 108 ;32 ;240 ;- ;25,200 ;300 ;30 ;20 ;- ;500 ;70 ;28 ;160 ;;310 ;150 ;245 ;- ;;;
Kinneved ;- ;15 ;- ;2,800 ;;30 ;- ;- ;8,324 ;- ;1,560 ;34,540 ;;42 ;- ;;- ;12,600 ;750 ;60 ;25 ;- ;1,056 ;110 ;40 ;180 ;12 ;435 ;245 ;425 ;- ;155 ;;
Smula ;;24 ;;2,268 ;576 ;9 ;;- ;864 2,646 ;- ;432 812 ;4,968 8,996 ;- ;30 72 ;24 ;120 ;- ;4.032 18,500 ;98 ;34 ;;- ;160 850 ;22 ;13 ;36 ;;60 162 ;24 40 ;40 136 ;- ;;;
y&rknmla ;;;;;;;;;;;;;;;X ;;;;;;;;;;;;;;;;;;;
Asarp ;1 ;6 ;- ;;420 ;? ;- ;- ;684 ;- ;150 ;2,250 ;30 ;18 ;;36 ;- ;2,940 ;- ;P ;;- ;20 ;15 ;;36 ;;65 ;35 ;40 ;- ;;;
Summa för Frökinds härad ;X II ;171 ;- ;17,184 ;;75 ;175 ;120 ;15,540 ;342 ;X 5,972 ;108,904 ;X 930 ;465 ;63 ;783 ;- ;111,872 ;1,348 ;137 ;45 ;X 1,000 ;8,736 ;414 ;144 ;703 ;45 ;1,732 ;814 ;1,301 ;- ;578 ;? ;
Amnehärad ;;;;4,800 ;;10 ;315 ;- ;15,000 ;- ;240 ;42,700 ;- ;150 ;;40 ;- ;33,600 ;900 ;- ;8 ;200 ;30,000 ;75 ;;200 ;;550 ;250 ;150 ;- ;320 ;;
Beateberg ;;;;4,000 ;;48 ;1,600 ;- ;11,200 ;;150 ;26,850 ;;900 ;;grönfoder ;;40,000 ;6,000 ;- ;48 ;;5,000 ;;;180 ;10 ;370 ;300 ;400 ;;;;
Berg ;;;;5,000 ;;;1,680 ;;16,000 ;;X 3,600 ;19,250 ;500 ;1,400 ;;;- ;40,000 ;;;;;10,000 ;;16 ;150 ;;320 ;120 ;100 ;;;;
Bellefors ;;;;1,400 ;;5 ;1,150 ;55 ;4,000 ;;;12,000 ;;400 ;;70 ;- ;6,000 ;360 ;14 ;;;3,000 ;;;120 ;;300 ;40 ;100 ;;;;
Binneberg ;;;;;960 ;;210 ;;2,500 ;- ;;4,800 ;- ;900 ;;;- ;7,680 ;;;;;1,500 ;10 ;;;;60 ;40 ;60 ;;;;
;;;;1,512 ;;;3,000 ;180 ;8,400 ;;240 ;36,540 ;- ;3,000 ;24 ;1,050 ;- ;12,096 ;3,630 ;30 ;10 ;500 ;40,000 ;45 ;;;;550 ;200 ;400 ;;;;
Björkäng Björsäter ;X ;100 ;;3,000 ;;50 ;3,290 ;120 ;10,928 ;- ;X 1,400 ;34,800 ;- ;500 ;60 ;600 ;- ;30,000 ;10,500 ;150 ;10 ;6,000 ;36,000 ;150 ;;240 ;;450 ;250 ;250 ;;;500 ;
Bäck ;;;;;630 ;;882 ;;5,556 ;;;18,900 ;- ;600 145 ;;50 ;- ;5,040 ;? ;;;;7,760 ;18 ;;;;200 ;96 ;120 ;;;;
Boja ;;;;;1,000 ;15 ;365 ;65 ;2,690 ;- ;X 150 ;9,490 ;- ;;;;- ;5,750 ;;75 ;;;5,000 ;20 ;;;;110 ;110 ;130 ;;;;
Karlsborg. Ek ;;130 ;;;1,680 ;20 ;600 ;50 ;11,000 ;- - ;720 ;34,400 ;- ;150 ;;gronf.o 130 ;;400 8,400 ;16,000 ;120 ;20 ;;12,000 ;75 50 ;;;;;;100 ;;100 ;;
Ekby ;;16 ;;;1,169 ;;4,500 ;;10,430 ;;X 108 ;28,000 ;- ;5,400 ;30 ;112 ;;9,352 ;P ;;;- ;;49 ;;;;;;;;;;
Ekeskog ;;;;;1,420 ;;870 ;;10,290 ;;;32,816 ;- ;500 ;;;;11,360 ;;;;- ;9,690 ;;;;;;106 ;180 ;;;;
Elgar&s ;;;;;2,800 ;;300 ;;12,500 ;20 ;;30,000 ;;200 ;;100 ;;22,200 ;200 ;;- ;;10,500 ;;;;;;;;;;;
;;;;;5,550 ;150 ;300 ;;10,150 ;120 ;300 ;25,650 ;60 ;800 ;120 ;200 ;;22,200 ;720 ;450 ;;200 ;12,480 ;;;;;1,000 ;300 ;400 ;;;;
Finnerödja ;10 ;;;;450 ;;1,920 ;;2,960 ;;160 ;12,000 ;X 4,000 ;2,200 ;40 ;200 ;- ;1,800 ;120 ;;2 ;X 50 ;12,000 ;;;;;;;150 ;;;;
Flistad ;;;;;7,400 ;;4,500 ;;21,000 ;;200 ;88,000 ;- ;2,560 ;;150 ;- ;74,000 ;2,700 ;;;10,000 ;75,600 ;;;;;;;400 ;;;;
Fredsberg Frösve ;;;;;2,000 ;;1,890 ;;15,200 ;;124 ;56,000 ;;960 ;;100 ;- ;14,000 ;4,900 ;24 ;3 ;1,500 ;8,400 ;;;;;;;180 ;;;;
Fägre ;X ;;;;4,000 ;;16,000 ;;29,500 ;;;85,000 ;;3,600 ;;900 ;- ;24,000 ;P ;30 ;;;;160 ;;;;1,100 ;;700 ;;;;
Götlunda ;;;;;2,750 2,150 ;;4,500 400 ;;14,400 7,800 ;;30 ;81,600 19,860 ;- ;2,000 930 ;40 ;420 ;- - ;16,500 12,750 ;;40 ;;- - - ;34,560 8,000 ;;;;;;;250 ;;;;
Halna och Färed ;;;;;5,300 ;;7,800 ;;27,300 ;;900 ;70,000 ;X 800 ;1,440 ;60 ;1,740 ;- ;42,400 ;P ;40 ;- ;- ;56,000 ;75 ;;;;;260 ;300 ;;;;
Hasle, Berga Hjälstad ;;;;;450 ;;2,890 ;;7,280 ;;90 ;22,500 ;;800 ;;350 ;;4,150 ;;;;- ;15,000 ;28 ;;120 ;;;;100 ;;;;
Hofva och Fagerlid ;;;;;5,000 ;;1,500 ;500 ;28,200 ;600 ;1,000 ;107,400 ;X 1,200 ;680 ;;660 ;;40,000 ;20,000 ;;50 ;- ;60,000 ;200 ;;500 ;;1,400 ;100 ;1,000 ;;;;
Horn ;X ;;;;3,600 ;;900 ;;5,400 ;;600 ;21,000 ;;1,200 1,400 ;50 ;240 ;;25,600 ;200 ;120 ;;;7,500 ;33 ;;100 ;;;;120 ;;;;
Leksberg ;;;;;1,440 ;;2,576 ;;7,749 ;;200 ;24,600 ;;;;300 ;;14,400 ;2,800 ;;;;16,840 ;48 ;;140 ;;340 ;136 ;;;;;
Lerdala ;;;;;2,540 ;;1,815 ;;6,560 ;50 ;1,500 ;16,296 ;480 ;540 ;;;;15,240 ;2,600 ;8 ;;;20,000 ;54 ;;;;350 ;125 ;125 ;;;;
Locketorp ;;;;;3,600 ;;1,860 ;225 ;9,590 ;;90 ;23,200 ;100 ;900 ;;;;28,800 ;4,500 ;70 ;;X 2,000 ;11,000 ;36 ;;;;346 ;126 ;;;;;
Lyrestad ;;;;;4,670 ;;1,200 ;;14,200 ;;290 ;78,400 ;- ;1,600 480 ;;160 ;;37,360 ;;300 ;60 ;1,000 ;23,000 ;41 ;;500 ;;860 ;500 ;1,200 ;;;;
Lastad ;;;;;983 ;;1,300 ;40 ;2,650 ;;119 ;6,800 ;- ;;;;;6,000 ;75 ;12 ;4 ;;5,000 ;45 ;;120 ;;300 ;;100 ;;;;
Mo ;;;;;1,400 ;;2,880 ;;4,050 ;;;18,480 ;;950 ;;250 ;;8,400 ;;;;;11,440 ;20 ;;70 ;;190 ;;70 ;;;;
Mölltorp ;;;;;6,000 ;25 ;350 ;240 ;12,500 ;110 ;60 ;28,000 ;300 ;480 ;;grönfoder ;;36,000 ;6,000 ;120 ;30 ;;22,000 ;48 ;;300 ;;620 ;190 ;200 ;;;;
Odensäker ;;;;;1,000 ;;1,500 ;;12,250 ;;100 ;31,500 ;- ;1,000 ;;120 ;- ;8,000 ;600 ;;;;4,740 ;;15 ;150 ;;270 ;105 ;150 ;;;;
Ransberg ;;;;;9,450 ;360 ;315 ;;12,600 ;630 ;;37,800 ;;1,530 ;125 ;190 ;- ;44,100 ;;1,200 ;;500 ;14,000 ;100 ;20 ;400 ;10 ;500 ;300 ;1,000 ;;200 ;;
Svenneby ;;;;;690 ;3 ;2,280 ;;1,375 ;;420 ;5,040 ;420 ;470 ;18 ;;;4,830 ;2,400 ;6 ;;;8,000 ;34 ;16 ;80 ;6 ;290 ;50 ;60 ;;X ;;





