Table: Table_1

Fogelas. Norra ;;;;13,300 ;;;2,835 ;;25,200 ;;2,610 ;63,000 ;X 190 ;248 ;;950 ;;110,000 ;25,200 ;;;6.000 ;41.000 ;;5 ;256 ;13 ;660 ;240 ;600 ;;230 ;;
Fogelas, Södra ;;60 ;;11,400 ;20 ;;1,400 ;X 150 ;12,300 ;120 ;300 ;40.750 ;;420 ;;;- ;68,400 ;;;8o ;90 ;40,000 ;50 ;10 ;300 ;10 ;400 ;200 ;800 ;;300 ;;
Gredbäck ;;;;12,000 ;25 ;;;- ;11,700 ;- ;;37,800 ;..... ;96 ;;- ;;96,000 ;14.490 ;140 ;;;13,500 ;42 ;1 ;270 ;8 ;390 ;140 ;413 ;;100 ;;
Hagelberg ;;;;2,000 ;;;640 ;;5,600 ;;- - ;21,600 32,000 ;400 ;180 350 ;;;;20,000 75,000 ;- ;;- - ;;;6o ;is ;60 ;6 ;190 ;;100 ;;;;
Hjo landsförsamling Kyrkefalla ;;200 ;;11,000 5,700 ;32 100 ;;1,000 ;X 400 ;12,000 22,000 ;400 ;;76,000 ;;1.000 ;;250 ;;35,100 ;- ;X IOO 400 ;;- ;- - ;50 110 ;12 ;150 540 ;10 10 ;1,000 ;173 340 ;350 1,400 ;;200 ;;
Kyrketorp ;;15 ;;1,300 ;;;138 ;;3,708 ;200 ;1,600 ;11,200 ;600 ;80 ;;90 ;;10,400 ;- ;- ;;;- ;34 ;15 ;60 ;2 ;110 ;50 ;90 ;;;;
Mofalla ;;;;900 ;;;250 ;69 ;2,500 ;150 ;;4,000 ;100 ;125 ;;;;6,000 ;- ;- ;12 ;;;15 ;5 ;125 ;2 ;115 ;4 ;180 ;;;;
Ryd ;;;;2,900 ;;;;24 ;2,076 ;;2,160 ;3,630 ;;;;;;10,800 ;;- ;;;7,000 ;18 ;;44 ;3 ;140 ;12 ;90 ;- ;;;
Sköfde landsförsamling ;;60 ;;3,500 ;;;2,500 ;500 ;9,600 ;750 ;600 ;36,800 ;;520 ;;;;32,500 ;- ;;;;;120 ;;175 ;5 ;500 ;75 ;100 ;- ;150 ;X 400 ;
Suntetorp och Sventorp ;;;;;;;1,100 ;35° ;1,800 ;;;;;;;200 ;;10,200 ;;;;;;139 ;15 ;260 ;;850 ;220 ;600 ;- ;;;
Varola. ;;;;1,700 ;;;1,050 ;;8,800 ;- - ;;25,600 ;;;;270 ;;;;;;;28.800 ;;;216 ;;372 ;160 ;356 ;- ;;325 ;
Vers&s ;;;;4,000 ;;;1,600 ;120 ;17,500 ;;;28,500 ;;360 ;;;;28,000 ;- ;- ;;;;90 ;25 ;300 ;12 ;700 ;250 ;400 ;- ;150 ;;
