Table: Table_1

Segerstad ;24 ;75 ;24 ;1,450 ;2 ;700 ;240 ;- ;-- ;- ;- ;- ;- ;- ;- ;- ;120 ;470 ;- ;50 ;- ;2 ;- ;200 ;- ;120 ;X 35 ;- ;GOO ;-- ;250 ;2,945 ;150 ;120 ;
Stenstorp ;15,25 ;53 ;6 ;1,860 ;6 ;952 ;210 ;698 ;- ;39 ;12 ;- ;- ;10 ;- ;2 ;186 ;364 ;8 ;31 ;;2 ;- ;158 ;- ;186 ;;---- ;1,260 ;-- ;94 ;4,422 ;;50 ;
Sjögerstad ;19,88 ;45 ;43 ;3,459 ;75 ;1,570 ;1,055 ;759 ;6 ;31 ;8 ;- ;- ;8 ;- ;- ;300 ;500 ;50 ;100 ;30 ;5 ;- ;285 ;- ;300 ;X 94 ;- ;1,260 ;X 63 ;189 ;3,780 ;;252 ;
Sätuna ;11,88 ;30 ;7 ;1,588 ;10 ;405 ;1,113 ;60 ;4 ;19 ;2 ;- ;- ;3 ;- ;- ;91 ;144 ;11 ;22 ;3 ;1 ;X 20 ;25 ;- ;88 ;- ;- ;585 ;- ;126 ;1,082 ;189 ;50 ;
Torbjörntorp ;11,88 ;34 ;6 ;1,902 ;8 ;1,234 ;650 ;10 ;- ;16 ;14 ;1 ;- ;1 ;2 ;- ;120 ;480 ;6 ;35 ;25 ;3 ;154 ;309 ;- ;120 ;X 12 ;- ;579 ;- ;189 ;2,961 ;189 ;31 ;
Tunhem ;12 ;47 ;7 ;1,300 ;20 ;420 ;200 ;- ;4 ;23 ;20 ;;4 ;22 ;21 ;- ;80 ;260 ;10 ;40 ;3 ;2 ;- ;15 ;-- ;80 ;- ;- ;409 ;- ;378 ;1,827 ;;75 ;
Ugglum ;15,50 ;60 ;10 ;1,630 ;10 ;530 ;300 ;790 ;2 ;20 ;26 ;1 ;10 ;20 ;21 ;1 ;80 ;320 ;10 ;50 ;;;- ;10 ;- ;80 ;- ;- ;504 ;- ;315 ;1,260 ;;50 ;
Waltorp ;14,50 ;28 ;42 ;1,987 ;15 ;823 ;437 ;712 ;2 ;17 ;7 ;2 ;- ;2 ;;;205 ;390 ;17 ;31 ;1 ;2 ;- ;76 ;- ;100 ;X 44 ;- ;1,141 ;- ;150 ;3,257 ;12 ;82 ;
Summa, Gudhems härad ;368,88 ;1,071 ;530 ;51,002 ;393 ;21,696 ;11,293 ;15,259 ;60 ;875 ;206 ;11 ;56 ;234 ;79 ;9 ;3,389 ;8,175 ;279 ;1,292 ;263 ;54 ;1,288 ;4,430 ;10 ;3,244 ;339 ;- ;18,064 ;X 63 ;5,770 ;60,199 ;3,616 ;1,553 ;
Bolum ;32,88 ;101 ;40 ;3,175 ;18 ;1,192 ;618 ;1,347 ;23 ;60 ;15 ;;24 ;76 ;20 ;;269 ;518 ;35 ;43 ;- ;- ;- ;63 ;- ;282 ;X 30 ;- ;1,650 ;- ;730 ;3,220 ;810 ;190 ;
Eggby ;20,50 ;26 ;39 ;- ;;- ;- ;- ;;7 ;11 ;2 ;- ;3 ;9 ;2 ;210 ;400 ;50 ;100 ;12 ;1 ;25 ;50 ;- ;210 ;75 ;- ;1,330 ;- ;567 ;8,465 ;126 ;189 ;
Häggum ;17,28 ;95 ;20 ;4,050 ;10 ;919 ;1,128 ;1,898 ;4 ;64 ;71 ;;4 ;68 ;71 ;;86 ;400 ;92 ;75 ;- ;3 ;86 ;86 ;- ;86 ;12 ;- ;541 ;- ;163 ;2,608 ;246 ;100 ;
Istrum ;8,25 ;13 ;53 ;- ;- ;- ;-- ;- ;- ;- ;3 ;3 ;- ;4 ;1 ;2 ;140 ;300 ;20 ;80 ;- ;- ;- ;- ;- ;140 ;50 ;- ;831 ;- ;63 ;2,394 ;126 ;94 ;
Lundby ;25.50 ;27 ;41 ;2,500 ;12 ;1,500 ;500 ;488 ;9 ;30 ;1 ;2 ;- ;6 ;- ;;270 ;350 ;75 ;150 ;- ;- ;185 ;200 ;--- ;270 ;88 ;- ;1,663 ;- ;838 ;3,440 ;;472 ;
Skarke ;24,44 ;49 ;97 ;4,275 ;29 ;1,390 ;1,140 ;1,716 ;65 ;36 ;2 ;1 ;111 ;31 ;3 ;1 ;294 ;449 ;60 ;148 ;15 ;5 ;- ;125 ;- ;294 ;50 ;- ;1,600 ;- ;600 ;2,600 ;100 ;400 ;
Skärf ;15,31 ;35 ;78 ;4,360 ;60 ;450 ;450 ;3,400 ;10 ;22 ;3 ;;47 ;31 ;- ;;150 ;112 ;4 ;60 ;2 ;2 ;50 ;400 ;- ;150 ;50 ;- ;882 ;- ;190 ;1,134 ;25 ;20 ;
Stennm ;15,88 ;34 ;60 ;5,130 ;60 ;560 ;1,120 ;3,890 ;9 ;20 ;3 ;2 ;20 ;40 ;- ;;140 ;180 ;6 ;90 ;3 ;X 3 ;120 ;1,000 ;- ;140 ;50 ;- ;718 ;- ;189 ;1,842 ;57 ;40 ;
Wing ;10.13 ;29 ;21 ;2,055 ;55 ;300 ;400 ;1,300 ;3 ;15 ;2 ;1 ;22 ;6 ;1 ;-- ;100 ;75 ;5 ;40 ;4 ;1 ;100 ;330 ;- ;100 ;27 ;-- ;567 ;- ;123 ;744 ;13 ;14 ;
Öglunda ;13,19 ;25 ;16 ;1.430 ;7 ;400 ;350 ;673 ;11 ;16 ;3 ;;;9 ;;;100 ;120 ;15 ;30 ;;;- ;30 ;- ;105 ;13 ;- ;504 ;- ;189 ;315 ;;63 ;
Summa, Walle härad ;183,86 ;434 ;465 ;26,975 ;251 ;6,711 ;5,706 ;14.212 ;131 ;270 ;114 ;11 ;228 ;274 ;105 ;5 ;1,759 ;2,904 ;362 ;816 ;36 ;15 ;566 ;2,284 ;- ;1,777 ;395 ;- ;10,286 ;- ;3,652 ;21,262 ;1,503 ;1,582 ;
Brevik ;17,88 ;133 ;82 ;6,800 ;13 ;1,302 ;190 ;5,294 ;46 ;132 ;1 ;1 ;46 ;84 ;2 ;1 ;300 ;344 ;- ;130 ;- ;18 ;X 60 ;150 ;- ;300 ;- ;- ;1,500 ;- ;- ;3,096 ;- ;- ;
Forsby ;11 ;47 ;19 ;2,250 ;15 ;1,500 ;350 ;885 ;- ;- ;;;- ;- ;- ;;250 ;360 ;- ;40 ;15 ;- ;200 ;400 ;- ;250 ;120 ;- ;2,000 ;- ;- ;3,630 ;;125 ;
Fâgelâs, Norra ;38,38 ;71 ;100 ;10,990 ;136 ;3,028 ;1,542 ;6,284 ;- ;40 ;8 ;1 ;- ;55 ;14 ;X 2 ;550 ;980 ;X 35 ;280 ;32 ;14 ;87 ;600 ;- ;500 ;152 ;- ;3,087 ;- ;- ;9,009 ;207 ;31 ;
Fâgelâs, Sodra ;38,31 ;140 ;77 ;6,343 ;56 ;1,950 ;1,000 ;3,338 ;- ;93 ;4 ;2 ;- ;40 ;1 ;- ;437 ;678 ;19 ;207 ;- ;9 ;X 80 ;170 ;- ;400 ;92 ;- ;2,878 ;X 65 ;91 ;6,031 ;225 ;46 ;
Grefbäck ;23.81 ;38 ;95 ;7,038 ;32 ;2,100 ;1,054 ;3,852 ;1 ;14 ;1 ;X 4 ;- ;22 ;2 ;- ;409 ;647 ;2 ;260 ;X 3 ;6 ;;394 ;- ;379 ;;- ;1,985 ;138 ;- ;4,700 ;;13 ;
Hagelberg ;4 ;27 ;32 ;3,448 ;8 ;860 ;240 ;2,340 ;10 ;20 ;4 ;1 ;X 6 ;X 23 ;2 ;- ;140 ;311 ;5 ;73 ;2 ;1 ;202 ;- ;- ;125 ;55 ;- ;790 ;- ;- ;2,780 ;;31 ;
Hjo laudsförsamling ;20,50 ;93 ;49 ;6,666 ;15 ;2,200 ;2,351 ;2,100 ;- ;- ;;;- ;- ;- ;;300 ;830 ;5 ;140 ;5 ;20 ;X 200 ;400 ;- ;300 ;81 ;-- ;1,480 ;X 31 ;- ;8,465 ;X 63 ;25 ;
Kyrkefalla ;45 ;266 ;128 ;9,000 ;45 ;2,700 ;600 ;3,000 ;56 ;133 ;44 ;3 ;- ;X 38 ;9 ;X 4 ;450 ;650 ;25 ;95 ;- ;25 ;105 ;1.000 ;- ;450 ;63 ;- ;2,394 ;X 63 ;- ;7,560 ;;63 ;
Kyrketorp ;14,63 ;30 ;24 ;3,669 ;12 ;1,530 ;300 ;1,828 ;6 ;5 ;17 ;2 ;10 ;1 ;1 ;- ;200 ;429 ;12 ;127 ;X 4 ;1 ;520 ;- ;- ;236 ;60 ;- ;1,190 ;X 30 ;X 70 ;3,550 ;;75 ;
Mofalla ;10,31 ;57 ;23 ;2,500 ;1 ;456 ;442 ;1,600 ;5 ;35 ;1 ;- ;- ;10 ;- ;- ;152 ;108 ;3 ;30 ;- ;3 ;- ;8 ;- ;152 ;- ;- ;660 ;- ;- ;1,000 ;;15 ;
Ryd ;8,88 ;8 ;30 ;1,500 ;4 ;520 ;111 ;865 ;3 ;1 ;2 ;1 ;3 ;2 ;2 ;1 ;79 ;209 ;10 ;55 ;- ;- ;- ;108 ;- ;59 ;6 ;- ;422 ;- ;X 378 ;1,310 ;;56 ;
Sköfde landsförsamling ;24,19 ;91 ;141 ;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;====== ;- ;- ;- ;- ;150 ;- ;1,200 ;- ;- ;3,000 ;;75 ;
Suntetorp och Sventorp ;27,35 ;108 ;133 ;8,100 ;47 ;4,320 ;300 ;3.100 ;17 ;87 ;10 ;4 ;23 ;95 ;10 ;X 4 ;617 ;1,234 ;X 30 ;120 ;X 50 ;15 ;450 ;1,234 ;- ;617 ;275 ;- ;2,835 ;- ;- ;11,106 ;;160 ;
Warola ;16,25 ;98 ;28 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;170 ;- ;2,151 ;- ;X 87 ;3,945 ;;160 ;
Wersas ;25,50 ;97 ;57 ;9,530 ;- ;2,432 ;2,230 ;4,868 ;- ;87 ;8 ;2 ;- ;17 ;10 ;- ;650 ;950 ;X 39 ;140 ;10 ;X 20 ;X 300 ;625 ;- ;650 ;X 300 ;- ;2,800 ;- ;- ;6,650 ;;200 ;





