Table: Table_1

Främmestad* ;19,81 ;;;;;;;;;;;;;;;;;;;- ;;;;- ;;- ;;;- - ;;- ;;;
Hyringa ;16,44 ;;;3,369 ;;2,548 ;10 ;813 ;- ;;;;;;;;;318 ;811 ;80 ;;18 ;4 ;479 ;479 ;- ;318 ;350 ;- ;1.016 ;- ;315 ;7,000 ;
Levene, del* ;7,88 ;;;2.111 ;25 ;1.400 ;50 ;300 ;;;;;;;;;;125 ;540 ;30 ;;5 ;10 ;100 ;250 ;- ;315 ;160 ;- ;800 ;- ;100 ;800 ;
Längjum ;7,13 ;;;1.674 ;6 ;1.513 ;5 ;150 ;8 ;;;;;;;;;188 ;521 ;23 ;;2 ;3 ;350 ;364 ;-- ;188 ;315 ;- ;625 ;- ;190 ;4,094 ;
Malma ;14,88 ;;;4.800 ;;2,420 ;18 ;1,800 ;5 ;;;;;;;;1 ;295 ;1.500 ;20 ;;;15 ;200 ;450 ;- ;225 ;122 ;- ;1,355 ;- ;160 ;9,885 ;
Sparlõsa ;22,18 ;;;6,000 ;50 ;3,620 ;90 ;757 ;24 ;;;;;;;;- ;348 ;1,400 ;130 ;;20 ;18 ;200 ;765 ;- ;649 ;500 ;- ;1.588 ;- ;280 ;18,170 ;
Tengene ;15,88 ;;;3.695 ;;3.100 ;155 ;380 ;5 ;;;;;;;;1 ;300 ;840 ;30 ;;;15 ;300 ;600 ;;300 ;300 ;- ;1,125 ;- ;450 ;4,500 ;
Trökörna ;18.56 ;107 ;;6,581 ;;1,593 ;30 ;4.598 ;5 ;48 ;;1 ;6 ;;11 ;- ;- ;260 ;690 ;13 ;125 ;75 ;10 ;200 ;300 ;10 ;260 ;250 ;- ;1,180 ;- ;100 ;5.490 ;
Summa Viste härad ;157,46 ;708 ;357 ;36,306 ;217 ;21,103 ;625 ;10,298 ;48 ;480 ;147 ;7 ;7 ;;25 ;5 ;4 ;2,284 ;8,333 ;429 ;556 ;120 ;95 ;2,344 ;4,256 ;10 ;2,825 ;2,327 ;- ;9,819 ;- ;2.030 ;62,914 ;
Gösslunda ;22.69 ;;;3.291 ;;2,111 ;;540 ;;;;;;;;7 ;1 ;300 ;1.180 ;256 ;;;8 ;90 ;475 ;- ;349 ;450 ;- ;1,230 ;- ;410 ;7,820 ;
Hjerpis, Höra och Vedum ;28,05 ;172 ;;8.304 ;;4,797 ;310 ;2.132 ;;;;;;;;;;600 ;1,900 ;163 ;;;7 ;191 ;1 .168 ;- ;550 ;900 ;- ;1,800 ;50 ;150 ;16,000 ;
Häggesled ;10,38 ;;;2.143 ;;1.395 ;;707 ;;;;;;;;;;135 ;187 ;27 ;;;;297 ;280 ;- ;144 ;50 ;- ;558 ;- ;;4.032 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedum ;11 ;;;1,694 ;;970 ;;253 ;;;;;;;;;;155 ;341 ;;;;;100 ;238 ;- ;136 ;180 ;- ;370 ;- ;;8,024 ;
Lavad ;9,50 ;;;3.247 ;;1,364 ;170 ;436 ;;;;;;;;;;140 ;608 ;32 ;;;;105 ;244 ;- ;204 ;192 ;- ;510 ;- ;168 ;5,690 ;
Levene, del* ;9,85 ;;;3.843 ;;2,468 ;;900 ;;;;;;;;;;352 ;568 ;88 ;;;;356 ;704 ;;352 ;440 ;;1,584 ;;392 ;5,058 ;
Mellby ;16,58 ;;;3.445 ;;2,165 ;;1,230 ;;;;;;;;;;200 ;750 ;100 ;;;;200 ;700 ;5 ;200 ;240 ;;865 ;;400 ;5,300 ;
Otterstad med Senäte * ;30,88 ;;;8,700 ;;2,700 ;650 ;;;;;;;;;;;560 ;950 ;235 ;;;;100 ;230 ;;530 ;1,150 ;;1,650 ;;850 ;6,050 ;
Rackeby ;22 ;;;3,401 ;;2.058 ;;975 ;;;;;;;;;;211 ;610 ;61 ;185 ;;;52 ;630 ;8 ;214 ;600 ;;405 ;;800 ;4.564 ;
Râda' ;20,13 ;;;4,815 ;;2.313 ;186 ;2,282 ;;;;;;;;;;314 ;810 ;58 ;50 ;;;254 ;526 ;;295 ;400 ;;1,139 ;43 ;556 ;5,572 ;
Skalunda ;10,68 ;;;2,594 ;;2,000 ;;30 ;;;;;;;;;;332 ;680 ;150 ;150 ;;10 ;330 ;500 ;- ;300 ;300 ;;400 ;- ;500 ;2,250 ;
Slädene ;16.50 ;;;4.880 ;;2,500 ;;1.806 ;;;;;;;;;;300 ;700 ;100 ;175 ;;10 ;300 ;530 ;- ;320 ;400 ;;1,400 ;- ;200 ;6,300 ;
Strö ;12.81 ;;;4,236 ;;993 ;164 ;1,598 ;;;;;;;;;;195 ;310 ;131 ;;;2 ;;145 ;;150 ;430 ;;580 ;;400 ;2,040 ;
Sunnersberg ;27,88 ;;;5,489 ;;2,940 ;;2,520 ;;;;;;;;;;420 ;1.200 ;;;;7 ;150 ;650 ;13 ;400 ;540 ;;1.500 ;;540 ;1.700 ;
Söne ;15,25 ;;;2.041 ;;1.580 ;200 ;242 ;;;;;;;;;;200 ;700 ;60 ;30 ;;2 ;130 ;255 ;- ;200 ;370 ;;750 ;;300 ;5,670 ;
Tranum ;15,13 ;58 ;;3.471 ;;2,232 ;90 ;676 ;;;;;;;;;;210 ;916 ;165 ;120 ;;;150 ;450 ;- ;290 ;360 ;;900 ;;540 ;6,200 ;
Tâdene' ;9,95 ;15 ;;2.142 ;16 ;917 ;;838 ;;;;;;;;;;112 ;391 ;30 ;;;;34 ;213 ;- ;110 ;162 ;- ;425 ;- ;222 ;8,510 ;
Ufvered ;16,25 ;60 ;;3.200 ;;2,900 ;270 ;;;;;;;;;;;300 ;1.000 ;100 ;;25 ;;496 ;700 ;- ;250 ;450 ;;1.100 ;;150 ;6,000 ;
Yäla med Gillstad ;16,76 ;91 ;;5.744 ;;2.078 ;48 ;3.594 ;;;;;;;;;;231 ;858 ;24 ;;;;111 ;599 ;- ;203 ;180 ;10 ;965 ;;204 ;6,586 ;
Asaka ;;42 ;;2,225 ;;1.870 ;;290 ;;;;;;;;;;270 ;620 ;25 ;;;3 ;300 ;350 ;- ;233 ;550 ;;1,080 ;;180 ;6.700 ;
Örslösa ;19,75 ;75 ;;4.065 ;;2.010 ;120 ;1,706 ;;;;;;;;;;;540 ;210 ;160 ;40 ;;120 ;380 ;- ;280 ;550 ;- ;850 ;- ;450 ;2.860 ;
Summa K&llands härad ;356,41 ;1,285 ;1,059 ;81,970 ;576 ;44,361 ;2,627 ;28,090 ;123 ;664 ;189 ;24 ;;;308 ;87 ;8 ;5,817 ;15,818 ;2,015 ;1,455 ;510 ;73 ;3,866 ;9,967 ;26 ;5,710 ;8,894 ;10 ;20,091 ;93 ;7,547 ;112,876 ;
Eling* ;10,06 ;47 ;13 ;2,308 ;;690 ;400 ;190 ;;;;;;;;;;103 ;485 ;3 ;48 ;- ;5 ;20 ;40 ;- ;35 ;63 ;13 ;500 ;56 ;75 ;4,178 ;
Essunga ;22,69 ;179 ;179 ;10,465 ;;2.548 ;120 ;328 ;34 ;170 ;;;;;;;;252 ;1,693 ;15 ;205 ;20 ;10 ;100 ;220 ;- ;255 ;8 ;;1,222 ;13 ;60 ;11,510 ;
Foglum ;11 ;77 ;18 ;3.405 ;;1,115 ;674 ;252 ;;;;;;;;;;133 ;715 ;;80 ;;15 ;;37 ;- ;122 ;60 ;4 ;534 ;8 ;212 ;8,060 ;
Hallum ;7.50 ;22 ;;2.204 ;;1.870 ;180 ;120 ;;;;;;;;;;180 ;600 ;90 ;20 ;;8 ;340 ;300 ;- ;300 ;150 ;15 ;825 ;;420 ;4,200 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedum ;13.56 ;143 ;;5.346 ;;2.670 ;180 ;2.466 ;12 ;;;;;;;;;300 ;1,000 ;50 ;83 ;;10 ;295 ;630 ;- ;300 ;150 ;;1,350 ;20 ;140 ;9,670 ;
Lekisa ;11,50 ;51 ;;2,546 ;;1.349 ;90 ;126 ;1 ;;;;;;;;;175 ;726 ;25 ;46 ;;7 ;37 ;126 ;- ;155 ;30 ;5 ;700 ;20 ;240 ;6.568 ;
Levene, del* ;;17 ;17 ;900 ;;700 ;;20 ;;;;;;;;;;56 ;300 ;;28 ;11 ;;;189 ;- ;120 ;60 ;;400 ;;;3.000 ;
Long ;16 ;65 ;25 ;3.251 ;;3.030 ;170 ;;;;;;;;;;;290 ;1,150 ;200 ;100 ;8 ;4 ;700 ;650 ;- ;280 ;320 ;;1.200 ;;700 ;8.500 ;
;;;;;;;;;;;;;;;;;;;977 ;;;;;;;;;;;;;;;
Naum ;13.19 ;87 ;86 ;5,651 ;34 ;2.250 ;610 ;350 ;;;;;;;;;1 ;285 ;;20 ;85 ;a ;20 ;10 ;510 ;;340 ;88 ;15 ;1,887 ;15 ;50 ;8.645 ;
Ryda med Half&s ;25,88 ;130 ;95 ;5.150 ;100 ;3,655 ;45 ;1,350 ;10 ;;;;;;;;;370 ;1.310 ;270 ;50 ;25 ;15 ;300 ;880 ;- ;420 ;240 ;;1,600 ;;300 ;11,600 ;
Sandbäck eller Kyrk&e' ;;16 ;19 ;2,450 ;;490 ;120 ;600 ;10 ;;;;;;;;;90 ;220 ;;24 ;;4 ;12 ;;- ;80 ;2 ;2 ;360 ;19 ;16 ;1,800 ;
Skarstad ;18.75 ;155 ;17 ;3.763 ;80 ;3,601 ;71 ;;7 ;106 ;;;;;;;;270 ;1,180 ;270 ;71 ;6 ;3 ;1,331 ;370 ;;262 ;225 ;;1,160 ;;280 ;7,887 ;
Yara ;10,75 ;68 ;8 ;2,400 ;;2.329 ;50 ;13 ;;45 ;;;;;;;;270 ;999 ;100 ;30 ;;5 ;125 ;350 ;;450 ;300 ;;1,100 ;;50 ;7.600 ;
Asaka ;14,57 ;132 ;36 ;3,568 ;;1.420 ;620 ;170 ;;;;;;;;;;125 ;710 ;10 ;44 ;;16 ;15 ;150 ;- ;266 ;15 ;;660 ;10 ;70 ;6.000 ;
Õnum ;11,95 ;77 ;54 ;4,115 ;22 ;3.442 ;143 ;508 ;4 ;48 ;;;;;;2 ;1 ;233 ;1.556 ;70 ;101 ;- ;5 ;700 ;710 ;...... - ;232 ;90 ;8 ;1.270 ;20 ;150 ;8,700 ;
Summa Barne härad ;197,20 ;1.266 ;696 ;57.522 ;430 ;31,159 ;3,493 ;6,504 ;136 ;1,006 ;163 ;10 ;209 ;;313 ;33 ;13 ;3.132 ;13,621 ;1,138 ;1,015 ;88 ;127 ;3,985 ;5.232 ;- ;3,617 ;1,751 ;69 ;14,268 ;181 ;2.833 ;107,918 ;
Broby ;7.50 ;18 ;1 ;935 ;2 ;885 ;45 ;;1 ;;;;;;2 ;4 ;- ;124 ;337 ;5 ;7 ;3 ;1 ;50 ;285 ;- ;128 ;110 ;;524 ;- ;35 ;3.350 ;
Hangelösa ;16,50 ;53 ;58 ;5.116 ;;2,820 ;366 ;1,930 ;;;;;;;;;;450 ;870 ;;112 ;40 ;16 ;284 ;720 ;- ;410 ;164 ;;1.764 ;- ;315 ;6,930 ;
Hasslösa ;12.95 ;69 ;;3.956 ;9 ;2.596 ;;621 ;;;;;;;26 ;;;298 ;775 ;49 ;46 ;12 ;;463 ;570 ;, ;288 ;300 ;;1,120 ;;180 ;7,120 ;
Husaby ;23,75 ;35 ;;4.488 ;20 ;1,800 ;100 ;300 ;9 ;;;;;;;;;288 ;580 ;30 ;250 ;50 ;5 ;450 ;560 ;- ;288 ;285 ;20 ;1.140 ;;550 ;2,300 ;
Hofby ;12,88 ;46 ;;2,800 ;24 ;2,652 ;33 ;91 ;- ;;;;;;12 ;2 ;2 ;300 ;900 ;50 ;50 ;2 ;3 ;330 ;710 ;7 ;300 ;310 ;3 ;730 ;- ;310 ;8,700 ;





