Table: Table_1

Amnehärad ;- ;38 ;4.410 ;104 ;- ;540 ;- ;16,226 ;- ;882 ;36,816 ;1,134 ;2,520 ;X 148 ;- ;26,460 ;- ;- ;16 ;- ;- ;33,600 ;- ;85 ;3 ;300 ;8 ;750 ;400 ;900 ;- ;340 ;;
Beateberg ;- ;50 ;2.419 ;;- ;2,268 ;- ;10,584 ;- ;- ;39,690 ;- ;504 ;- ;X 504 ;21,772 ;- ;- ;- ;X 48 ;- ;9,600 ;- ;52 ;2 ;254 ;10 ;335 ;335 ;670 ;- ;170 ;;
Berg ;- ;37 ;220 ;6 ;- ;1,285 ;- ;7,560 ;- ;1,764 ;18,900 ;- ;156 ;- ;- ;13,230 ;- ;- ;- ;- ;- ;- ;- ;59 ;9 ;136 ;4 ;280 ;100 ;345 ;- ;130 ;;
Bellefors ;- ;- ;504 ;- ;- ;1,008 ;- ;2,520 ;- ;- ;8,324 ;- ;378 ;- ;;3,024 ;- ;- ;- ;- ;- ;- ;- ;20 ;6 ;120 ;4 ;160 ;40 ;180 ;- ;20 ;;
Binneberg ;X 6 ;25 ;214 ;- ;- ;300 ;- ;1,575 ;- ;124 ;2,164 ;- ;300 ;X 30 ;100 ;1,284 ;- ;- ;- ;- ;- ;;- ;15 ;1 ;44 ;1 ;50 ;20 ;76 ;- ;18 ;;
Björsäter med k. Gullsä-) ters rotar ;X 30 ;100 ;2,850 ;X 33 ;- ;3,330 ;270 ;10,880 ;- ;1,800 ;56,770 ;- ;1,120 ;180 ;800 ;22,800 ;20,000 ;- ;- ;X 20 ;2,400 ;18,000 ;- ;80 ;18 ;220 ;10 ;400 ;300 ;450 ;- ;300 ;;
Bäck ;- ;- ;3,872 ;24 ;- ;4,000 ;900 ;7,000 ;X 565 ;- ;35,910 ;- ;672 ;- ;- ;38,720 ;-- ;- ;- ;X 48 ;1,800 ;18.120 ;- ;25 ;;120 ;8 ;350 ;60 ;350 ;- ;50 ;;
Böja ;9 ;31 ;567 ;31 ;- ;630 ;- ;2,268 ;- ;151 ;4,851 ;X 756 ;283 ;X 37 ;163 ;4,536 ;- ;- ;126 ;- ;- ;- ;- ;20 ;5 ;38 ;1 ;120 ;50 ;150 ;4 ;25 ;;
Carlaborg ;- ;- ;25 ;- ;- ;- ;- ;75 ;- ;;113 ;- ;;- ;- ;195 ;- ;- ;- ;- ;- ;;- ;2 ;;- ;;3 ;- ;8 ;-- ;2 ;;
Ek ;- ;25 ;650 ;X 25 ;- ;525 ;X 50 ;4,500 ;- ;625 ;6,300 ;- ;375 ;- ;200 ;4,550 ;600 ;- ;100 ;15 ;X 500 ;10.422 ;- ;38 ;2 ;140 ;4 ;260 ;65 ;175 ;- ;75 ;;
Ekby ;8 ;X 20 ;1,150 ;- ;- ;2,860 ;- ;6,564 ;- ;155 ;20,450 ;- ;1,920 ;X 36 ;112 ;4,725 ;- ;- ;- ;6 ;786 ;3.014 ;- ;68 ;8 ;202 ;3 ;311, ;170 ;296 ;- ;54 ;;
Ekeskog ;- ;- ;380 ;X 24 ;- ;500 ;- ;6,000 ;- - ;- ;20,000 ;- ;150 ;- ;- ;2,280 ;- ;- ;- ;12 ;- ;-- ;- ;20 ;4 ;150 ;3 ;240 ;120 ;300 ;- ;30 ;;
Elgaras ;- ;- ;4,200 ;X 90 ;- ;65 ;- ;14,382 ;- ;;57,600 ;- ;300 ;- ;- ;33,600 ;- ;- ;270 ;X 100 ;- ;4,000 ;- ;40 ;2 ;120 ;4 ;255 ;25 ;370 ;-- ;80 ;;
Flistad ;- ;- ;756 ;18 ;- ;2,835 ;- ;5,000 ;- ;157 ;12,222 ;2,772 ;1,890 ;- ;- ;6,048 ;;- ;- ;- ;- ;- ;- ;60 ;20 ;160 ;4 ;160 ;120 ;230 ;- ;120 ;;
Finnerödja ;X 40 ;X 10 ;6,500 ;X 150 ;- ;280 ;X 20 ;9,300 ;- ;120 ;26,100 ;- ;640 ;200 ;X 80 ;32,500 ;3,000 ;- ;450 ;X 150 ;- ;12.000 ;- ;110 ;5 ;380 ;15 ;900 ;350 ;1,250 ;;200 ;;
Fägred ;- ;- ;4,800 ;;- ;9,600 ;- ;27,300 ;- ;- ;61.860 ;- ;5,000 ;- ;- ;24,000 ;- ;- ;- ;- ;- ;- ;- ;152 ;14 ;320 ;11 ;664 ;344 ;473 ;1 ;142 ;;
Fredsberg ;- ;- ;4,928 ;X 132 ;- ;8,000 ;1,600 ;42.000 ;2,100 ;- ;151,764 ;- ;2,016 ;- ;- ;44.552 ;- ;- ;2,646 ;- ;X 9,600 ;34.992 ;- ;100 ;;500 ;10 ;1.600 ;400 ;1,500 ;- ;;;
Frösved ;X 24 ;- ;1,656 ;15 ;- ;1,400 ;- ;8,100 ;- ;2,016 ;15,210 ;- ;1,200 ;72 ;- ;9,936 ;- ;- ;30 ;8 ;- ;- ;- ;51 ;5 ;176 ;5 ;220 ;110 ;220 ;- ;110 ;;
Gõtlunda ;6 ;X 60 ;1.680 ;- ;- ;2,100 ;- ;6,300 ;- ;- ;13.440 ;- ;1,200 ;36 ;X 300 ;10,080 ;- ;- ;- ;- ;- ;- ;- ;40 ;4 ;230 ;5 ;320 ;200 ;500 ;- ;127 ;;
Halna ;X 19 ;12 ;2.362 ;X 49 ;- ;630 ;- ;5,350 ;37 ;31 ;20,947 ;- ;945 ;126 ;X 63 ;17,640 ;630 ;- ;63 ;X 38 ;- ;2.200 ;- ;18 ;- ;145 ;4 ;321 ;260 ;400 ;- ;120 ;;
Hjälstad ;- ;- ;1,134 ;- ;- ;3.520 ;- ;7,938 ;- ;- ;26,460 ;- ;945 ;- ;- ;6,804 ;- ;- ;- ;- ;- ;594 ;- ;30 ;10 ;160 ;6 ;200 ;125 ;220 ;- ;100 ;;
Hassled, Berga och Färed ;- ;300 ;6.000 ;50 ;- ;15,000 ;- ;25,335 ;- ;4.400 ;80.100 ;- ;2,000 ;- ;2,500 ;45,000 ;20,000 ;- ;X 200 ;40 ;- ;108,560 ;;175 ;28 ;540 ;18 ;1,300 ;300 ;1,000 ;- ;340 ;;
Hofva och Fagerlid ;- ;94 ;18,230 ;1,440 ;- ;1.984 ;- ;25,515 ;- ;472 ;102.060 ;1.417 ;756 ;- ;283 ;79,380 ;6,300 ;- ;- ;- ;- ;30,000 ;- ;- ;- ;- ;- ;;;;- ;;;
Horn ;12 ;12 ;359 ;15 ;- ;945 ;- ;3,150 ;37 ;63 ;8,127 ;113 ;189 ;75 ;126 ;2,520 ;200 ;- ;37 ;6,40 ;- ;540 ;- ;65 ;5 ;128 ;3 ;190 ;80 ;300 ;- ;90 ;;
.Leksberg ;- ;X 25 ;1,108 ;- ;- ;1,807 ;- ;6,550 ;- ;57 ;19.825 ;- ;560 ;- ;200 ;6,896 ;- ;- ;- ;;- ;- ;- ;40 ;3 ;140 ;5 ;310 ;94 ;165 ;- ;44 ;;
Lyrestad ;- ;- ;8,220 ;X 40 ;- ;2,190 ;- ;16,065 ;- ;450 ;31,185 ;- ;1,575 ;- ;- ;25,760 ;- ;- ;- ;38.40 ;- ;12.000 ;- ;67 ;13 ;432 ;10 ;650 ;417 ;720 ;- ;430 ;;
Locketorp ;- ;100 ;3,700 ;;- ;750 ;200 ;5,700 ;- ;- ;25,000 ;- ;960 ;- ;450 ;15,000 ;- ;- ;- ;- ;- ;20,000 ;- ;45 ;20 ;100 ;6 ;200 ;125 ;200 ;- ;60 ;;
Lerdala ;- ;X 90 ;4,000 ;3 ;- ;2,250 ;- ;8,100 ;- ;1,800 ;9,750 ;1.900 ;510 ;9 ;- ;24,000 ;8,000 ;- ;- ;5 ;- ;- ;- ;50 ;10 ;80 ;6 ;200 ;50 ;200 ;2 ;150 ;;
L&stad ;X 8 ;12 ;945 ;X 18 ;- ;504 ;- ;1,764 ;- ;126 ;6.300 ;- ;220 ;87 ;37 ;2,835 ;112 ;- ;25 ;5 ;- ;1.375 ;- ;47 ;5 ;130 ;2 ;92 ;45 ;90 ;- ;90 ;;
Mo ;- ;- ;1,134 ;- ;- ;4,032 ;- ;3,118 ;- ;- ;17,010 ;- ;756 ;- ;- ;6,804 ;- ;- ;- ;- ;- ;1.000 ;- ;25 ;5 ;110 ;6 ;180 ;60 ;120 ;- ;60 ;;
Mölltorp ;- ;- ;4,000 ;X 63 ;- ;165 ;80 ;8,700 ;132 ;- ;18,740 ;- ;140 ;- ;- ;32,000 ;- ;- ;189 ;64 ;- ;17,000 ;- ;56 ;2 ;86 ;11 ;525 ;170 ;425 ;;100 ;;





