Table: Table_1

31 32 ;Ving Oglunda ;- ;20 ;- - ;;2.950 1.000 ;- - ;150 120 ;- ;3,625 3,800 ;- ;400 650 ;12,000 12,750 ;- - ;60 300 ;- - ;80 ;- ;23,600 6.000 ;1,800 ;- ;- ;- ;1.000 ;46 32 ;3 4 ;50 52 ;2 3 ;196 160 ;53 GO ;140 100 ;- ;85 30 ;;
;Summa för Valle härad ;- ;531 ;- ;;32,002 ;41 ;2,145 ;554 ;48,493 ;60 ;14,230 ;181,610 ;6,575 ;2,240 ;- ;1,352 ;- ;210,616 ;32,050 ;103 ;55 ;9,400 ;46,120 ;669 ;131 ;826 ;51 ;2,770 ;1,231 ;1,025 ;- ;975 ;;
33 ;Bredvik ;- ;30 ;- ;;11,970 ;28 ;60 ;=== ;9.660 ;- ;;31,800 ;- ;50 ;- ;grönfoder ;;59,000 ;;55 ;- ;160 ;7,200 ;30 ;3 ;187 ;6 ;324 ;118 ;395 ;- ;187 ;;
34 ;Fogelâs, Norra ;- ;38 ;- ;;15,000 ;26 ;950 ;;18,000 ;;1.800 ;63,000 ;- ;;- ;140 ;;90,000 ;27,500 ;40 ;95 ;5,000 ;18,000 ;73 ;14 ;301 ;15 ;630 ;200 ;450 ;;230 ;;
35 ;Fogelâs, Södra ;- - ;100 ;- ;;10,000 ;20 ;800 ;80 ;12,360 ;90 ;;50,000 ;- ;200 ;- ;grönfoder ;- ;60,000 ;;;16 ;100 ;40,000 ;60 ;6 ;300 ;8 ;400 ;200 ;750 ;;300 ;;
36 87 ;Forsby Grefbäck ;- ;50 - ;- - ;;1,500 12,600 ;P 18 ;1,000 ;- - ;4,800 11,700 ;;;10,000 25,200 ;- - ;100 ;- ;200 ;- ;5,500 63,000 ;1,500 7.250 ;? ;16 ;- - ;2,000 12,000 ;22 42 ;10 3 ;80 264 ;4 8 ;230 410 ;80 150 ;200 400 ;- ;30 ;;
38 ;Hagelberg ;;;- ;;2.500 ;12 ;120 ;;2,280 ;;960 ;14,000 ;;100 ;- ;;;20,000 ;2,000 ;40 ;;- ;14,000 ;GO ;10 ;60 ;G ;300 ;80 ;60 ;- ;80 ;;
39 ;Hjo landsförsamling ;- ;50 ;- ;;10,850 ;10 ;750 ;150 ;13,800 ;300 ;;30,000 ;300 ;200 ;- ;300 ;;54.250 ;;30 ;-- ;;18,000 ;40 ;6 ;250 ;12 ;450 ;200 ;400 ;;200 ;;
40 ;Kyrkefalla ;- ;;- ;;5.700 ;100 ;1,000 ;- ;22,000 ;;;76,000 ;;800 ;- ;- ;;40,000 ;;300 ;- ;1.000 ;35,000 ;130 ;9 ;540 ;10 ;1,000 ;340 ;1,400 ;- ;200 ;;
41 ;Kyrketorp ;- ;- ;;;6,300 ;2 ;600 ;;5,500 ;160 ;300 ;14,000 ;- ;600 ;- ;- ;- ;31,500 ;1,500 ;;;- ;10,000 ;110 ;6 ;160 ;3 ;360 ;70 ;410 ;- ;120 ;;
42 ;Mofalla ;- ;;- ;;1.600 ;5 ;150 ;40 ;2,500 ;100 ;;4,000 ;80 ;60 ;- ;- ;- ;8,000 ;;12 ;;- ;;20 ;3 ;100 ;3 ;110 ;50 ;180 ;- ;50 ;;
43 ;Rvd ;- ;;- ;;3.200 ;- ;36 ;60 ;1,700 ;;2.160 ;3,600 ;;180 ;- ;;- ;18,400 ;- ;;;P ;;17 ;2 ;45 ;4 ;134 ;9 ;95 ;- ;30 ;;
44 ;Sköfde landsförsamling ;- ;90 ;---- ;;8,000 ;;650 ;500 ;5.400 ;250 ;600 ;54,600 ;- ;200 ;- ;grönfoder ;- ;48,600 ;;;- ;9 ;;140 ;5 ;150 ;G ;500 ;50 ;100 ;- ;200 ;;
45 ;Suntetorp eller Sventorp ;- ;60 ;- ;;3,500 ;20 ;800 ;200 ;15,500 ;150 ;;60,500 ;- ;240 ;- ;180 ;- ;17.500 ;5,000 ;60 ;- ;- ;20,000 ;170 ;20 ;260 ;13 ;900 ;240 ;600 ;- ;25 ;;
46 ;Varola med Edâsa häradsdel ;_____ ;100 ;- ;;2,000 ;10 ;480 ;50 ;6,105 ;;125 ;37,200 ;- ;60 ;- ;100 ;- ;10,000 ;;30 ;- ;;8,000 ;70 ;25 ;246 ;8 ;425 ;200 ;420 ;;170 ;;
;Versãs ;- ;;- ;;4,000 ;- ;1,200 ;120 ;17,900 ;- ;;57,780 ;- ;360 ;-- ;;- ;24,000 ;3.150 ;, ;- ;- ;20,000 ;90 ;30 ;300 ;12 ;725 ;295 ;375 ;- ;150 ;;
47 ;;;40 ;;;1,600 ;;;;3.000 ;- ;;9.000 ;;180 ;- ;120 ;;9.600 ;3,000 ;;;;;45 ;;30 ;4 ;130 ;;50 ;;50 ;;
48 ;Vamb ;;;;;;;;;;;;;;;;;;;;;;;: ;;;;;;40 ;;;;;
49 ;Öm, Bjärby och Amundtorp ;- ;30 ;- ;;700 ;5 ;500 ;- ;4.600 ;- ;50 ;12,500 ;200 ;150 ;- ;90 ;- ;4.200 ;200 ;- ;2 ;- ;;30 ;5 ;70 ;5 ;170 ;60 ;120 ;- ;50 ;;
;Summa för Kâkinds härad ;- ;588 ;- ;;101,020 ;256 ;9,096 ;1,200 ;156,805 ;1.050 ;5,995 ;553,180 ;580 ;3,480 ;- ;1,130 ;- ;563,550 ;51,100 ;573 ;59 ;6,260 ;204,200 ;1,149 ;162 ;3.346 ;127 ;7,198 ;2,382 ;6,405 ;- ;2,072 ;;
;;;;;;;;;;;;;;;;;184 ;;;;;;;;;;;;;;;;;;
50 ;Acklinga ;- ;94 ;- ;;1.930 ;12 ;280 ;- ;4,560 ;- ;400 ;20,300 ;;96 ;- ;;- ;9,650 ;1.000 ;36 ;24 ;- ;4,000 ;95 ;23 ;130 ;6 ;240 ;140 ;100 ;- ;40 ;;
51 ;Baltak ;- ;20 ;- ;;1.800 ;5 ;62 ;;3,700 ;150 ;50 ;11,050 ;- ;24 ;;20 ;- ;9,000 25,000 ;2,000 ;5 ;- ;;2.100 ;27 ;6 ;85 ;4 ;142 ;76 ;170 ;- ;82 ;;
52 ;Bjurbäck (länsdel) ;- ;;- ;;2,680 ;4 ;- ;72 ;3,000 870 ;;300 84 ;20,200 2,896 ;296 ;;- ;- ;;9.288 ;150 ;5 ;- ;X 100 ;?3,000 ;14 ;6 1 ;110 ;8 ;300 ;40 ;125 ;- ;30 ;;
53 ;Bottnaryd (länsdel) ;- ;100 ;- ;;1.548 19.500 ;12 ;125 ;250 ;12,375 ;120 280 ;800 ;30,000 ;2,000 ;100 ;- ;grönfoder ;;118,000 ;, ;;9 P ;;460 ;8 30 ;10 ;24 200 ;3 5 ;48 500 ;18 200 ;44 300 ;- ;22 250 ;;
54 55 ;Brandstorp Daretorp ;- 1 ;25 ;;;3,430 ;10 ;120 ;60 ;3.930 ;165 ;105 ;12.660 ;225 ;32 ;7 ;75 ;- ;20.700 ;900 ;40 ;- ;13 ;1,450 ;50 ;10 ;230 ;10 ;375 ;175 ;350 ;- - ;120 ;;
56 ;Dimbo ;- ;45 ;;;2,600 ;6 ;200 ;40 ;1,800 ;- ;800 ;21,000 ;210 ;160 ;- ;150 ;;8,000 ;300 ;12 ;- ;200 ;9.000 ;50 ;10 ;175 ;8 ;275 ;165 ;350 ;;200 ;;
57 ;Falköpings landsförs. (del). ;- ;;;;1,800 ;? ;;;2.310 ;;3,450 ;22,000 ;;48 ;- ;grönfoder ;- ;7,000 ;2,500 ;;1 ;- ;10,000 ;60 ;10 ;40 ;6 ;315 ;50 ;50 ;- ;40 ;;
;Fridene ;;35 ;- ;;600 ;5 ;475 ;95 ;2,480 ;60 ;125 ;14.200 ;25 ;36 ;- ;d:o ;- ;2.250 ;;15 ;;;;50 ;4 ;110 ;5 ;300 ;75 ;150 ;;80 ;;
58 ;;;;;;;;;;;;;;;200 ;;340 ;;14,000 ;;;;;;;;;;;;;;;;
59 ;Fröjered ;X 10 ;80 ;;;2.400 ;10 ;500 ;40 ;13.000 ;60 ;260 ;44.000 ;120 ;;40 ;;- ;;4,000 ;40 ;50 ;2,000 ;20,000 ;60 ;15 ;200 ;6 ;700 ;230 ;600 ;;120 ;;
60 ;Gerum ;;;;;1.872 ;12 ;;- ;936 ;;540 ;7.940 ;72 ;120 ;- ;- ;- ;11,232 ;- ;24 ;4 ;;1.000 ;26 ;6 ;60 ;2 ;90 ;30 ;100 ;;39 ;;
61 ;Fiskebäck (Gustaf Adolf) ;- ;;;;9.000 ;30 ;75 ;- ;15,000 ;450 ;160 ;50.000 ;1,600 ;40 ;- ;- ;;54.000 ;- ;GO ;- ;- ;4,000 ;42 ;9 ;320 ;10 ;500 ;400 ;.800 ;- ;200 ;;
62 ;Habo.. ;;;;;20,000 ;? ;125 ;180 ;18,500 ;1,400 ;1.300 ;50,000 ;700 ;;- ;- ;;140,000 ;, ;, ;;- ;;95 ;20 ;300 ;25 ;900 ;250 ;1,300 ;;400 ;;
63 ;Hvalstad ;;10 ;;;18.500 ;15 ;;- ;10,800 ;120 ;800 ;25,000 ;400 ;20 ;- ;grönfoder ;- ;95.100 ;;- ;10 ;- ;;61 ;29 ;180 ;8 ;270 ;100 ;400 ;- ;175 ;;
64 ;Hvarf ;- ;80 ;;;2.250 ;? ;55 ;- ;3,000 ;;400 ;17.000 ;;30 ;- ;d:o ;- ;20,250 ;10,000 ;? ;;- ;;30 ;15 ;80 ;3 ;112 ;40 ;100 ;- ;64 ;;
65 ;H&ngsdala ;;;;;3,393 ;9 ;36 ;- ;4,026 ;- ;404 ;15,095 ;- ;76 ;- ;- ;- ;26,965 ;3,000 ;18 ;5 ;- ;4,000 ;64 ;20 ;120 ;5 ;192 ;48 ;192 ;- ;64 ;;





