Table: Table_1

Õnum, Bjärby Amundtorp ;- ;- ;680 ;19 ;- ;378 ;- ;2,820 ;- ;- ;10,392 ;- ;105 ;- ;- ;5,540 ;- ;- ;- ;- ;- ;- ;- ;18 ;10 ;88 ;3 ;150 ;60 ;150 ;- ;35 ;;
Summa ;- ;344 ;63,727 ;419 ;- ;8881 ;271 ;113,508 ;924 ;3,806 ;247,475 ;2,776 ;6.234 ;- ;2,442 ;382,424 ;26,709 ;- ;896 ;192,10 ;7,050 ;64,052 ;- ;895 ;100 ;2,975 ;112 ;5,735 ;2,319 ;6,744 ;13 ;2,044 ;;
Wartofta hlirad. a) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acklinga kommun ;- ;- ;1,554 ;- ;- ;216 ;- ;3,768 ;- ;180 ;15,480 ;- ;108 ;- ;- ;7,770 ;- ;- ;- ;- ;- ;- ;- ;37 ;4 ;96 ;5 ;250 ;124 ;200 ;- ;67 ;;
Agnetorp ;- ;15 ;3,630 ;36 ;- ;243 ;- ;9,771 ;- ;82 ;20,438 ;640 ;54 ;- ;82 ;19,948 ;200 ;600 ;100 ;40 ;- ;- ;- ;86 ;17 ;198 ;6 ;388 ;213 ;481 ;- ;93 ;;
Baltak ;- ;5 ;1,875 ;16 ;- ;55 ;. - ;3,415 ;- ;39 ;8,855 ;- ;54 ;- ;24 ;11,843 ;200 ;- ;32 ;20 ;- ;- ;- ;30 ;8 ;100 ;4 ;166 ;92 ;170 ;- ;49 ;;
Bjurbäck ;- ;- ;5,594 ;6 ;- ;;- ;8,477 ;252 ;227 ;9,450 ;2,142 ;50 ;- ;- ;33,566 ;- ;- ;- ;8 ;- ;- ;- ;31 ;2 ;100 ;8 ;220 ;64 ;250 ;- ;65 ;;
Brandstorp ;X 1 ;- ;4,536 ;7 ;- ;25 ;35 ;3,906 ;202 ;63 ;10,250 ;630 ;66 ;12 ;- ;34,650 ;- ;- ;- ;4,80 ;- ;- ;- ;23 ;2 ;166 ;6 ;250 ;108 ;314 ;4 ;55 ;;
Dimbo ;- ;X 12 ;1,200 ;6 ;- ;125 ;75 ;6,000 ;500 ;250 ;12,000 ;250 ;72 ;- ;72 ;7:200 ;- ;- ;- ;20 ;- ;- ;- ;75 ;29 ;200 ;10 ;200 ;100 ;300 ;- ;200 ;;
Falköping ;- ;- ;1,260 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;40 ;10 ;52 ;6 ;220 ;40 ;200 ;- ;50 ;;
Fridened ;- ;5 ;1,095 ;66 ;- ;752 ;- ;4.753 ;- ;25 ;12,000 ;- ;256 ;- ;34 ;7,366 ;- ;- ;- ;X 42 ;- ;X 6,968 ;- ;42 ;2 ;105 ;3 ;227 ;120 ;250 ;- ;66 ;;
Fröjered ;- ;25 ;2,252 ;60 ;- ;660 ;X 60 ;11,072 ;100 ;180 ;22,468 ;132 ;180 ;- ;X 140 ;13,512 ;- ;- ;180 ;- ;- ;-- ;-- ;70 ;8 ;296 ;13 ;436 ;210 ;5GO ;- ;85 ;;
Gerum ;- ;- ;1,965 ;12 ;- ;- ;- ;2,948 ;;630 ;9,198 ;220 ;252 ;- ;- ;11,792 ;1,260 ;- ;87 ;6 ;- ;- ;;31 ;8 ;60 ;2 ;98 ;50 ;200 ;- ;40 ;;
Gustaf Adolf och Habo ;7 ;- ;19,152 ;92 ;- ;258 ;31 ;38,507 ;354 ;201 ;1 03,460 ;3,609 ;234 ;- ;- ;134,064 ;- ;- ;368 ;- ;- ;- ;- ;155 ;15 ;730 ;65 ;1,510 ;450 ;2,030 ;6 ;620 ;;
Hvarf ;- ;- ;2,079 ;- ;- ;75 ;-- ;4,385 ;- ;453 ;9,122 ;- ;157 ;38 ;- ;12,474 ;- ;- ;- ;- ;- ;- ;- ;20 ;8 ;90 ;2 ;124 ;84 ;110 ;- ;50 ;;
Hvalstad ;- ;X 30 ;6,000 ;5 ;- ;280 ;- ;14,400 ;- ;875 ;23,250 ;- ;90 ;- ;90 ;36,000 ;- ;- ;- ;- ;- ;- ;- ;50 ;7 ;200 ;6 ;220 ;120 ;300 ;- ;200 ;;
Hângsdula ;- ;- ;5,893 ;- ;- ;48 ;- ;9,394 ;- ;800 ;19,314 ;- ;600 ;- ;- ;26,965 ;- ;- ;- ;10 ;- ;- ;- ;64 ;5 ;128 ;4 ;192 ;80 ;256 ;- ;64 ;;
Härja ;- ;X 40 ;3,800 ;X 32 ;- ;;- ;4,536 ;- ;- ;13,300 ;- ;- ;- ;160 ;23,000 ;- ;- ;- ;15 ;- ;X 600 ;- ;48 ;2 ;180 ;8 ;285 ;200 ;500 ;- ;60 ;;
Hömb ;- ;X 4 ;835 ;- ;- ;387 ;- ;3,514 ;- ;- ;7,584 ;- ;7 ;- ;20 ;5,071 ;6,079 ;- ;- ;11 ;- ;13,054 ;- ;51 ;5 ;82 ;2 ;167 ;77 ;158 ;- ;69 ;;
Karleby ;- ;180 ;7,560 ;55 ;- ;24 ;100 ;4,410 ;124 ;5,670 ;30,240 ;3,210 ;700 ;- ;900 ;60,480 ;- ;- ;X 55 ;43 ;- ;3,000 ;- ;90 ;20 ;180 ;5 ;300 ;200 ;300 ;- ;500 ;;
Kjelfvened ;- ;- ;1,368 ;27 ;- ;30 ;- ;925 ;- ;432 ;13,680 ;320 ;216 ;- ;- ;10,944 ;- ;- ;- ;15 ;- ;1,900 ;- ;38 ;10 ;76 ;2 ;114 ;76 ;190 ;- ;30 ;;
Kongslena ;X - ;- ;500 ;- ;- ;- ;- ;1,450 ;- ;100 ;6,000 ;120 ;50 ;- ;- ;2,000 ;- ;- ;- ;- ;- ;-- ;- ;50 ;10 ;87 ;3 ;300 ;45 ;348 ;- ;118 ;;
Korsberga ;- ;X 6 ;4,555 ;- ;- ;1,134 ;X 170 ;13,236 ;100 ;- ;26,188 ;1,197 ;293 ;- ;- ;36,640 ;- ;945 ;- ;54 ;- ;-- ;- ;64 ;6 ;215 ;8 ;450 ;184 ;520 ;- ;113 ;;
Kylingared, del ;- ;- ;907 ;3 ;- ;- ;- ;806 ;94 ;176 ;3,830 ;- ;- ;- ;- ;1,257 ;126 ;- ;- ;2 ;- ;- ;- ;14 ;2 ;24 ;2 ;50 ;20 ;72 ;- ;16 ;;
Kymbo ;- ;- ;5,040 ;- ;- ;12 ;6 ;3,180 ;193 ;300 ;14,737 ;600 ;X 96 ;- ;- ;30,240 ;- ;- ;- ;3 ;- ;- ;- ;30 ;20 ;100 ;3 ;150 ;35 ;200 ;- ;50 ;;
Luttra ;- ;- ;2,016 ;X 5 ;- ;- ;- ;3,056 ;- ;2,520 ;18,396 ;- ;- ;- ;- ;8,064 ;- ;- ;- ;- ;800 ;1,400 ;- ;8 ;20 ;160 ;18 ;165 ;80 ;240 ;- ;80 ;;
Mularp ;- ;X 945 ;1,852 ;25 ;- ;- ;- ;2,520 ;- ;2,268 ;11,340 ;718 ;882 ;- ;4,725 ;9,261 ;10,710 ;- ;- ;11 ;- ;- ;- ;40 ;8 ;48 ;4 ;140 ;45 ;150 ;- ;40 ;;
Nykyrka ;- ;- ;4,160 ;;- ;- ;- ;1,230 ;90 ;- ;6,160 ;1,800 ;- ;-- ;- ;29,120 ;- ;- ;- ;- ;- ;800 ;;20 ;;80 ;3 ;150 ;40 ;260 ;- ;50 ;;
Näs ;- ;X 18 ;2,570 ;12 ;- ;- ;- ;3,622 ;- ;567 ;13,242 ;693 ;453 ;- ;75 ;15,422 ;- ;- ;25 ;5 ;- ;5,500 ;- ;40 ;9 ;69 ;3 ;102 ;30 ;225 ;- ;20 ;;
Ottrava ;- ;- ;1,890 ;13 ;- ;- ;- ;2,832 ;- ;54 ;10,884- ;- ;100 ;- ;- ;12,285 ;- ;- ;- ;X 80 ;- ;2,800 ;- ;20 ;2 ;30 ;2 ;60 ;30 ;90 ;- ;44 ;;
Sandhem ;- ;- ;11,000 ;- ;- ;- ;- ;8,257 ;- ;- ;18,760 ;4.128 ;- ;- ;- ;60,000 ;- ;-- ;- ;- ;- ;;- ;44 ;;400 ;18 ;600 ;200 ;1,000 ;- ;200 ;;
Skörstorp ;- ;63 ;5,040 ;- ;- ;- ;- ;4,725 ;- ;945 ;16,880 ;1,323 ;151 ;- ;- ;30,240 ;2,520 ;- ;- ;4 ;- ;- ;- ;45 ;10 ;90 ;3 ;140 ;50 ;80 ;- ;60 ;;
Slöta och Faleqvarna ;- ;- ;5,062 ;- ;- ;- ;- ;10,298 ;- ;5,443 ;62,804 ;840 ;386 ;- ;- ;40,499 ;5,600 ;- ;- ;- ;- ;- ;- ;160 ;45 ;300 ;30 ;500 ;280 ;500 ;- ;200 ;;
Suntack ;- ;X 44 ;1,450 ;X 15 ;- ;198 ;- ;3,212 ;- ;345 ;7,700 ;- ;35 ;- ;308 ;9,700 ;- ;- ;- ;15 ;- ;3,186 ;- ;21 ;5 ;X 66 ;3 ;101 ;74 ;114 ;- ;50 ;;
Tiarp ;- ;X 18 ;1,100 ;15 ;- ;- ;- ;2,200 ;- ;1,700 ;17,600 ;400 ;480 ;- ;120 ;5,800 ;- ;- ;95 ;- ;- ;4,500 ;- ;42 ;4 ;70 ;5 ;144 ;127 ;200 ;- ;47 ;;
Utvängstorp ;- ;- ;2,520 ;3 ;- ;- ;- ;1,680 ;164 ;- ;12,600 ;480 ;- ;- ;- ;20.160 ;- ;- ;15 ;- ;- ;3,480 ;- ;16 ;4 ;X 128 ;5 ;139 ;17 ;136 ;- ;50 ;;
Welinge ;- ;60 ;4,600 ;X 25 ;- ;140 ;- ;8,200 ;31 ;60 ;18,974 ;23 ;60 ;- ;- ;26,500 ;200 ;3,400 ;- ;- ;- ;- ;- ;80 ;4 ;233 ;6 ;450 ;236 ;625 ;- ;150 ;;
Wistorp ;- ;6 ;2,060, ;X 15 ;- ;. 10 ;X 8 ;2,450 ;96 ;411 ;10,550 ;1,870 ;52 ;- ;- ;14,500 ;460 ;- ;- ;8,05 ;X 56 ;3,600 ;- ;43 ;6 ;X 88 ;10 ;215 ;148 ;306 ;- ;22 ;;





