Table: Table_1

;1. ;2. ;3. ;4. ;;5, ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14, ;;15, ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35 ;
;Fogelas, Södra ;37:81 ;130 ;;;;;38 ;3.230 ;180 ;7,952 ;;;;;;;;;;;;;;;;;;;420 ;170 ;X ;;;60 ;;;;
;Gredbäck ;23:81 ;40 ;;9.720 ;;7,083 ;32 ;2,220 ;986 ;3,800 ;;;;;;;;;;400 ;700 ;2 ;300 ;14 ;;- ;400 ;- ;400 ;;;2,600 ;;;6,300 ;;;
;Hagelberg ;4:00 ;40 ;;2,083 ;;;8 ;1,000 ;240 ;835 ;;;;;;;;;;200 ;200 ;;70 ;;;;346 ;- ;172 ;30 ;;1.000 ;;;1,600 ;;;
;Hjo landeförsamling ;20:50 ;111 ;;7.174 ;;;30 ;3,250 ;1,000 ;2.894 ;37 ;;;;;;;;;450 960 ;1,000 ;40 ;400 ;50 ;10 ;250 ;600 ;- ;450 ;250 ;100 ;2.300 ;X 185 ;;10.000 ;;100 ;
;Kyrkefalla ;45:00 ;239 ;;23.143 ;;;45 ;5,790 ;6,912 ;10,396 ;10 ;;;;;;;;;;1,930 ;45 ;144 ;;16 ;298 ;1.433 ;- ;960 ;200 ;;4.400 ;;;19,000 ;;200 ;
;Kyrketorp ;14:68 ;;;4.166 ;;;12 ;1,650 ;350 ;1.657 ;6 ;;;;;;;;;200 ;450 ;49 ;200 ;20 ;;;500 ;- ;200 ;120 ;;1,100 ;40 ;;3.500 ;;300 ;
;Mofalla ;10:31 ;60 ;;5,091 ;;2.800 ;3 ;600 ;460 ;1.737 ;;;;;;;;;;100 ;170 220 ;10 ;90 ;;;;173 ;- ;100 ;30 ;10 ;500 ;25 ;410 ;1.000 ;;;
;Rvd Sköfde landsförsamling ;8:88 23:39 ;121 ;;;;2,500 3,600 ;50 ;630 1.960 ;100 200 ;1.052 1,100 ;20 ;;;;;;;;;;750 ;40 ;260 ;15 ;;;153 400 ;;84 230 ;120 ;24 100 ;330 1,260 ;50 ;120 ;1.100 5,750 ;;;
;Suntetorp och ;27:35 ;112 ;116 ;11,571 ;;;36 ;4,474 ;100 ;1,400 ;;;;;;;;;;;1,525 ;20 ;110 ;35 ;5 ;135 ;1,344 ;;600 ;200 ;50 ;3,100 ;50 ;;12,100 ;;;
;Sventorp (med Edâsa häradsdell ;16:25 ;103 ;;7,869 ;;5,590 ;30 ;2,490 ;347 ;2,723 ;;;;;;;;;;420 ;959 ;10 ;60 ;;2 ;45 ;575 ;;416 ;160 ;;2,035 ;;25 ;7,840 ;;;
;Versas ;25.87 ;;;10,414 ;;;25 ;3,950 ;1,900 ;4,539 ;;;;;;;;;;760 ;1.115 ;20 ;120 ;10 ;;300 ;1,000 ;;625 ;400 ;30 ;3.580 ;- ;;9,630 ;;120 ;
;Vamb ;13:00 ;;;1,389 ;;;20 ;580 ;150 ;639 ;;;;;;;;;;100 ;180 ;20 ;40 ;10 ;;20 ;130 ;;80 ;;;600 ;- ;;1,800 ;;;
49 ;Öm, Bjärby och Amundtorp ;6:13 ;40 ;;4) 1.903 ;;;14 ;976 ;100 ;813 ;17 ;;;;;;;;;;274 ;12 ;20 ;10 ;2 ;105 ;165 ;;200 ;100 ;;920 ;;10 ;2,500 ;;;
;Summa för Kâkinds härad ;343-56 ;1,397 ;1.175 ;³136,311 ;;;518 ;41,332 ;14,666 ;50,580 ;241 ;885 ;215 ;26 ;179 ;;517 ;60 ;;6,608 ;12,837 ;407 ;2,894 ;263 ;57 ;1,886 ;9,898 ;- ;6,347 ;2.815 ;334 ;32.215 ;370 ;1,820 ;112,115 ;470 ;1,567 ;
;Acklinga ;15:00 ;32 ;56 ;;6.017 ;3,596 ;10 ;1.060 ;410 ;1,000 ;3 ;;;;;;;;;150 ;470 ;20 ;;;;;160 ;;147 ;56 ;;760 ;;;4,060 ;;;
;Angarp ;21:44 ;;140 ;11.340 ;;;22 ;2.870 ;918 ;;;;;;;;;;;;1,020 ;12 ;;;;140 ;600 ;;472 ;120 ;10 ;2,585 ;;;7.508 ;;;
;Baltak ;12:25 ;;;3,703 ;;1,610 ;;700 ;330 ;1,290 ;;;;;;;;;;125 ;265 ;4 ;;;;22 ;92 ;;126 ;10 ;;623 ;;;2.343 ;;;
;Bjurbäck (länsdel) ;16:13 ;47 ;;;6.249 ;;6 ;800 ;1,000 ;4.443 ;2 ;;;;;;;;;150 ;380 ;- ;;;;;48 ;;150 ;;12 ;820 ;;;4,504 ;;;
;Bottnaryd (länsdel) ;3:75 ;;11 ;;3,934 ;;2 ;272 ;1.140 ;2.522 ;;;;;;;;;;;140 ;;;;;;24 ;;23 ;;;145 ;;;725 ;;;
