Table: Table_1

Elgar&s ;;;;;;;;;11,700 5,000 ;;160 ;57,100 12,220 ;2,772 ;200 1,888 ;;;;24,000 4,788 ;X 200 - ;;45 ;;3,000 ;;;;;;;;;;;;
Flistad ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finnerödja ;;;;;;;;;9,600 ;;80 ;17.600 ;;;120 ;;;35,000 ;- ;;150 ;;;;;;;;;;;;;;
Fägred ;;;;;;;;;18,000 ;;1,000 ;70,800 ;;10,500 ;;;;35,000 ;;800 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;11,200 ;10,000 ;;90 ;;;;;;;;;;;;;;
Fredsberg ;;;;;;;;;40,000 ;;440 ;108,000 ;;3,440 ;;;;;;;;4,000 ;X 20,000 ;;;;;;;;;;;;
Frösved ;;;;;;;;;7,075 ;;810 ;28,890 ;;;;;;12,600 ;;120 ;;;21,333 ;;;;;;;;;;;;
Götlunda ;;;;;;;;;6.400 ;;;13,440 ;;;;;;4,800 ;;;;;;;;;;;;;;;;;
Halna ;;;;;;;;;2,835 ;;;12,663 ;;;;;;9,448 ;201 ;50 ;;;5,000 ;;;;;;;;;;;;
Hiälstad ;;;;;;;;;6,174 ;;;26,460 ;;;;;;9,072 ;;;;;1,600 ;;;;;;;;;;;;
Hassled, Berga och Färed ;;;;6,000 ;;;14,000 ;;29,050 ;;4,000 ;74,760 ;;1,200 ;;1,200 ;;30,000 ;12,000 ;180 ;40 ;;100,000 ;;;;;;;;;;;;
Hofva med Fagerlid ;;;;;;;1,620 ;;22,320 ;;270 ;76.860 ;;;;180 ;;24,720 ;- ;;132 ;;350,000 ;;;;;;;;;;;;
Horn ;X ;;;;;;318 ;;2,080 ;;150 ;8,040 ;X ;;;;;4,080 ;;9 ;;;;;;;;;;;;;;;
Leksberg ;;100 ;;1,080 ;;;2,736 ;;9,238 ;;60 ;19,664 ;;;;700 ;;10,800 ;1,600 ;30 ;G ;18,240 ;;;;;;;;;;;;;
Lyrestad ;;;;3,210 ;;;1,935 ;;13,890 ;;255 ;42,325 ;;;;;;16,250 ;;;35,60 ;;;;;;;;;;;;;;
Locketorp ;;;;3.600 ;;;1,560 ;200 ;6,600 ;;100 ;19,800 ;;;;;;14,400 19,600 ;400 ;- ;24 ;2,800 ;8,000 ;;;;;;;;;;;;
Lerdala ;;100 ;;3,600 ;;;200 ;;9.760 ;;1,800 ;15,750 ;2,400 ;;;;;;63 ;;;;;;;;;;;;;;;;
Lâstad ;;13 ;;4,095 ;19 ;;630 ;;1,764 ;;124 ;7,080 ;;;;X ;;12,275 ;;25 ;5 ;;;;;;;;;;;;;;
Mo ;;;;1,134) ;;;2,520 ;;1,732 ;;;17,010 ;;;;;;3,402 ;- ;;;;8,800 ;;;;;;;;;;;;
Mölltorp ;;;;6,000 ;60 ;;180 ;160 ;9,600 ;150 ;;25,000 ;150 ;;;;;24,000 ;- ;180 ;60 ;;15,000 ;;;;;;;;;;;;
Odensäker ;X 13 ;75 ;;2,520 ;;;1,250 ;;5,700 ;;252 ;12,600 ;;;X ;X ;;10,080 ;- ;;;;;;;;;;;;;;;;
Ransberg ;;;;6,300 ;315 ;;250 ;;14,364 ;504 ;- ;30,500 ;;;;;;31,500 ;;945 ;;;;;;;;;;;1,000 ;;;;
Svenneby ;;;;1,550 ;;;1,288 ;;1,288 ;;;8.784 ;;;;;;9,300 ;;;;;;;;;;;;215 ;180 ;;;;
Säter ;;;;3,000 ;18 ;;250 ;;11,200 ;;1,540 ;14,750 ;;;;;;24,000 ;;72 ;;;25,000 ;;;;;;;;;;;;





