Table: Table_1

Hjälstad ;;50 ;;;;;;;;500 ;500 ;79,200 ;660 ;300 ;;400 ;;32,000 ;;60 ;- ;- ;;150 ;50 ;550 ;;;;;;;
Hofva och Fagerlid ;;100 ;;4,000 ;;20 ;1.400 ;250 ;23,500 ;;;;;300 ;;200 ;;25,200 ;200 ;;;;;;;;25 ;1,200 ;100 ;1,000 ;;140 ;
Horn ;10 ;40 ;- ;3,600 ;;30 ;900 ;- ;5,400 ;;600 ;21,000 ;- ;;30 ;;;;;120 ;;- ;7.500 ;30 ;10 ;100 ;2 ;200 ;50 ;100 ;;40 ;
Leksberg ;;100 ;;1,440 ;;;2.208 ;;5,535 ;;200 ;20.500 ;;700 ;- ;500 ;;11,520 ;2.800 ;;;- ;16.000 ;48 ;6 ;140 ;5 ;355 ;136 ;80 ;;40 ;
Lerdala ;;110 ;;2,800 ;;4 ;1,400 ;80 ;3.280 ;80 ;1,200 ;13.750 ;250 ;300 ;- ;grönfoder ;;14,000 ;1,200 ;4 ;;;18.000 ;50 ;6 ;108 ;5 ;325 ;120 ;120 ;;60 ;
Locketorp ;;85 ;- ;3,600 ;;30 ;1.240 ;180 ;6.900 ;- ;150 ;15,480 ;100 ;900 ;- ;170 ;;21,700 ;5,000 ;70 ;29. ;2,000 ;12.000 ;36 ;7 ;160 ;5 ;340 ;116 ;170 ;;110 ;
Lyrestad ;;20 ;;5.000 ;;50 ;1.000 ;- ;11,300 ;;240 ;67.200 ;- ;1,000 ;;100 ;;40,000 ;;300 ;60 ;1.100 ;22,000 ;40 ;5 ;500 ;G ;800 ;450 ;1.100 ;;200 ;
;;;;;;;;;2,650 ;;120 ;6.300 ;- ;500 ;X 80 ;250 ;;7,500 ;- ;12 ;8 ;400 ;3,000 ;46 ;10 ;120 ;4 ;320 ;40 ;;;;
Listad. ;16 ;125 ;;1,283 ;;2 ;1,300 ;45 ;;;;;;;;;;;;;;;;;;;;;;150 ;;60 ;
Mo ;;;;1.400 ;;- ;1,000 ;;1.200 ;;;16,520 ;;300 ;;;;7,000 ;;;;- ;8.000 ;20 ;9 ;70 ;5 ;170 ;20 ;50 ;;50 ;
Mölltorp ;;80 ;- ;6,300 ;;12 ;240 ;240 ;15,000 ;120 ;50 ;26,000 ;250 ;200 ;- ;grönfoder ;- ;30,000 ;5,000 ;60 ;15 ;- ;18,000 ;48 ;8 ;300 ;6 ;630 ;180 ;175 ;4 ;200 ;
Odensaker ;10 ;40 ;;1,600 ;;- ;1,284 ;- ;8,980 ;;150 ;36.500 ;- ;300 ;10 ;80 ;- ;8,000 ;500 ;;;- ;11,875 ;52 ;18 ;150 ;;300 ;150 ;150 ;- ;75 ;
Ransberg ;;;- ;10.500 ;;250 ;;- ;10,080 ;630 ;;28,800 ;- ;750 ;;;- ;42,000 ;;950 ;;- ;;100 ;20 ;300 ;10 ;500 ;300 ;1.000 ;;200 ;
Svenneby ;6 ;38 ;;;690 ;3 ;1,900 ;- ;1,500 ;- ;300 ;7,500 ;240 ;200 ;12 ;75 ;- ;3,450 ;2,000 ;6 ;;- ;6.000 ;34 ;16 ;80 ;6 ;290 ;50 ;60 ;;36 ;





