Table: Table_1

IIjo ;3.25 ;;4 ;1,677 ;3 ;735 ;35 ;202 ;8 ;20 ;9 ;;5 ;9 ;;;120 ;200 ;3 ;142 ;22 ;;25 ;136 ;- ;120 ;12 ;10 ;610 ;70 ;;1,630 ;10 ;20 ;
Summa for staderna ;59,25 ;891 ;61 ;13.607 ;162 ;6,424 ;703 ;3,590 ;179 ;222 ;49 ;5 ;17 ;2S ;14 ;- ;894 ;1,785 ;132 ;394 ;106 ;4 ;544 ;2.097 ;35 ;649 ;445 ;10 ;3.314 ;70 ;355 ;9,359 ;297 ;253 ;
Summa für hela Jänet ;4,776,74 ;;;1,092,865 ;;463,406 ;118,556 ;364,94 1 ;2,767| ;9,983 ;2,673 ;;2,253 ;4,477 ;1,234 140 ;;67,852 ;179,658 ;11,275 ;22,819 ;3,262 ;1,727 ;47,208 ;101,378 1 ;427 ;65,599 I ;51,023 ;1,326 ;292,029 ;2,763 ;52,709 ;1,264,686 ;46,943 ;;





Table: Table_2

1. ;36. ;37. ;38 ;39. ;40. ;41. ;44. ;45 ;46. ;47. ;48. ;49. ;50 ;51 ;52 ;53. ;54. ;55. ;56. ;X 58. ;59. ;60. ;61. ;62 ;66. ;67. ;68. ;69. ;70. | ;71. ;72. ;73. ;74 ;75 ;
;;Hela ;;utsädesbeloppet ;af ;;;;;;;;;;Skordebeloppetutan ;;;;utsadets ;;afdrag). ;;;;;;Antal ;vid ;drets ;slut ;underhallna ;;;;
Kommunens namn. ;;;Bo- ;;Lin och ;;Hvete, ;;Râg, ;;;;Bland- ;;;;Bo- ;;Andra ;Lin och ;hampa, ;Gräs foderväxter ;och andra till ;;Hästar ;;;;;;;;;;
;Bönor ;Vicker ;(hvete. ;Potatis. ;hampa ;Raps ;höst-. ;vâr- ;höst-, ;vâr-. ;Korn ;Hafre. ;säd. ;Ärter. ;Bönor. ;Vicker ;have. ;Potatis. ;rotfruk- ter. ;frö. ;spanads- ämne. ;grön- foder. ;hö. ;Raps ;öfver ;under 3 &r. ;Oxar. ;Tjurar ;Kor. ;Ungnöt under 2 &r. ;F&r. ;Getter ;Svin. ;Fjäderfä. ;
;;K ;b ;k f ;t. ;;;;;K ;u b i ;k f ;t. ;;;;;K b i ;k f o ;t. ;C ;t ;e r. ;Kbf. ;ar. ;;;;;;;;;;
Torsö ;;130 ;;6,730 ;- ;- ;2,270 ;180 ;11,230 ;;3,870 ;37,800 ;;780 ;;724 ;;58,940 ;2,700 ;- ;- ;2,300 ;7,800 ;;58 ;1 ;274 ;7 ;365 ;139 ;G30 ;;120 ;;
Tiavad ;31 ;;;441 ;;;995 ;;1,823 ;;;17,000 ;;9951 ;;450 ;;1,990 ;;;;;;;35 ;3 ;100 ;;230 ;75 ;225 ;;;;
Tived ;;;;4,750 ;80 ;;;12 ;3.600 ;80 ;85 ;5,000 ;200 ;100 ;;;;15,000 ;300 ;;;;- ;;73 ;2 ;105 ;8 ;310 ;130 ;800 ;;;;
Trästena ;;;;1,500 ;;;2,431 ;;5,320 ;;;31,644 ;;240, ;;;;9.000 ;- ;;13,50 ;;;;47 ;4 ;100 ;7 ;225 ;110 ;;;;;
Timmersdala ;;;;504 ;;;454 ;;1.890 ;- ;101 ;2,772 ;454 ;252 ;;;;2,520 ;- ;12 ;;- ;;;30 ;5 ;30 ;1 ;100 ;;;;;;
Ullervad ;;;;2,220 ;;;1.416 ;;5,728 ;;;17,948 ;;426 ;;;;11.100 ;;;;;27,160 ;;;6 ;200 ;;300 ;200 ;100 ;;;;
Utby ;;;;650 ;;;1,267) ;37 ;3.593 ;;;7,963 ;;9561 ;;150 ;;2,651 ;- ;;2 ;1,230 ;8,278 ;;20 ;5 ;112 ;;223 ;;;;;;
Undenäs ;110 ;;;12,600 ;;;1,200 ;;28.200 ;680 ;250 ;51,600 ;800 ;600 ;1,320 ;200 ;;75,600 ;;330 ;;;;;145 ;4 ;620 ;18 ;1,320 ;625 ;2.000 ;;;;
Vad ;;;;840 ;;;3.240 ;;3,000 ;;125 ;12,200 ;;620 ;;;;5,880 ;378 ;;;;;;23 ;;100 ;;120 ;50 ;120 ;;;;
Väring ;;25 ;;2,000 ;;;4.500 ;85 ;7.000 ;;100 ;14,000 ;;600 ;;88 ;;12,000 ;;-- ;- ;- ;16.000 ;;50 ;10 ;200 ;4 ;350 ;130 ;200 ;;100 ;;
Vadsbo härad ;402 ;2,017 ;;131.065 ;1.146 ;;99.406 ;919 ;422.265 ;1.534 ;23.270 ;1,262,863 ;4.628 ;53.295 ;2.599 ;7,683, ;- ;840.820 ;45,318 ;2,801 ;735.50 ;42.830 ;700.030 ;;2,437 ;213 ;8.477 ;290 ;16,611 ;7,656 ;17,566 ;41 ;3,930 ;;
Summa für landsbsgden ;790 ;26,499 ;25 ;648,125 ;4,534 ;12,6 ;341,043 ;7,277 ;1,901,754 ;12,594 ;318,543 ;6,196,277 ;225,129 ;241,411 ;4,298 ;142,777 ;30 ;4,297,518 ;483,621 ;9,354 ;2,419,86 ;67,523 ;1,258,064 ;1,008 ;20,254 ;3,314 ;25,150 ;1,495 ;70,190 ;31,773 ;77,434 ;71 ;21,186 ;1,548 ;
Mariestad ;- ;12 ;- ;400 ;- ;- ;1,600 ;- ;3.200 ;- ;180 ;10.400 ;;120 ;- ;- ;- ;2,400 ;600 ;- ;- - ;240 ;9.000 ;- ;38 ;2 ;34 ;3 ;120 ;4 ;32 ;- ;40 ;;
Lidköping ;;;;660 ;;;;;10,650 ;- ;600 ;11,300 ;;;;;;6,600 ;10,000 ;;;;2,130 ;;80 ;;;;300 ;;;- ;20 ;;
Skara ;5 ;140 ;- ;3,236 ;- ;;1,680 ;;7,237 ;- ;720 ;10,863 ;1,291 ;798 ;33 ;980 ;- ;19,416 ;;5 ;10 ;690 ;6,840 ;;86 ;1 ;26 ;1 ;215 ;20 ;40 ;- ;;;
Sköfde ;- ;;-- ;2,150 ;- ;;630 ;- - ;4,720 ;- ;;7,920 ;;600 ;;;- ;17,200 ;;- ;- ;;;;20 ;2 ;30 ;;220 ;;50 ;;60 ;;
Falköping ;- ;26 ;- ;300 ;- ;- ;;;672 ;;570 ;3,960 ;;32 ;- ;;- ;2,400 ;2.750 ;- ;- ;;2,000 ;;;;;;267 ;;40 ;- ;66 ;;
HIo ;;20 ;- ;5,400 ;- ;;70 ;40 ;3,700 ;220 ;;9,800 ;GO ;45 ;;100 ;- ;37,000 ;12.000 ;- ;-- ;1,000 ;4,000 ;;43 ;;30 ;20 ;150 ;24 ;20 ;- ;150 ;- ;
Summa für staderna ;5 ;198 ;- ;12,146 ;- ;- ;3.980 ;40 ;30,179 ;220 ;2,070 ;54,243 ;1,351 ;1,595 ;33 ;1.080 ;- ;85,016 ;25,350 ;5 ;10 ;1.930 ;23,970 ;- ;338 ;14 ;161 ;18 ;1,272 ;108 ;152 ;- ;396 ;- ;
Summa für hela länet ;;;;660,271 ;;;;;;12,814) ;320,613 ;;226,480 ;;;;;;;;;;;;;;;;71,462 ;31,881 ;77,616 ;71 ;21,57² ;- ;





