Table: Table_1

Lindärfva ;- - ;189 ;1,134 ;25 ;- ;1,689 ;- ;4,600 ;315 ;1,134 ;12,600 ;5,760 ;630 ;- ;1,134 ;5,670 ;30,000 ;- ;50 ;X 16 ;X 2,000 ;11,600 ;- ;55 ;7 ;X 36 ;5 ;225 ;62 ;105 ;- ;48 ;- ;
Skeby ;- ;20 ;300 ;6 ;- ;120 ;X 20 ;3,500 ;X 30 ;100 ;13,000 ;600 ;400 ;- ;100 ;2,400 ;- ;- ;10 ;- ;- ;;- ;41 ;6 ;28 ;2 ;120 ;80 ;100 ;- ;20 ;- ;
Skjelfvum ;- ;24 ;1,417 ;30 ;- ;1,728 ;- ;3,456 ;- ;1,400 ;12,000 ;- ;336 ;- ;120 ;11,336 ;- ;- ;- ;-- ;- ;3,800 ;- ;42 ;11 ;54 ;2 ;145 ;100 ;160 ;- ;72 ;- ;
Skofteby ;- ;25 ;130 ;- ;- ;158 ;- ;3,254 ;- ;38G ;5,845 ;- ;96 ;- ;- ;850 ;G40 ;- ;- ;- ;- ;2,420 ;- ;20 ;4 ;23 ;3 ;56 ;67 ;- ;- ;21 ;- ;
Säfvared ;- ;- ;240 ;130 ;- ;224 ;- ;3.780 ;- ;6.000 ;20,100 ;- ;2,500 ;- ;- ;16,800 ;- ;- ;890 ;- ;- ;- ;- ;120 ;10 ;50 ;4 ;200 ;80 ;200 ;- ;100 ;- ;
Summa ;X 560 ;1,924 ;12.017 ;292 ;3 ;13.034 ;X 360 ;56,244 ;X 345 ;17,212 ;263,600 ;10,135 ;17,243 ;3.450 ;7,507 ;86,134 ;55,270 ;- ;650 ;X 88 ;2,000 ;43,410 ;189 ;1,003 ;139 ;483 ;51 ;2,460 ;1,071 ;3,185 ;- ;1.000 ;- ;
Kinne härad. d) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Forshem ;- ;16 ;520 ;- ;- ;1,060 ;- ;2,074 ;- ;476 ;6,582 ;900 ;423 ;- ;129 ;3,844 ;2,298 ;- ;- ;9 ;X 20,129 ;49,865 ;- ;167 ;36 ;297 ;20 ;719 ;329 ;759 ;- ;247 ;- ;
Fullösa ;- ;15 ;150 ;4 ;- ;220 ;- ;1,070 ;- ;155 ;4,000 ;- ;80 ;- ;- ;800 ;- ;- ;- ;12 ;- ;- ;- ;64 ;8 ;CO ;4 ;250 ;100 ;380 ;- ;55 ;- ;
Götened ;- ;6 ;58 ;- ;- ;190 ;- ;490 ;- ;41 ;1,440 ;- ;65 ;- ;42 ;425 ;- ;- ;- ;5,60 ;- ;- ;- ;35 ;7 ;58 ;4 ;115 ;120 ;254 ;- ;44 ;- ;
Holmestad ;X 42 ;- ;360 ;84 ;- ;1,500 ;X 180 ;3,600 ;X 600 ;360 ;13,500 ;- ;1,140 ;210 ;- ;2,520 ;2,520 ;- ;- ;X 960 ;- ;8,630 ;- ;80 ;24 ;150 ;6 ;210 ;260 ;319 ;5 ;105 ;- ;
Kjestad ;- ;- ;428 ;- ;- ;202 ;- ;1,940 ;- ;- ;4,460 ;- ;227 ;- ;- ;2,570 ;1,575 ;- ;- ;- ;- ;- ;- ;37 ;11 ;25 ;2 ;68 ;68 ;250 ;- ;20 ;- ;
Klefva ;- ;X 30 ;750 ;65 ;- ;600 ;- ;6,000 ;- ;2,000 ;16,000 ;- ;150 ;- ;100 ;5,000 ;4,500 ;- ;X 130 ;X 40 ;200 ;12,000 ;- ;60 ;10 ;30 ;2 ;100 ;60 ;150 ;- ;130 ;- ;
Ledsjö ;- ;- ;25,000 ;50 ;- ;4,650 ;- ;5,700 ;X 200 ;3,100 ;15,800 ;3,200 ;1,010 ;- ;- ;102,000 ;600 ;- ;150 ;12 ;1,000 ;10,000 ;- ;80 ;19 ;93 ;5 ;379 ;151 ;367 ;- ;195 ;- ;
Medelplana ;- ;60 ;3,200 ;- ;- ;1,140 ;- ;4,480 ;- ;11,200 ;- ;12,800 ;368 ;- ;3GO ;22,400 ;37,000 ;- ;- ;- ;- ;- ;- ;86 ;11 ;57 ;5 ;281 ;103 ;800 ;- ;300 ;500 ;
Sil ;- ;- ;648 ;121 ;- ;540 ;- ;2,520 ;- ;324 ;7,452 ;- ;120 ;- ;- ;3,888 ;4,200 ;- ;- ;10 ;- ;- ;- ;36 ;6 ;18 ;2 ;90 ;X 36 ;144 ;- ;36 ;- ;





