Table: Table_1

Främmestad ;19,69 ;132 ;81 ;11,109 ;;3,800 ;75 ;;;;;;;;;;;475 ;1,200 ;50 ;150 ;20 ;;475 ;950 ;- ;475 ;100 ;- ;2,275 ;-- ;300 ;10,350 ;;200 ;
Hyringa ;16,44 ;56 ;51 ;4,897 ;10 ;2,552 ;10 ;809 ;--- ;;;;;;;;2 ;320 ;860 ;20 ;44 ;5 ;4 ;358 ;612 ;- ;327 ;200 ;;1,250 ;-- ;300 ;7,000 ;60 ;100 ;
Levene, del ;7,88 ;50 ;15 ;2,314 ;15 ;1,400 ;5° ;300 ;- ;;;;;;;;;125 ;540 ;30 ;45 ;5 ;to ;100 ;250 ;;125 ;x6 ;;8oo ;;100 ;8oo ;200 ;150 ;
Längnum ;;;;1,620 ;20 ;;;;;;;;;;;- ;;146 ;;;20 ;;;146 ;292 ;- ;146 ;78 ;;78o ;- ;78 ;3,600 ;100 ;80 ;
Malma ;13,39 ;63 ;4 ;5,554 ;;2,400 ;3° ;5° ;1 ;;;;;;;;;;1,637 ;13 ;;;;;;;;;;;- ;;8,808 ;;;
Sparlösa ;14,75 22,13 ;99 ;37 ;6,480 ;55 ;3,690 3,730 ;50 ;1,210 900 ;to 7 ;;;;;;2 ;;;380 ;1,460 ;130 ;100 ;20 ;5 ;235 ;900 ;- ;500 ;475 ;10 ;;- ;275 ;13,725 ;600 ;223 ;
Tengene ;15,88 ;84 ;;5,554 ;6o ;;;;;;;;;;;;;;1,140 ;;6o ;- ;;255 ;700 ;;;400 ;4° ;1,560 ;- ;;;500 ;270 ;
Trökörna ;18,56 ;108 ;38 ;8,100 ;16 ;1'920 ;;3,600 ;'s ;ba ;;;;12 ;;;;208 ;750 ;is ;50 ;- ;;;450 ;- ;258 ;150 ;;900 ;- ;488 ;8,000 ;30 ;40 ;
Summa Viste härad ;165,60 ;911 ;453 ;55,774 ;244 ;27,851 ;639 ;9,409 ;48 ;519 ;140 ;7 ;;87 ;32 ;;6 ;2,712 ;9,414 ;555 ;594 ;03 ;57 ;2,492 ;5,394 ;-- ;2,881 ;2,420 ;50 ;13,443 ;- ;2,074 ;76,683 ;1,835 ;1,694 ;
Gösslunda ;22,63 ;45 ;62 ;3,703 ;45 ;2,205 ;10 ;560 ;5 ;;;;;;;;1 ;350 ;1,190 ;250 ;70 ;2 ;3 ;100 ;476 ;;300 ;450 ;12 ;950 ;- ;320 ;9,030 ;60 ;370 ;
Hjerpãs, Höra och Vedum ;28,04 ;175 ;76 ;8,791 ;;4,812 ;306 ;2,090 ;;;;;;;;;;680 ;1,760 ;273 ;76 ;47 ;;191 ;1,188 ;;590 ;540 ;;2,860 ;50 ;200 ;14,680 ;1,561 ;300 ;
Häggesled ;10,38 ;54 ;33 ;2,314 ;30 ;1,450 ;20 ;800 ;;;;;;;;;;150 ;320 ;30 ;30 ;8 ;2 ;400 ;290 ;82 ;160 ;174 ;- ;725 ;;140 ;3,858 ;270 ;200 ;
Kedum ;11 ;26 ;5 ;2,083 ;11 ;972 ;58 ;253 ;;;;;;;;;;130 ;345 ;;4 ;- ;;98 ;243 ;;150 ;157 ;;504 ;- ;239 ;2,350 ;;189 ;
Lavad ;9.50 ;37 ;3° ;3,703 ;27 ;1,371 ;168 ;437 ;8 ;;;;;;;;;161 ;599 ;34 ;25 ;pou ;;107 ;208 ;- ;201 ;240 ;;542 ;- ;162 ;4,424 ;133 ;192 ;
Levene, del Mellby ;9,25 16.88 ;;;3,471 5,091 ;;2,511 ;;2,640 ;;;;;;;;;;320 ;568 810 ;63 ;à ;30 ;;275 ;650 ;- ;;670 ;- ;1,300 ;100 ;iso ;;400 50 ;220 200 ;
Otterstad med Senäte ;30,38 ;;;15,506 ;76 ;2,880 ;480 ;6,970 ;16 ;;;;;;;;;680 ;800 ;200 ;124 ;30 ;;;582 ;;462 ;1,075 ;12 ;1,633 ;- ;800 ;6,220 ;;675 ;
Rackeby ;22 ;;;4,397 ;;2,131 ;;400 ;;;;;;;;;;348 ;600 ;68 ;100 ;30 ;;50 ;632 ;;300 ;170 ;;200 ;;168 ;4,760 ;43° ;396 ;
Râda ;20,16 ;;;5,554 ;38 ;2,736 ;;2,749 ;5 ;;;;;;;;;390 ;949 ;114 ;74 ;31 ;2 ;219 ;561 ;;390 ;1,079 ;;1,203 ;41 ;690 ;8,364 ;;371 ;
Skalunda ;10,63 ;;;1,620 ;18 ;2,000 ;15 ;30 ;;;;;;;;;;;1,000 ;6o ;;10 ;;;;- ;;300 ;;400 ;;500 ;2,270 ;120 ;200 ;
Sladene ;16,50 ;;;2,083 ;10 ;2,500 ;65 ;1,805 ;10 ;;;;;;;;;400 ;700 ;100 ;150 ;90 ;10 ;350 ;350 ;- ;335 ;560 ;;1,780 ;- ;200 ;6,400 ;200 ;500 ;
Strö ;12,31 ;;;4,629 ;;;164 ;1,598 ;;;;;;;;;;285 ;310 ;;AP ;20 ;;;245 ;;658 ;;;580 ;- ;;2,040 ;200 ;300 ;
Sunnersberg ;27,88 ;;;6,711 ;15 ;4,273 ;;2,396 ;6 ;;;;;;;;;;1,840 ;140 ;;30 ;10 ;160 ;;10 ;;1,000 ;40 ;3,000 ;;240 ;11,000 ;400 ;800 ;
Söne ;15 ;;;4,397 ;9 ;1,453 ;180 ;200 ;6 ;;;;;;;;;150 ;600 ;200 ;50 ;;;50 ;250 ;1 ;150 ;200 ;8 ;700 ;15 ;600 ;3,430 ;120 ;300 ;
Tranum ;15,18 ;;;3,472 ;4 ;2,230 ;10 ;1,228 ;6 ;;;;;;;;;280 ;930 ;180 ;120 ;20 ;8 ;187 ;170 ;;315 ;360 ;3 ;930 ;-- ;580 ;5,600 ;250 ;315 ;
T&dene ;9,25 ;;;2,546 ;;;;837 ;I ;;;;;;;;;;325 ;133 ;22 ;;;350 ;208 ;- ;;;;462 ;- ;225 ;2,389 ;66 ;xo8 ;
Ufvered ;16,26 ;;;;20 ;2,950 ;;;;;;;;;;;;;;;;12 ;3 ;;780 ;;390 ;200 ;;1,750 ;- ;260 ;7,710 ;260 ;300 ;
Väla och Gillatad ;8,65 ;;;6,249 ;24 ;2,098 ;;3,682 ;14 ;;;;;;;;;250 ;889 ;20 ;40 ;;;100 ;596 ;;203 ;205 ;10 ;1,610 ;- ;204 ;6,599 ;- ;100 ;
Asaka ;17 ;;;1,620 ;;2,194 ;;421 ;;;;;;;;;;2G8 ;760 ;25 ;30 ;25 ;3 ;250 ;530 ;;233 ;500 ;;1,100 ;- ;200 ;6,800 ;;200 ;
Örslösa ;19,75 ;;;5,786 ;20 ;3,600 ;;2,136 ;9 ;;;;;;;;;300 ;1,300 ;200 ;60 ;10 ;;472 ;900 ;50 ;300 ;800 ;;1,800 ;;600 ;8,000 ;600 ;1,000 ;
Summa K&llands härad ;348,06 ;1,273 ;1,032 ;96,969 ;599 ;48,674 ;1,990 ;31,942 ;127 ;632 ;287 ;19 ;230 ;481 ;102 ;13 ;;6,978 ;17,505 ;2,299 ;1,233 ;412 ;76 ;4,012 ;10,003 ;143 ;6,378 ;9,768 ;113 ;25,613 ;X 206 ;7,270 ;128,232 ;5,203 ;7,236 ;
Eling ;10 ;60 ;31 ;4,397 ;15 ;920 ;360 ;180 ;8 ;40 ;;;;;;;;100 ;500 ;12 ;40 ;10 ;2 ;50 ;110 ;- ;100 ;18 ;;580 ;24 ;60 ;5,000 ;60 ;12 ;
Essunge ;22.69 ;260 ;183 ;10,414 ;20 ;2,679 ;;7,142 ;46 ;135 ;;;;170 ;40 ;;;357 ;912 ;10 ;250 ;11 ;;357 ;570 ;;280 ;40 ;;1,800 ;54 ;100 ;10,000 ;200 ;38 ;
Foglum ;11 ;;;4,629 ;27 ;1,280 ;600 ;168 ;3 ;;;;;;;;;160 ;788 ;;65 ;;;60 ;91 ;;140 ;50 ;a ;650 ;4 ;180 ;8,180 ;40 ;12 ;
Hallum ;7,50 ;37 ;;²) 2,315 ;4 ;1,742 ;10 ;114 ;;;;;;;;;3 ;218 ;562 ;54 ;20 ;15 ;;218 ;436 ;;218 ;54 ;;163 ;;20 ;786 ;150 ;20 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kedum ;13,56 ;145 ;;5,323 ;42 ;2,825 ;140 ;2,339 ;12 ;116 ;;;;;;;;325 ;1,180 ;55 ;45 ;5 ;5 ;260 ;680 ;;320 ;160 ;15 ;1,325 ;15 ;80 ;11,000 ;150 ;;
Lekasa ;11,50 ;47 ;;3,934 ;15 ;1,632 ;95 ;153 ;4 ;;;;;;;;;189 ;785 ;18 ;50 ;9 ;8 ;57 ;328 ;;183 ;63 ;10 ;;24 ;182 ;;;50 ;
Levene, del ;;;;926 ;;;;;;;;;;;;;;;;7° ;28 ;;;189 ;189 ;- ;120 ;60 ;;877 400 ;;;6,214 ;72 6o ;39 ;
Long ;16 ;;;8,240 ;10 ;3,111 ;100 ;;8 ;;;;;;;;;400 ;800 ;100 ;50 ;18 ;5 ;500 ;846 ;- ;400 ;500 ;;1,500 ;;200 ;6,200 ;;300 ;
Naum ;13,19 ;92 ;102 ;5,554 ;40 ;2,503 ;497 ;510 ;54 ;106 ;;;;;;;;380 ;1,080 ;25 ;120 ;;8 ;50 ;580 ;- ;310 ;50 ;10 ;1,755 ;- ;40 ;10,780 ;;75 ;
Ryda med Halfae ;25 ;150 ;91 ;6,480 ;106 ;3,690 ;39 ;1,315 ;16 ;86 ;;;;;;;;500 ;1,190 ;140 ;60 ;15 ;15 ;410 ;874 ;- ;550 ;300 ;;3,000 ;- ;190 ;2,300 ;375 ;500 ;
Sandbäck eller Kyrk&s ;;16 ;28 ;2,314 ;_2 ;625 ;110 ;600 ;10 ;;;;;;;;;;;;2° ;2 ;$ ;100 ;;- ;110 ;;5 ;6oc ;20 ;20 ;2,800 ;16 ;;
Skarstad ;18.38 ;165 ;17 ;4,166 ;;3,645 ;50 ;;10 ;;;;;;;;;;2,010 ;267 ;;;;295 ;;- ;295 ;230 ;;1,631 ;;324 ;7,620 ;201 ;292 ;
Yara. ;10,75 ;73 ;;2,777 ;12 ;2,361 ;;;;;;;;;;;;300 ;1,036 ;100 ;35 ;;a ;120 ;455 ;- ;350 ;300 ;;1,275 ;10 ;100 ;7,800 ;300 ;150 ;
Asaka ;14,58 ;140 ;38 ;4,860 ;25 ;1,465 ;585 ;155 ;10 ;;;;;;;;;150 ;725 ;12 ;50 ;;15 ;;160 ;;260 ;15 ;;650 ;20 ;72 ;6,040 ;116 ;40 ;
Onum ;11.25 ;86 ;56 ;4,397 ;30 ;8,600 ;130 ;355 ;24 ;;;;;;;;;300 ;1,427 ;70 ;100 ;3 ;5 ;680 ;730 ;- ;300 ;125 ;8 ;1,600 ;150 ;150 ;9,000 ;308 ;90 ;
Summa Barne härad ;196,85 ;1,442 ;728 ;²) 65,726 ;419 ;32,778 ;2,831 ;13,083 ;210 ;939 ;163 ;10 ;;381 ;63 ;;9 ;3,793 ;13,495 ;930 ;1,019 ;97 ;90 ;3,306 ;6,783 ;- ;X 3,936 ;1,968 ;64 ;17,806 ;321 ;1,788 ;96,720 ;2,048 ;1,678 ;
Broby ;7.50 ;23 ;3 ;1,389 ;15 ;1,170 ;45 ;5 ;1 ;;;;- ;;3 ;;1 ;168 ;418 ;10 ;15 ;5 ;2 ;50 ;334 ;;;;;;;;;;;
Hangelösa ;16,50 ;53 ;70 ;5,091 ;32 ;1,803 ;316 ;1,663 ;30 ;;;;;;;;;210 ;600 ;35 ;65 ;35 ;20 ;210 ;415 ;- - ;168 210 ;96 16 ;- 2 ;740 195 ;- ;30 17 ;3,500 980 ;90 ;30 21 ;
Hasslösa ;12,25 ;71 ;54 ;4,397 ;24 ;2,650 ;;600 ;24 ;58 ;;;;18 ;2 ;1 ;;315 ;860 ;40 ;42 ;15 ;3 ;475 ;600 ;- ;300 ;200 ;;1,500 ;;63 ;7,560 ;;80 ;
Husaby ;23,75 ;46 ;33 ;3,934 ;20 ;2,800 ;;320 ;;;;;;;;;;375 ;730 ;50 ;240 ;50 ;;226 ;750 ;;375 ;370 ;100 ;1,405 ;- ;800 ;6,000 ;700 ;250 ;
Hofby ;12,63 ;46 ;37 ;3,471 ;24 ;2,652 ;38 ;50 ;;;20 ;;6 ;;;;;300 ;850 ;40 ;50 ;2 ;;400 ;760 ;8 ;300 ;300 ;10 ;720 ;- ;100 ;8,600 ;140 ;100 ;





