Table: Table_1

Ledsjö ;16,87 ;60 ;;56 ;6,900 ;20 ;2,100 ;180 ;1,400 ;10 ;;;;;;;;;550 ;;;5 ;5 ;180 ;390 ;;300 ;250 ;;1,250 ;300 ;400 ;5,200 ;
Lugnas och Bredsäter* ;13,06 ;157 ;260 ;;7,680 ;;3,166 ;356 ;2:335 ;;;;;;;;;;1,035 ;;;;;;6oo ;- ;;;;;- ;;2,385 ;
Medelplana ;17,38 ;is ;;93 ;4,744 ;58 ;1,530 ;850 ;;2 ;;;;;;;;;;;;;;iso ;300 ;- ;155 ;1G0 ;20 ;GOO ;;900 ;;
Sil* ;;26 ;;;;;.710 ;192 ;;;;;;;;;;;;;;14 ;;;;- ;;108 ;- ;420 ;- ;;1,863 ;
Vedum ;13.31 ;33 ;;;;23 ;3.048 ;;328 ;15 ;;;;;;;;;;;;;;435 ;325 ;-- ;113 ;300 ;;2,310 ;-- ;54 ;6,681 ;
Vesterplana ;10,50 ;;;12 ;1,410 ;;1.090 ;5 ;313 ;;;;;;;;;;;;;;;80 ;395 ;- ;114 ;85 ;22 ;610 ;- ;480 ;500 ;
Vättlosa ;16,81 ;75 ;;;4,200 ;40 ;1,500 ;100 ;2,560 ;;;;;;;;;;;;;;;200 ;400 ;;220 ;300 ;;900 ;;;3,000 ;
Österplana ;17,88 ;36 ;104 ;;4,513 ;30 ;1.000 ;162 ;900 ;;;;;;;;;;;;;40 ;;10 ;350 ;1 ;130 ;GO ;- ;500 ;- ;250 ;250 ;
Summa Kinne härad ;199,37 ;676 ;909 ;;59,179 ;318 ;25,210 ;2,152 ;24,010 ;84 ;266 ;188 ;22 ;107 ;266 ;54 ;;3,771 ;7,115 ;391 ;1,065 ;371 ;71 ;2,943 ;6,695 ;41 ;3,594 ;2,848 ;62 ;13,113 ;318 ;2,014 ;38,368 ;
Edsvära ;30,50 ;98 ;125 ;;12.261 ;28 ;5,520 ;195 ;6,518 ;;;;;;;;;810 ;1,550 ;;215 ;;10 ;2,000 ;25 ;- ;815 ;334 ;;2,457 ;12G ;389 ;11,814 ;
Fyrnnga ;9,75 ;;;;2.751 ;14 ;2,402 ;;154 ;;;;;;;;;;1,045 ;;;;;236 ;470 ;;235 ;132 ;;1,111 ;;150 ;5,290 ;
Gerum ;13,38 ;;;;2.679 ;26 ;1.588 ;215 ;810 ;;;;;;;;;;;;;;;43 ;466 ;;;;;601 ;;60 ;5,009 ;
Händene ...... ;12 ;;;;4,500 ;44 ;1.668 ;288 ;2,500 ;;;;;;;;;;;;;;;;556 ;;;;;1.751 ;;21 ;4.345 ;
Härlunda ;17.81 ;154 ;164 ;;5.691 ;30 ;900 ;700 ;4.061 ;;;;;;;;;130 ;280 ;;180 ;;;;;;125 ;;;830 ;;80 ;4,000 ;
Härjevad ******** ;8,38 ;36 ;;;1.824 ;16 ;1.772 ;36 ;;;;;;;;;;;663 ;;;;;;400 ;;;;;1.100 ;;189 ;4,560 ;
Jung ;16,69 ;80 ;;;3.101 ;24 ;3.067 ;;;;;;;;;;;;;;;;;500 ;770 ;;368 ;;;2.000 ;25 ;300 ;9,250 ;
Marum ;10.28 ;;;;2,526 ;;1.005 ;141 ;1.873 ;;;;;;;;;;420 ;;;;;20 ;323 ;;;;;700 ;;;2,140 ;
Qvänum ;20 ;;;;5.628 ;50 ;5.178 ;150 ;250 ;;;;;;;;;;2,153 ;115 ;;;;700 ;1,250 ;;700 ;300 ;;1,700 ;20 ;342 ;16,101 ;
Saleby ;36.13 ;189 ;;;8.872 ;40 ;8.782 ;;;;;;;;;;;1,150 ;2.830 ;225 ;100 ;;10 ;610 ;2,670 ;;1,150 ;1,200 ;;4,000 ;;650 ;16,000 ;
Skara landsförsamling ;11,75 ;;;;2.342 ;18 ;1,088 ;400 ;835 ;;;;;;;;;130 ;312 ;10 ;;;;92 ;275 ;31 ;187 ;90 ;;GGO ;;170 ;2,710 ;
Skallmeja och 1¹/² mtl af Gerum ;17,25 ;74 ;;;3,363 ;95 ;2,938 ;200 ;18 ;;;;;;;;;;850 ;200 ;;;;240 ;460 ;;360 ;620 ;;840 ;20 ;500 ;5,500 ;
Synnerby* ;;;;;5,600 ;;;;1,400 ;;;;;;;;;;1,600 ;;;;;;884 ;;$17 ;;;1,840 ;;120 ;11.000 ;
Trivad," del ;9,75 ;;;;1,920 ;;;;180 ;;;;;;;;;;512 ;;75 ;;10 ;;418 ;;;;;900 ;;50 ;4.010 ;
Trässberg ;18,38 ;;;;4.600 ;36 ;3.693 ;50 ;;;;;;;;;;250 ;1,300 ;90 ;;;;325 ;GOO ;;240 ;230 ;;;;500 ;6,000 ;
Vinköl ;22,56 ;106 ;;;7,378 ;20 ;4.140 ;235 ;2.983 ;;;;;;;;;350 ;2,600 ;50 ;200 ;;20 ;240 ;5GO ;;350 ;259 ;50 ;1,830 ;63 ;210 ;1,600 ;
Vânga* ;54,75 ;129 ;;102 ;15,000 ;30 ;9,000 ;570 ;5,400 ;;;;;;;;;1,000 ;3,000 ;50 ;250 ;;;1,000 ;2,650 ;;1,000 ;500 ;;4,500 ;;1,000 ;15,000 6,505 ;
Äsaka* Öttum ;14,38 ;69 ;;;4.027 ;16 ;2,865 3.005 ;1,500 10 ;;15 ;;;;;;;;286 ;1.305 ;al4 ;195 ;40 ;;276 ;582 ;;43,5 ;350 ;;G10 ;to ;2° ;10,076 ;
Summn Skânings härad ;367,62 ;1,435 ;1,054 ;;99,678 ;568 ;64,310 ;4,877 ;28,779 ;174 ;079 ;343 ;;253 ;369 ;180 ;;7,380 ;23,452 ;1,495 ;1,670 ;301 ;118 ;7,549 ;13,913 ;34 ;7,753 ;5,406 ;85 ;28,600 ;204 ;4,560 ;141,302 ;
Bitterna, Vester-* ;.3,50 ;;;;2,807 ;6 ;1,198 ;105 ;;;;;;;;;;;670 ;4 ;;5 ;3 ;23 ;21 ;18 ;42 100 ;is ;;760 ;* ;50 ;4,306 6.000 ;
Bitterna, Öster- ;16,81 ;or ;;;2,550 ;9 ;1,070 ;430 ;50 ;;;;;;;;;;700 ;;;;;;66 ;- ;;;;600 ;10 ;;;
Larf*... ;;215 ;;100 ;12,000 ;;;300 300 ;1,100 ;55 ;;;;;;;;;;20 ;200 ;to ;10 ;200 ;400 350 ;- ;220 3C9 ;36. ;6c ;1,300 350 ;160 ;160 ;18,900 25.600 ;
Längjum med Vessby ;21,58 ;102 ;;;3,850 ;25 ;3.700 ;Th ;50 ;;;;;;;;;125 ;;20 ;160 ;;6 ;175 ;;- ;;250 ;;GOO ;12 ;100 ;;
Lundby ;15,50 ;61 ;;50 ;3,200 ;6 ;3,000 ;90 ;15 ;;;;;;;;;;1.350 621 ;;;10 ;2 ;100 ;320 ;;195 ;GO ;10 ;;40 ;300 ;10,000 ;
Travad. del ;8.81 ;58 ;;10 ;1,920 ;15 ;1,870 ;17 ;18 ;;;;;;;;;170 ;;8 is ;20 ;5 ;;301 ;510 ;;203 ;60 ;;450 ;10 ;30 ;5,000 ;
Vedum ;19.88 ;131 ;;52 ;3.000 ;10 ;2,450 ;20 ;520 ;;104 ;;;;108 ;18 ;;90 ;1.900 ;;120 ;;10 ;30 ;120 ;- ;200 ;;- ;700 ;- ;;15,000 ;
Summa Laske härad ;135,88 ;681 ;;303 ;29,327 ;77 ;17,288 ;1,037 ;1,778 ;81 ;530 ;150 ;3 ;18 ;138 ;20 ;I ;1,039 ;10,339 ;73 ;707 ;38 ;43 ;869 ;1,517 ;IS ;1,190 ;753 ;83 ;4,960 ;210 ;710 ;81.700 ;
;;80 ;;;4.200 ;15 ;1,450 ;950 ;50 ;;45 ;14 ;;;20 ;;;150 ;650 ;25 ;80 ;6 ;? ;102 ;985 ;-- ;150 ;- ;;G50 ;- ;570 ;5,500 ;
Floby Gökhem ;27,94 34.63 ;115 ;;32 ;5,800 ;14 ;4,017 ;188 ;;;;;13 ;;;;;260 ;3.970 ;21 ;100 ;17 ;4 ;8 ;110 ;1 ;255 ;GO ;10 ;1,500 ;17 ;4.490 ;15,451 ;
Gõteve ;16,13 ;82 ;;27 ;4,372 ;15 ;610 ;1,005 ;27 ;65 ;;;;;;;;;30 ;5 ;20 ;20 ;;- - ;15 ;;;the ;;815 ;- - ;275 ;3,750 ;
Jilla* ;22,63 ;;;;;;446 ;;;;;;;;;;;;230 ;;85 ;;10 ;;;- ;60 ;;- ;BE ;;230 ;2,173 ;
Klefva ............. ;26.25 ;89 ;;Is ;;10 ;1.280 ;2.400 ;1.500 ;;;;;;;;;;G18 ;27 ;150 ;2 ;;40 ;100 10 ;--- ;200 ;30 25 ;20 ;945 ;;630 ;5,010 ;
Marka ;19.13 ;41 ;;34 ;3.100 ;F ;1,000 ;1.500 ;150 ;;;;;;;;;;535 ;15 ;61 ;15 ;15 ;- ;;- - ;9G ;;- ;630 ;;210 ;5,000 ;
Sörby ;15,88 ;40 ;;9 ;2,000 ;31 ;750 ;218 ;750 ;;;;;;;;;;310 ;4 ;33 ;;o ;10 ;60 ;;60 ;9 ;9 ;736 ;10 ;80 ;2.000 ;
........ Trevattna ;18.44 ;47 ;;27 ;4,700 ;14 ;685 ;2,000 ;500 ;5 ;;;;19 ;;;;;;;;;- ;- ;;- ;;8 ;;400 ;;8o ;3.050 ;
Ulleue* ;12,13 ;55 ;;27 ;1,000 ;2 ;360 ;400 ;- ;;;;;;;;;;;;;;;;;;;;;;;;;
Summa Vilske bärad ;193.16 ;639 ;;210 ;33,575 ;106 ;10,508 ;8.661 ;2,977 ;136 ;341 ;72 ;10 ;44 ;114 ;30 ;- ;972 ;5.703 ;103 ;537 ;63 ;33 ;160 ;390 ;1 ;621 ;132 ;30 ;10,130 ;27 ;7,463 ;49,214 ;
;;;;;;;;;;;;;;;;;;188 ;460 ;- ;226 ;- ;5 ;;280 ;- ;250 ;- ;- ;020 ;- ;;3.780 ;
Bierka* ;19,63 ;42 ;;;;is ;;388 ;2,200 ;;- ;;i ;6 ;;;1 ;350 ;200 ;30 ;300 ;;;300 ;400 ;- ;320 ;;;1.575 ;;189 ;4,410 ;
Bjurum eller Ilânger och M&rby Borgunda ;15,13 33 ;77 ;;42 ;3,100 ;16 ;2,102 ;320 ;GOO 660 ;20 ;60 ;17 ;;42 ;60 ;17 ;;320 ;620 ;23 ;128 ;- ;1 ;100 ;600 ;- ;320 ;-- ;- ;1.000 ;-- ;403 ;4,428 ;





