Table: Table_1

Summa, Kinne hard ;198,30 ;700 ;740 ;46,679 ;265 ;20,462 ;2,440 ;23,545 ;137 ;337 ;169 ;21 ;138 ;275 ;72 ;2 ;3,113 ;5,549 ;457 ;1,260 ;337 ;112 ;2,922 ;;6,220 ;S7 ;2,996 ;2,000 ;88 ;10,485 ;100 ;2,339 ;37,172 ;3,335 ;1,181 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Edsvära ;29.50 ;101 ;121 ;12,058 ;;5,360 ;195 ;6,478 ;;;;;;;;;600 ;1,620 ;40 ;200 ;;;2,000 ;;10 ;;870 ;315 ;- ;2,142 ;X 63 ;378 ;12,000 ;X 252 ;100 ;
Fyrunga ;13 ;62 ;26 ;2,751 ;;2,402 ;;154 ;;;;;;;;;;1,025 ;156 ;39 ;;;234 ;;468 ;;235 ;328 ;;1,111 ;;200 ;5,180 ;256 ;260 ;
Gerum ;13,88 ;19 ;;2,679 ;;1,588 ;215 ;810 ;;;;;;;;;;586 ;13 ;2G ;33 ;;;;;;215 ;138 ;;793 ;- ;;5,100 ;;30 ;
Hendened ;12 ;;;4,500 ;44 ;1,688 ;288 ;2,500 ;;;;;;;;;278 ;462 ;;42 ;40 ;;;;556 ;;278 ;50 ;- ;1,751 ;- ;;4,845 ;;21 ;
Härlunda Harjevad ;17.56 8,38 ;152 32 ;153 ;5,146 1,683 ;20 ;1,014 1,638 ;684 ;3,414 ;;;;;;;;;200 ;300 ;11 ;115 ;;;;;81 ;;200 ;;;795 ;- ;;2,583 ;X 73 ;18 92 ;
;;;;;;;38 ;;;;;;;;;;200 ;G1G ;45 ;10 ;;;196 ;;388 ;;175 ;189 ;;546 ;;397 ;3,600 ;;;
Jung ;16,69 ;86 ;24 ;3,101 ;;3,061 ;;;;;;;;;;;380 ;1,030 ;110 ;;;;;;784 ;;370 ;420 ;- ;1,958 ;63 ;210 ;10,050 ;X 790 ;375 ;
Morum ;10,28 20,50 ;10 69 ;;2.526 ;;1,005 ;141 ;1,373 ;;;;;;;;;;427 ;10 ;;;;;;;;;;;;;60 ;2,420 ;;35 ;
Qvänum ;;;;5,628 ;150 ;5,078 ;150 ;250 ;;;;;;;;;450 ;2,153 ;115 ;;;;700 ;;1,950 ;;700 ;300 ;;1,700 ;20 ;342 ;16,104 ;X 500 ;250 ;
Saleby Skara landsförsamling ;36.38 11,75 ;155 30 ;31 ;8.879 ;37 ;8,614 ;166 ;55 ;;;;;;;;;1,076 ;2,885 ;230 ;100 ;;;1,076 ;;2.153 ;;1,076 ;1,330 ;;4,052 ;;815 ;16,510 ;1,500 ;970 ;
Skallmeja och 11 mantal af Gerum ;17,25 ;63 ;;2,250 3,363 ;20 ;1,080 2.838 ;150 200 ;1,000 ;;;;;;;;;180 295 ;330 1,150 ;10 ;10 ;;;525 ;;360 450 ;;180 300 ;189 ;;1,058 1,203 ;- ;63 315 ;2,016 7,969 ;X 252 ;63 252 ;
Synnerby ;19  ;;121 ;;42 ;3,968 ;92 ;1,400 ;;;;;;;;;442 ;1,537 ;24 ;48 ;;;;;884 ;;442 ;370 ;;1,840 ;- ;124 ;10,635 ;;90 ;
TrAfva ;9,75 ;36 ;;1,920 ;13 ;1,694 ;17 ;148 ;;;;;;;;;;450 ;;;;;411 ;;551 ;X 16 ;121 ;104 ;;441 ;- ;;4,060 ;X 198 ;54 ;
Tressberg ;18,38 ;56 ;21 ;4.500 ;35 ;2,600 ;25 ;;;;;;;;;;240 ;1,200 ;40 ;;;;200 ;;;;240 ;205 ;;868 ;;400 ;6,000 ;;220 ;
Winköl ;22.56 ;102 ;36 ;7,379 ;18 ;4,160 ;200 ;2,994 ;;;;;;;;;450 ;1,470 ;40 ;200 ;40 ;;;;1,375 ;;;;40 ;2,000 ;40 ;250 ;12,000 ;X 125 ;125 ;
Wanga ;54,75 ;125 ;101 ;15,000 ;30 ;8,500 ;570 ;5,900 ;;;;;;;;;150 ;3,000 ;GO ;250 ;45 ;;1,050 ;;2,590 ;;1,050 ;;10 ;3,800 ;;300 ;20,300 ;3,700 ;260 ;
Asaka ;24,88 ;78 ;;5,615 ;18 ;2,845 ;1,510 ;1,242 ;;;;;;;;;492 ;909 ;36 ;120 ;;;100 ;;595 ;;492 ;175 ;20 ;2,100 ;48 ;176 ;12,000 ;108 ;144 ;
Ottum ;14,38 ;70 ;;4,027 ;16 ;3.000 ;;;16 ;42 ;;;;6 ;2 ;;200 ;1,300 ;375 ;140 ;48 ;;275 ;;480 ;;;;;635 ;;78 ;10,005 ;1,500 ;125 ;
Summa, Skânings härad ;370,37 ;1,388 ;1,042 ;92,998 ;558 ;62,133 ;4,668 ;27,778 ;171 ;671 ;353 ;32 ;225 ;453 ;223 ;21 ;6,279 ;22.540 ;1,401 ;1,472 ;272 ;114 ;8.012 ;;14,230 ;16 ;7,719 ;5,248 ;70 ;29,492 ;261 ;4,299 ;162,967 ;9,254 ;3,481 ;
Bitterna, Vester- ;3,50 ;17 ;36 ;2,807 ;6 ;1,198 ;105 ;25 ;;;;;;;3 ;- ;54 ;670 ;4 ;109 ;5 ;7 ;13 ;;21 ;18 ;42 ;10 ;4 ;360 ;;70 ;4,30G ;X 76 ;;
Bitterna, Oster- ;16,81 ;93 ;50 ;2,550 ;;1,030 ;GOO ;;;;;;;;;;;700 ;;31 ;;;;;80 ;;;13 ;;416 ;;95 ;4,738 ;247 ;10 ;
Larf ;;196 ;95 ;7,050 ;6 ;4,000 ;200 ;1,100 ;55 ;150 ;;;10 ;20 ;- ;- ;300 ;2,500 ;20 ;200 ;10 ;X 10 ;200 ;;400 ;- ;360 ;250 ;60 ;1,300 ;160 ;160 ;19,000 ;320 ;130 ;
Lengjum med Wessby ;24,38 ;07 ;20 ;3,850 ;25 ;300 ;;150 ;;;;;;5 ;;- ;192 ;1,200 ;;160 ;10 ;4 ;300 ;;GOO ;;1,000 ;2.10 ;30 ;1.228 ;60 ;1,200 ;6,000 ;1,800 ;360 ;
Lundby ;15,50 ;60 ;44 ;3,200 ;5 ;2,010 ;170 ;20 ;;;;;;;X ;- ;110 ;1,400 ;10 ;115 ;2 ;;70 ;;210 ;;100 ;252 ;63 ;1,260 ;157 ;157 ;18,900 ;315 ;126 ;
Trafva ;8,81 ;45 ;;1,920 ;13 ;1,839 ;17 ;50 ;2 ;;X ;;;;;;;620 ;8 ;;2 ;SE ;410 ;;550 ;20 ;152 ;30 ;;410 ;10 ;40 ;6,400 ;185 ;50 ;
Wednm ;19,88 ;120 ;62 ;8,000 ;10 ;2,395 ;40 ;625 ;;100 ;;;;;;X - ;90 ;2,000 ;;100 ;- ;10 ;25 ;;50 ;;50 ;;;90 ;;;1,000 ;;- ;
Summa, Laske härnd ;135.88 ;628 ;316 ;24,377 ;72 ;12,702 ;1,207 ;1,976 ;77 ;478 ;173 ;3 ;10 ;42 ;X 3 ;- ;893 ;9,090 ;55 ;735 ;30 ;41 ;1,034 ;;1,911 ;39 ;1,788 ;795 ;159 ;5,064 ;398 ;1,722 ;60,314 ;2,943 ;684 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Floby ;27.04 ;75 ;40 ;4,900 ;10 ;850 ;1,120 ;50 ;;55 ;;;;18 ;;- ;90 ;500 ;10 ;80 ;5 ;3 ;22 ;;60 ;- ;80 ;- ;- ;550 ;30 ;720 ;4,000 ;30 ;36 ;
Gökhem ;34,63 ;110 ;29 ;5,250 ;10 ;4,659 ;30 ;;9 ;;X ;X 20 ;3 ;;5 ;;170 ;3,300 ;30 ;200 ;6 ;2 ;10 ;;50 ;5 ;200 ;12 ;19 ;945 ;38 ;2,268 ;15,120 ;915 ;126 ;
Goteved ;16,13 ;70 ;14 ;4,372 ;5 ;.660 ;1,010 ;20 ;;;;;;;;;5 ;10 ;;10 ;- ;;;;- ;;;;X ;560 ;;334 ;3,360 ;100 ;;
Jäla ;29,03 ;84 ;;;;446 ;;;;;;;55 ;;;- ;55 ;225 ;11 ;90 ;;;;;;- - ;GO ;- ;- ;346 ;- ;298 ;2,173 ;138 ;30 ;
Klefva ;26,25 ;89 ;47 ;5,580 ;10 ;1,270 ;2,400 ;1,500. ;;;;;;;4 ;1 ;,220 ;638 ;26 ;84 ;1 ;;30 ;;X 90 ;- ;200 ;30 ;20 ;1,300 ;- ;900 ;7,200 ;600 ;100 ;
Marka ;19,13 ;41 ;34 ;**~ ;- - ;- ;;- ;;;;;;;;- ;- ;- ;- ;;- ;- ;- ;;- ;- ;;- ;;378 ;- ;504 ;2,052 ;126 ;8 ;
Sörby ;15,88 ;44 ;13 ;;- ;;;;;;;;;;;- ;;;- ;;;;;;;- ;;- ;- ;25 ;- ;19 ;151 ;;;
Trevaifna ;18,44 ;47 ;26 ;4,700 ;12 ;G40 ;2,000 ;400 ;5 ;;2 ;;19 ;12 ;;- ;105 ;350 ;2 ;33 ;2 ;2 ;10 ;;70 ;- ;GO ;6 ;2 ;580 ;5 ;80 ;3,430 ;135 ;10 ;
Ullened ;12.13 ;55 ;27 ;1,000 ;2 ;370 ;400 ;;;;;;;;- ;;- ;- ;- ;;;;;;;;;8 ;;360 ;- ;100 ;2,000 ;50 ;16 ;
Summa, Wilske härad ;193.16 ;615 ;275 ;25.102 ;49 ;8,786 ;6,960 ;1,970 ;62 ;298 ;54 ;21 ;X 98 ;132 ;9 ;1 ;645 ;5,023 ;82 ;497 ;14 ;13 ;72 ;;270 ;5 ;605 ;56 ;41 ;5,044 ;68 ;5,223 ;39,486 ;2,121 ;327 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bierka ;19.63 ;53 ;47 ;5,528 ;16 ;soo ;1,706 ;8,006 ;- ;- ;2 ;2 ;- ;47 ;- ;- ;220 ;310 ;- ;70 ;12 ;5 ;;;;- ;80 ;- ;- ;1,072 ;- ;60 ;2,160 ;- ;24 ;
Bjurum eller Hänger och Marby ;15,13 ;86 ;40 ;6.500 ;19 ;2.000 ;1,200 ;600 ;;;;;;;- ;- ;340 ;450 ;50 ;300 ;10 ;;300 ;;300 ;;250 ;;;1.575 ;- ;;2,835 ;;126 ;
Borgunda ;33 ;77 ;42 ;3,100 ;8 ;2,112 ;320 ;660 ;20 ;60 ;17 ;;42 ;60 ;17 ;;320 ;620 ;23 ;128 ;- ;1 ;600 ;;100 ;- ;320 ;- ;- ;1,600 ;- ;403 ;4,428 ;512 ;92 ;





