Table: Table_1

As ;;200 ;;600 ;;;300 ;;1,800 ;- ;500 ;18,000 ;700 ;300 ;10 ;350 ;- ;1,590 ;- ;- ;- ;- ;7,000 ;;;;;;;;300 ;;;;
Sumina, Ase härad ;62 ;1,487 ;37 ;11,947 ;201 ;- ;14,432 ;442 ;53,978 ;- ;9.991 ;202,029 ;10,017 ;11,111 ;275 ;5,948 ;- ;57,142 ;50.463 ;291 ;42 ;3,300 ;25.920 ;- ;956 ;139 ;225 ;69 ;2,119 ;728 ;2,769 ;- ;744 ;- ;
Bjärby ;X 39 ;129 ;;517 ;27 ;;6,397 ;;3,667 ;- ;612 ;15,716 ;715 ;891 ;19 ;660 ;- ;1,551 ;- ;40 ;;- ;;- ;G6 ;;;;;;232 ;- ;;;
Bäreberg ;;;;1,000 ;;- ;300 ;;2.800 ;- ;60 ;24,000 ;;140 ;;;- ;4,000 ;- ;;15 ;- ;2,000 ;- ;100 ;;;;350 ;;360 ;;;;
Flakeberg ;12 ;130 ;;905 ;57 ;;2,065 ;;7,350 ;- ;1,800 ;51,600 ;2,360 ;556 ;24 ;390 ;- ;2,715 ;- ;171 ;19,15 ;- ;12,000 ;- ;112 ;15 ;;;150 ;120 ;300 ;;;;
Främmestad ;;;;;;- ;;- ;;- ;;;;;;;;;;;;;;- ;;;;;;;;;;;
Hyringa ;20 ;450 ;;940 ;96 ;-- ;2,496 ;- ;7,584 ;- ;2,460 ;50,000 ;950 ;1,200 ;60 ;2.250 ;- ;5.640 ;1,225 ;384 ;38.40 ;X 500 ;11.000 ;;100 ;;;;;100 ;300 ;;;;
Levene, del ;;150 ;;900 ;;- ;600 ;- ;3.600 ;- ;400 ;15,000 ;600 ;375 ;;600 ;- ;2,700 ;600 ;;50 ;;5,000 ;- ;;;;;160 ;60 ;170 ;;;;
Lengjum ;;200 ;;800 ;18 ;;1,800 ;;4,000 ;;800 ;20,000 ;1,000 ;2,000 ;- ;1,000 ;- ;6,400 ;- ;144 ;11 ;- ;19,000 ;- ;;;;;;60 ;200 ;;;;
Malma ;;;;1.420 ;66 ;- ;560 ;- ;7,000 ;- ;690 ;32,000 ;375 ;480 ;;;- ;7.100 ;;;;;;- ;;;;;;;312 ;;;;
Sparlösa ;- ;775 ;;2,500 ;50 ;.... ;4,000 ;;10,500 ;- ;2,700 ;44,672 ;2,040 ;1,700 ;- ;4,650 ;- ;20,000 ;18,000 ;100 ;18 ;X 500 ;4.500 ;;225 ;40 ;;;368 ;160 ;GOO ;;;;
Tengened ;;1,500 ;- ;1,500 ;45 ;;2.400 ;- ;7.875 ;- ;900 ;22,500 ;7.500 ;1.500 ;;7.500 ;- ;10.500 ;;135 ;90 ;;45,000 ;- ;120 ;;;;300 ;;480 ;;;;
Trökörna ;;120 ;;2.950 ;;- ;2.580 ;;4,700 ;- - ;700 ;23,400 ;920 ;805 ;- ;700 ;- ;20,500 ;- ;;- ;- ;;- ;125 ;30 ;;;;70 ;350 ;;;;
Summa, Wiste härad ;71 ;3,451 ;- ;13,432 ;363 ;- ;23,198 ;- ;59,076 ;- ;11,122 ;298.888 ;16,460 ;9,647 ;103 ;17,750 ;- ;81,106 ;19,825 ;982 ;241.55 ;1.000 ;98,500 ;- ;1,111 ;185 ;214 ;66 ;2,467 ;952 ;3,304 ;;868 ;;
Gösslunda ;;700 ;;2,400 ;;;1,500 ;;5,000 ;;4.000 ;45,000 ;200 ;6,000 ;- ;6,500 ;- ;4,000 ;;- ;- ;- ;;- ;180 ;;;;;;300 ;;;;
Hierpas med Hora och Wedum ;;933 ;;1.909 ;43 ;;4,446 ;;14,482 ;360 ;1.331 ;43,785 ;2,200 ;4,779 ;- ;5,976 ;- ;11,639 ;19,610 ;120 ;70 ;- ;22,300 ;-- ;;;;;;;;;;;
Häggesled ;;150 ;;;;;150 ;- ;2.800 ;- ;265 ;16,250 ;680 ;765 ;- ;600 ;- ;610 ;;;;;-- ;;;;;;;;;;;;
Kedum ;;131 ;;;;;830 ;;2.220 ;- ;1,008 ;6,650 ;;1,000 ;;655 ;- ;1,260 ;- ;;;- ;- ;;;;;;;;;;;;
Lava ;;;;;;;900 ;;3.556 ;;1.266 ;29,106 ;510 ;1,256 ;- ;408 ;;5,840 ;;;;;;;;;;;;;;;;;
Levene, del ;;170 ;;;;;;;4,800 ;;400 ;2,400 ;800 ;600 ;;680 ;;8,600 ;;12 ;;;8,000 ;;;;;;;;;;;;
Mellby ;;X 330 ;;1,000 ;;;2,880 ;;9.100 ;;3,000 ;31.800 ;2,750 ;2,800 ;- ;2.640 ;- ;8,000 ;;;;;- ;;;;;;;;;;;;
Otterstad med Senäte ;;350 ;;3,600 ;;;8.000 ;;11,200 ;- ;5,100 ;44,200 ;;4.300 ;- ;2,800 ;- ;28,800 ;;;;;;- ;;;;;;;;;;;
Rackeby ;;500 ;;1,005 ;;;5.636 ;;5,112 ;;4.325 ;22,860 ;1,010 ;2,205 ;- ;2,000 ;- ;6,030 ;- ;;8,40 ;X 46 ;300 ;;;;;;;;;;;;
Rada ;X ;;;1,818 ;;;4.680 ;;7.721 ;456 ;3.456 ;37,812 ;1.200 ;1.680 ;9 ;776 ;- ;14,500 ;- ;;;;- ;- ;;;;;;;;;;;
Skalunda ;;340 ;;210 ;;;2.400 ;;2.666 ;- ;3,024 ;13.230 ;750 ;2.600 ;- ;2,720 2.100 ;;1,680 ;- ;;;;;;;;;;;;;;;;
Slädene ;;300 ;;;;;5.000 ;;15,000 ;;1,200 ;30,000 ;1.000 ;4,200 ;- ;;;21,600 ;;14 ;;;20.000 ;38 ;;;;;;;;;;;
Strö ;;1,100 ;;;;;3,200 ;;3.850 ;___ ;2.800 ;9,600 ;1,500 ;2,400 ;;6,600 ;- ;6,500 ;18,000 ;;12 ;X 90 ;1.500 ;;;;;;;;;;;;
Sunnersberg ;;130 ;;;;;1,400 ;;3.400 ;;2.200 ;7,720 ;900 ;2,000 ;40 ;910 ;- ;3,500 ;;70 ;;100 ;18,000 ;;;;;;;;;;;;
Söne ;X 50 ;700 ;;;;;3,520 ;- ;5,600 ;- ;7,560 ;18.080 ;;4,400 ;400 ;420 ;- ;6.800 ;300 ;;15 ;;4,800 ;;;;;;;;;;;;
Tranum ;;261 ;;;;;1.400 ;;6.034 ;;2.046 ;33,564 ;1,864 ;2,960 ;12 ;2.080 ;- ;4,672 ;;;;;;;;;;;;;X ;;;;
T&dened ;14 ;;;;;;888 ;;2,597 ;;1,892 ;16,554 ;250 ;960 ;42 ;448 ;- ;4.336 ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ufvered ;;;;;;;1.680 ;;5,600 ;;390 ;60,000 ;1,200 ;1.400 ;;1.600 ;- ;6,000 ;;;;;2,000 ;;;;;;;;;;;;
Wäla med Gillstad ;;;;;;;;;5.040 ;;1.810 ;24.200 ;;570 ;;1.800 ;;3.600 ;;;;;1.809 ;;;;;;;;;;;;
Asaka ;;;;;;;2,500 ;;6.000 ;;640 ;13,400 ;;400 ;;300 ;;5,200 ;;;;;10,000 ;;;;;;;;;;;;
Orslösa ;;400 ;;300 ;;;1.800 ;;5,000 ;;2.500 ;20,000 ;2.500 ;2,240 ;;2,000 ;- ;1,800 ;;;;;;;;;;;;;;;;;
Summa, Kâllands härad ;77 ;7,359 ;;26,998 ;238 ;- ;54,530 ;;126,778 ;816 ;49,713 ;526,211 ;19,314 ;49,515 ;503 ;44.013 ;- ;154,967 ;37,910 ;223 ;151,40 ;236 ;88,709 ;38 ;2,499 ;387 ;754 ;96 ;5,268 ;2,266 ;5,769 ;;1,672 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eling ;- ;;;1.480 ;50 ;;;;3.288 ;100 ;378 ;21,735 ;3,935 ;80 ;- ;;- ;8.757 ;;11 ;- ;- ;- ;- ;;;;;;;240 ;;;;
Essunga ;- ;90 ;;6.000 ;;;;;7.945 ;100 ;420 ;60,000 ;1,250 ;360 ;- ;630 ;- ;50,000 ;2,600 ;150 ;;- ;- ;- ;190 ;;;;;;;;;;
Foglum ;- ;;;2,640 ;;;;;4.224 ;;1.260 ;31,680 ;540 ;;- ;;;12.200 ;;280 ;X 140 ;;;;;;;;;;;;;;
Hellum ;;800 ;;600 ;;;1.050 ;55 ;5.775 ;;2,310 ;21,000 ;2,700 ;1,000 ;;1.600 ;;3,000 ;300 ;;16 ;X 1,800 ;3,500 ;- ;;;;;;;;;;;
Kiedum ;;128 ;;2.400 ;;;420 ;;3.600 ;60 ;480 ;32,400 ;800 ;264 ;;384 ;;7,200 ;;190 ;;;;;;;;;;;;;;;
Lekâsa ;;;;1,850 ;42 ;;150 ;;4.340 ;50 ;1,200 ;21.150 ;2,000 ;210 ;;30 ;;11,100 ;5,400 ;;15,40 ;;9,450 ;;;;;;;;;;;;
Levene, del ;;20 ;;150 ;;;180 ;;1.800 ;;200 ;10,000 ;200 ;;;80 ;;600 ;;- ;;;2.000 ;;;;;;;;;;;;
Long ;;150 ;;2.000 ;;;1,590 ;;6.300 ;;2,000 ;38.000 ;400 ;;;750 ;;10,000 ;- ;;- - ;600 ;11,500 ;- ;;;;;;;;;;;
Naum ;3 ;10 ;;3.005 ;145 ;;200 ;;8,370 ;;425 ;21,650 ;1.055 ;460 ;;52 ;;15,000 ;- ;401 ;- ;;;;;;;;;;;;;;
Rvda med Halfâs eller Kyrk&s ;5 ;800 ;;2000 580 ;;;1,350 ;110 ;9.000 2.340 ;140 ;900 ;30,750 6.440 ;1.000 80 ;1,600 ;25 ;2,750 ;;14.000 3,480 ;- ;200 ;- ;- ;;;;;;;;;;;;;
Sandbäck ;;;;;10 ;;;8 ;;72 ;;;675 ;3,350 ;;;;;- ;;- ;- ;2.910 ;;;;;;;;;;;;
Skarstad ;;1.050 ;;;;;1.125 ;;5.025 ;;1,200 ;30,550 ;;;;7,000 ;;1,050 ;- ;;;- ;4.500 ;;;;;;;;310 ;;;;
Wara ;;300 ;;800 ;;;1.400 ;;8.000 ;;750 ;28,000 ;3,000 ;800 ;;1.800 ;- ;4,000 ;;;;- ;;;;;;;;;;;;;
Asaka ;;;;2.000 ;;;;;3.000 ;;380 ;13,000 ;1.500 ;300 ;;75 ;;8,000 ;- ;400 ;50 ;;;;;;;;;;;;;;
Onum ;3 ;550 ;;2,400 ;10 ;;350 ;35 ;4.000 ;50 ;1,000 ;32,000 ;2,020 ;250 ;8 ;2.000 ;;9.000 ;;22 ;;- ;4.000 ;;;;;;;;;;;;
Summa, Barne härad ;11 ;3.434 ;;29,730 ;683 ;- ;8,993 ;337 ;7,7007 ;657 ;12.967 ;399,355 ;21,155 ;9.814 ;33 ;17.151 ;- ;157,387 ;8,300 ;1,854 ;221.40 ;2.400 ;37,860 ;- ;1,783 ;279 ;307 ;75 ;4,065 ;1.734 ;3,787 ;;1,073 ;;
Broby ;;;;222 ;;;530 ;;3,132 ;- ;108 ;13,400 ;;104 ;;24 ;- ;1.932 ;;10 ;- ;- ;;- ;30 ;3 ;18 ;Ans ;;20 ;80 ;;;;
Hangelösa ;- ;945 ;;3,150 ;100 ;;942 ;;10,395 ;;1,260 ;25,200 ;1,260 ;945 ;- ;3,780 ;- ;15,750 ;3,150 ;400 ;- ;- ;;;150 ;;50 ;;440 ;146 ;410 ;;250 ;;
Ilasslösa ;;;;;;;;- ;;- ;;;;;;;- ;;;- ;- ;- ;;;;;;;;;;;;;
Husaby ;10 ;200 ;;8.000 ;;;1.400 ;;5,000 ;;2,000 ;8,000 ;1,500 ;900 ;50 ;800 ;;36,000 ;10.000 ;;;- ;;;140 ;;140 ;;350 ;150 ;GOO ;;120 ;;
Hofby ;;66 ;;1,250 ;40 ;;2,170 ;132 ;4,410 ;132 ;1,550 ;51,000 ;930 ;750 ;;330) ;- ;7,500 ;7,000 ;- ;20 ;;16,000 ;;100 ;10 ;6 ;;300 ;50 ;200 ;;40 ;;





