Table: Table_1

Summa för Frökinds härad ;106.57 ;300 ;152 ;3 30,549 ;;43 ;4,686 ;5,324 ;2,561 ;23 ;272 ;5 ;- ;63 ;162 ;7 ;- ;464 ;2,048 ;38 ;636 ;46 ;23 ;57 ;308 ;2 ;458 ;35 ;20 ;2,714 ;60 ;1,142 ;23,192 ;180 ;100 ;
Amnehiirad ;32:19 ;333 ;160 ;21,060 ;;15 ;2,760 ;3,600 ;14,000 ;46 ;;;;;;;;540 ;780 ;;120 ;2 ;;38 ;808 ;- ;444 ;70 ;- ;2,000 ;- ;40 ;6,100 ;- ;50 ;
Beateberg ;17:50 ;52 ;58 ;9,026 ;;16 ;2,285 ;832 ;3,200 ;;;;;;;;;;600 ;;100 ;;;200 ;600 ;;853 ;200 ;;1,600 ;- ;80 ;5,870 ;;90 ;
Berg ;34:44 ;104 ;;6,943 ;;52 ;1,839 ;1,867 ;3,185 ;;;;;;;;;;560 ;;130 ;;;100 ;380 ;;278 ;210 ;;2,000 ;- ;650 ;3,850 ;100 ;200 ;
Bellefors ;20:25 ;54 ;54 ;10,182 ;5,875 ;16 ;1,440 ;;4,410 ;12 ;;;;;;;;;400 ;;;10 ;3 ;150 ;375 ;;200 ;285 ;15 ;700 ;- ;- ;2,400 ;;125 ;
Binneberg ;5:50 ;23 ;;1,157 ;;;325 ;300 ;532 ;;;;;;;;;;;;;;;20 ;50 ;;50 ;;;250 ;;;800 ;;200 ;
Björkäng ;18:00 ;145 ;67 ;) ;4,968 ;18 ;2,850 ;100 ;2,000 ;;;;;;;;;;;;;;;400 ;800 ;10 ;450 ;720 ;;1,680 ;;40 ;5,220 ;;500 ;
Björsäter ;28:38 ;100 ;105 ;4,699 ;5,530 ;28 ;2,650 ;20 ;1,931 ;62 ;;;;;;;;;;;100 ;;;160 ;730 ;;373 ;470 ;20 ;1,366 ;- ;200 ;5,800 ;;100 ;
Back ;12:13 ;26 ;;4,860 ;;10 ;1,400 ;1,100 ;1,300 ;;;;;;;;;;;;;;;200 ;400 ;;200 ;176 ;;926 ;- ;;2,363 ;;;
Böja Karlsborg ;8'75 ;40 12 ;13 ;- ;1,065 ;5 ;765 11 ;35 ;260 1,000 ;;;;;;;;;;;;;;3 ;135 ;125 ;;125 ;60 ;15 ;525 ;- ;30 ;1,790 30 ;;;
Ek ;11:00 ;51 ;46 ;5,786 ;;28 ;2,200 ;15 ;3,225 ;;;;;;;;;;;;;;;;;;;;;1,100 ;- ;120 ;4,300 ;;;
Ekby ;21:38 ;70 ;10 ;4,166 ;;17 ;2,800 ;148 ;1,701 ;;;;;;;;;;;;;;;;;;;;;1,490 ;;18 ;4,705 ;;900 ;
Ekeskog ;15*13 ;54 ;26 ;8,568 ;4,295 ;6 ;2,265 ;30 ;1,900 ;;;;;;;;;;;;;;;;;;;;;1,470 ;;;4,688 ;;100 ;
Elgar&s ;19:81 ;156 ;206 ;19,671 ;;50 ;3,155 ;150 ;6,100 ;;;;;;;;;;;;;;;;1,100 ;;;;;;;;5,400 ;;;
Finnerödja ;24:96 ;209 ;212 ;43,509 ;;10 ;2,228 ;6,271 ;28,000 ;;;;;;;;;;;;;;;;;;;;;2,030 ;;60 ;5,130 ;;200 ;
Flistad ;18:75 ;60 ;13 ;2,546 ;;5 ;1,700 ;500 ;175 ;;;;;;;;;;;;;;;;;;;;;;;40 ;3,000 ;1,000 ;550 ;
Fredsberg ;42:69 ;290 ;;423,374 ;11,725 ;35 ;5,880 ;80 ;5,000 ;;;;;;;;;;;;;;;;1,725 ;;;;;1,900 ;;40 ;11,000 7,000 ;;320 160 ;
Fröave ;13:69 ;54 ;;4,629 ;;15 ;3,101 ;139 ;1,374 3,200 ;;;;;;;;;;;;;;;;2,500 ;110 ;;;;3,700 ;;;14,000 ;;;
Fägre Götlunda ;36:81 27:75 ;184 141 ;;13,423 9,257 ;;110 25 ;7.450 3,276 ;100 100 ;2,275 ;;;;;;;;;;;;;;;;576 ;;;;;2,100 ;;;13,600 ;;500 ;
IIalna ;6'75 ;;;5,554 ;4,000 ;;1,366 ;134 ;2.495 ;;;;;;;;;;;;;;;;;;;;;1,350 ;;;3,320 ;;;
Hasle, Berga och Färed ;66:73 ;133 ;166 ;22,912 ;;45 ;8,705 ;325 ;12,121 ;;;;;;;;;;;;;;;;2,766 ;;1,195 ;1,300 ;;4,550 ;;180 ;14,000 ;200 ;;
Hjälstad ;17:38 ;;;8,471 ;;15 ;2,510 ;300 ;646 ;;;;;;;;;;;;;;;;700 ;;360 ;410 ;;1,040 ;;15 ;4,500 ;;;
Hofva och Fagerlid ;56*13 ;338 ;168 ;30,317 ;;;6,235 ;;;;;;;;;;;1,000 ;1,950 ;;;;;;2,000 ;;1,000 ;300 ;100 ;4,700 ;150 ;200 ;17,900 ;200 ;100 ;
Horn ;18:88 ;72 ;21 ;2,777 ;;40 ;1,675 ;325 ;737 ;;;;;;;;;;420 ;;;;;;550 ;;210 ;150 ;;900 ;;100 ;3,500 ;;200 ;
Leksherg ;17:75 ;36 ;;5,554 ;;50 ;2,130 ;60 ;3,314 ;;;;;;;;;;560 ;;;;;;735 ;;;;;1.107 ;;50 ;4,100 ;;140 ;
Lerdala ;16:44 ;46 ;;;;51 ;1,328 ;400 ;1,710 ;;;;;;;;;;402 ;;;;;;372 ;;;;;820 ;;300 ;2,716 ;;90 ;
Locketorp ;16:50 ;80 ;;8,794 ;8,560 ;50 ;1,803 ;35 ;6,500 ;;;;;;;;;;500 ;;;;;;290 ;;;;;1,370 ;;20 ;3,880 ;;200 ;
Gyrestad ;43:75 ;245 ;159 ;19,671 ;;80 ;4,060 ;720 ;4,740 ;108 ;;;;;;;;;1,400 ;;;;;;1,182 ;;;;;2,800 ;;58 ;11,200 ;;200 ;
Lâstad ;11:44 ;34 ;27 ;2,777 ;;3 ;945 ;840 ;939 ;;;;;;;;;;278 ;;;;;;;;;;;530 ;;30 ;1,600 ;;;
Mo ;11:25 ;16 ;;2,314 ;1,804 ;18 ;1,260 ;;526 ;;;;;;;;;;330 ;;;;;;;;;;;450 ;;;2,310 ;;100 ;
Mölltorp ;21'13 ;123 ;83 ;613,423 ;;60 ;2,851 ;800 ;9,712 ;;;;;;;;;;720 ;;200 ;30 ;6 ;50 ;1,000 ;;;;;2,000 ;;10 ;5,900 ;;80 ;
Odensäker ;23:63 ;75 ;13 ;3,934 ;;44 ;1,990 ;800 ;1,100 ;;;;;;;;;;729 ;;GO ;4 ;;60 ;;;;;;1,750 ;;50 ;6,300 ;;350 ;
Ransberg ;31:56 ;300 ;190 ;22,912 ;;40 ;4,500 ;960 ;17,412 ;100 ;170 ;;;;;;;;1,300 ;200 ;300 ;;100 ;100 ;1,000 ;;800 ;;;2,420 ;242 ;;9,450 ;;325 ;
Svenneby ;8.88 ;8 ;12 ;2,546 ;;10 ;1,083 ;480 ;973 ;;;;;;;;;120 ;240 ;40 ;20 ;20 ;5 ;105 ;408 ;5 ;120 ;380 ;;250 ;;60 ;1,500 ;;100 ;





