Table: Table_1

Utby ;17,27 ;38 ;26 ;3,934 ;11 ;1.917 ;- ;900 ;7 ;19 ;14 ;;;5 ;18 ;14 ;1 ;288 ;516 ;60 ;31 ;2 ;1 ;166 ;576 ;- ;288 ;350 ;10 ;725 ;;20 ;2.011 ;;225 ;
Undenäs ;43 ;324 ;146 ;86,032 ;46 ;5,560 ;;;20 ;194 ;7 ;;;;95 ;3 ;1 ;925 ;1,600 ;80 ;325 ;30 ;45 ;125 ;1,550 ;;880 ;175 ;30 ;4,500 ;50 ;42 ;14,211 ;;120 ;
Vad ;12,75 ;25 ;;2.083 ;12 ;1,560 ;200 ;40 ;I ;;to ;;;;cor ;;;250 ;400 ;40 ;25 ;5 ;;200 ;400 ;;250 ;600 ;;700 ;- ;;2,800 ;;116 ;
Väring ;24 ;100 ;62 ;5.323 ;4 ;1.820 ;50 ;2.326 ;12 ;36 ;21 ;;;4 ;;I ;1 ;420 ;470 ;40 ;35 ;=== ;- ;- ;605 ;- ;250 ;720 ;20 ;1.140 ;- ;20 ;2,380 ;- ;140 ;
Summa Vadsbo härad ;1.004.69 ;4,537 ;3,155 ;492,017 ;1.179 ;109,350 ;16,935 ;100,833 ;945 ;2,629 ;710 ;55 ;;528 ;1,017 ;293 ;20 ;17,077 ;30,277 ;2,431 ;4,378 ;509 ;450 ;7,759 ;46,144 ;381 ;16,396 ;17,337 ;566 ;68.641 ;527 ;3,079 ;220,596 ;1,448 ;8,760 ;
Summa för landsbygden ;4,715,81 ;18,625 ;12,821 ;1,640,135 ;5,964 ;526,424 ;106,692 ;379,083 ;2,714 ;10,173 ;3,144 ;262 ;;2,239 ;4,777 ;1,266 ;138 ;72,019 ;183,101 ;10,823 ;23,870 ;3,367 ;1,300 ;46,594 ;132,381 ;753 ;70,232 ;50,377 ;2,977 ;316,259 ;3,611 ;47,271 ;1,392,176 ;37,114 ;32,854 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;4 ;500 ;42 ;2,546 ;26 ;780 ;8 ;400 ;18 ;25 ;2 ;;;6 ;6 ;2 ;- ;120 ;190 ;16 ;10 ;6 ;- ;8 ;364 ;- ;100 ;200 ;- ;400 ;- ;20 ;150 ;200 ;20 ;
Lidköping ;16 ;110 ;;3.008 ;35 ;937 ;;1,993 ;55 ;25 ;5 ;;;20 ;10 ;;- ;175 ;288 ;;20 ;16 ;- ;;438 ;- - ;;;- ;800 ;- ;60 ;2,000 ;;;
Skara ;20,50 ;210 ;17 ;3.009 ;63 ;1,963 ;35 ;545 ;105 ;90 ;16 ;2 ;;;;;;256 ;538 ;74 ;105 ;22 ;1 ;229 ;450 ;- ;288 ;189 ;- ;1.041 ;- ;190 ;2,398 ;315 ;160 ;
Sköfde ;;54 ;16 ;1.620 ;23 ;1.268 ;66 ;70 ;12 ;31 ;9 ;;;;3 ;3 ;;196 ;288 ;9 ;54 ;20 ;- ;196 ;354 ;- - ;192 ;50 ;- ;915 ;- ;;3.119 ;;40 ;
Falköping ;20.67 ;26 ;;1.851 ;20 ;1,735 ;199 ;;2 ;12 ;6 ;1 ;;4 ;5 ;- ;1 ;110 ;700 ;5 ;50 ;60 ;- ;250 ;450 ;;110 ;;;660 ;;650 ;5,000 ;;30 ;
Hjo ;3,25 ;- ;7 ;1,620 ;3 ;765 ;35 ;172 ;8 ;21 ;8 ;- ;;5 ;9 ;- ;- ;120 ;200 ;5 ;140 ;20 ;;30 ;130 ;- ;120 ;10 ;10 ;600 ;65 ;12 ;1,650 ;20 ;20 ;
Summa för staderual ;68,42 ;900 ;94 ;13,654 ;170 ;7,448 ;343 ;3.180 ;200 ;204 ;46 ;3 ;;35 ;33 ;5 ;- ;977 ;2,204 ;109 ;379 ;144 ;1 ;713 ;2,186 ;- ;810 ;449 ;10 ;4.416 ;65 ;932 ;14.317 ;535 ;270 ;
Summa för bela länet ;4,784,23 ;19,525 ;12,915 ;1,653,789 ;6,134 ;533,872 ;107,035 ;382,263 ;2,914 ;10,377 ;3,190 ;265 ;;2,274 ;4,810 ;1,271 ;139 ;72.996 ;185,305 ;;;;I ;;;;;50,826 ;2,987 ;320.675 ;3.676 ;48.203 ;1,406,493 ;37.649 ;33,124 ;





