Table: Table_1

Trafva ;9,75 ;25 ;12 ;1,920 ;13 ;;1,694 ;18 ;195 ;2 ;11 ;8 ;1 ;- ;1 ;2 ;- ;103 ;458 ;8 ;18 ;2 ;1 ;410 ;550 ;20 ;124 ;95 ;- ;422 ;- ;100 ;4,056 ;146 ;54 ;
Trässberg ;18,38 ;69 ;36 ;5,786 ;36 ;;3,856 ;824 ;100 ;36 ;56 ;13 ;- ;36 ;56 ;13 ;- ;243 ;710 ;58 ;30 ;6 ;14 ;243 ;486 ;- ;250 ;324 ;- ;648 ;- ;540 ;4,320 ;- ;216 ;
Winköl ;22.56 ;102 ;38 ;7,379 ;10 ;;3,698 ;617 ;2,994 ;20 ;69 ;11 ;2 ;- ;6 ;1 ;- ;336 ;2,496 ;40 ;195 ;15 ;10 ;150 ;456 ;- ;300 ;200 ;X 60 ;1,500 ;63 ;253 ;16,000 ;113 ;100 ;
Wânga ;54,75 ;120 ;98 ;13,500 ;20 ;;7,500 ;480 ;5,500 ;8 ;61 ;30 ;5 ;8 ;71 ;36 ;X 5 ;937 ;2,500 ;60 ;200 ;51 ;4 ;937 ;1,874 ;- ;937 ;1.124 ;- ;3,373 ;- ;315 ;16,000 ;3,600 ;250 ;
Ásaka ;24,88 ;78 ;63 ;5,615 ;18 ;;2,855 ;1,500 ;1,242 ;;- ;- ;;- ;;- ;- ;490 ;999 ;36 ;120 ;3 ;4 ;100 ;595 ;- ;490 ;195 ;- ;2,148 ;- ;176 ;12,000 ;108 ;144 ;
Öttum ;14.38 ;68 ;23 ;4.027 ;16 ;;3,000 ;11 ;;16 ;42 ;20 ;- ;- ;7 ;2 ;1 ;180 ;1,300 ;360 ;100 ;10 ;5 ;250 ;505 ;- ;200 ;350 ;- ;600 ;- ;100 ;10,050 ;1.500 ;145 ;
Summa, Skânings härada) ;359 ;1,353 ;1,011 ;96,680 ;572 ;;59,327 ;6,030 ;26,795 ;180 ;676 ;357 ;33 ;247 ;456 ;218 ;24 ;6.672 ;21,330 ;1,371 ;1,325 ;199 ;116 ;7.768 ;11,609 ;X 20 ;7,353 ;6,051 ;X 66 ;26,592 ;189 ;4,567 ;153,358 ;9,104 ;3,264 ;
Bitterna, Weater ;3,50 ;17 ;X 36 ;2,807 ;6 ;;1,198 ;105 ;25 ;;26 ;27 ;- ;- ;2 ;3 ;- ;54 ;670 ;4 ;109 ;5 ;7 ;13 ;21 ;X 18 ;42 ;10 ;4 ;360 ;8 ;70 ;4,306 ;76 ;8 ;
Bitterna, Öster ;16,81 ;91 ;50 ;2,550 ;7 ;;975 ;648 ;13 ;11 ;79 ;1 ;- ;- ;6 ;1 ;- ;68 ;680 ;5 ;32 ;1 ;7 ;14 ;100 ;- ;68 ;13 ;2 ;416 ;3 ;95 ;738 ;247 ;10 ;
Lengjum och Wessby ;42.58 ;97 ;32 ;3,850 ;25 ;;3,600 ;100 ;125 ;3 ;74 ;24 ;- ;- ;- ;5 ;- ;1,560 ;9,600 ;600 ;900 ;- ;- ;-- ;18 ;- ;- ;360 ;30 ;1,200 ;60 ;450 ;6,900 ;900 ;180 ;
Larf ;47 ;202 ;95 ;7,050 ;6 ;;3,080 ;210 ;1,100 ;55 ;150 ;36 ;- ;- ;- ;- ;- ;250 ;2,000 ;20 ;150 ;- ;- ;50 ;400 ;- ;300 ;30 ;- ;200 ;- ;20 ;3,000 ;;10 ;
Lundby ;15,50 ;61 ;46 ;3,200 ;5 ;;2,030 ;175 ;15 ;1 ;60 ;6 ;2 ;- ;2 ;2 ;- ;110 ;1,400 ;20 ;100 ;X 10 ;4 ;75 ;200 ;- ;110 ;85 ;- ;540 ;- ;220 ;11,500 ;740 ;65 ;
Trâfva ;8,81 ;44 ;9 ;1,920 ;13 ;;1,839 ;17 ;50 ;2 ;29 ;10 ;- ;- ;3 ;- ;- ;75 ;600 ;8 ;20 ;2 ;2 ;410 ;550 ;X 20 ;152 ;50 ;- ;410 ;- ;75 ;6,400 ;150 ;54 ;
Wedum ;19.88 ;120 ;62 ;3,000 ;10 ;;2,325 ;40 ;625 ;;100 ;10 ;1 ;- ;9 ;- ;- ;90 ;2.000 ;- ;100 ;- ;10 ;25 ;50 ;- ;50 ;;- ;90 ;- ;;1,000 ;- ;- ;
Summa, Laske härad ;153,88 ;632 ;330 ;24.377 ;72 ;;15.047 ;1,295 ;1.953 ;72 ;518 ;114 ;3 ;- ;X 22 ;11 ;- ;2,207 ;16.950 ;657 ;1.411 ;18 ;30 ;587 ;1.339 ;X 38 ;722 ;548 ;X 36 ;3.216 ;71 ;930 ;33.844 ;2,113 ;327 ;
Floby ;27,94 ;75 ;25 ;4,200 ;5 ;;840 ;1,120 ;- ;- ;55 ;2 ;- ;- ;18 ;- ;- ;85 ;420 ;6 ;66 ;2 ;3 ;- ;60 ;- ;50 ;- ;- ;480 ;30 ;510 ;1,920 ;30 ;36 ;
Gökhem ;39,63 ;100 ;30 ;5,200 ;10 ;;4,500 ;510 ;100 ;2 ;5 ;4 ;- ;- ;- ;- ;- ;150 ;3,150 ;60 ;140 ;5 ;- ;30 ;50 ;- ;140 ;31 ;31 ;913 ;- ;2,520 ;14,805 ;1.260 ;151 ;
Göteved ;16,13 ;X 68 ;8 ;4,372 ;- ;;560 ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;98 ;390 ;3 ;64 ;2 ;4 ;- ;32 ;- ;X 96 ;- ;- ;630 ;- ;403 ;4,095 ;315 ;18 ;
Jäla ;22,63 ;70 ;45 ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;25 ;535 ;31 ;504 ;4,095 ;315 ;12 ;
Klefva ;26.25 ;86 ;47 ;5,580 ;10 ;;1,270 ;2,400 ;1,900 ;23 ;68 ;4 ;1 ;19 ;63 ;4 ;1 ;220 ;638 ;26 ;84 ;1 ;1 ;26 ;70 ;- ;204 ;X 30 ;20 ;1.300 ;- ;900 ;7,200 ;600 ;100 ;
Marka ;19,13 ;45 ;25 ;- ;16 ;;25 ;40 ;25 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;151 ;- ;226 ;1,512 ;75 ;12 ;
Sörby ;15,88 ;42 ;2 ;80 ;- ;;34 ;45 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;37 ;- ;25 ;201 ;- ;- ;
Trevattna ;18,44 ;59 ;29 ;4,700 ;12 ;;620 ;2,000 ;400 ;10 ;35 ;2 ;- ;24 ;10 ;- ;- ;105 ;350 ;4 ;30 ;1 ;- ;15 ;X 45 ;- ;68 ;6 ;18 ;580 ;- ;80 ;3.251 ;159 ;19 ;
Ullened ;12,13 ;55 ;26 ;1.000 ;2 ;;350 ;400 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;;;---- ;- ;- ;- ;- ;- ;- ;- ;300 ;- ;100 ;2,000 ;50 ;16 ;
Summa, Wilske härad ;198,16 ;600 ;X 237 ;25.132 ;55 ;;8.199 ;6,515 ;2.425 ;35 ;163 ;12 ;1 ;43 ;91 ;4 ;1 ;658 ;4.948 ;99 ;384 ;11 ;8 ;71 ;257 ;- ;558 ;X 67 ;X 94 ;4.926 ;61 ;5,268 ;39,079 ;2.804 ;364 ;
Bjerka ;19.63 ;53 ;47 ;5,528 ;16 ;;800 ;1.706 ;3,006 ;- ;- ;2 ;2 ;- ;47 ;- ;- ;220 ;310 ;- ;70 ;12 ;5 ;- ;- ;- ;180 ;- ;- ;1.072 ;- ;X 60 ;2,160 ;- ;24 ;
Bjurum eller Hânger och) M&rby ;15,13 ;43 ;X 41 ;6,500 ;12 ;;1.500 ;1,200 ;600 ;- ;- ;- ;- ;- ;- ;- ;- ;185 ;445 ;X 20 ;180 ;X 10 ;- ;280 ;195 ;- ;185 ;- ;- ;945 ;- ;X 63 ;3,087 ;- ;126 ;
Borgunda ;33 ;77 ;42 ;3.100 ;8 ;;2.112 ;320 ;660 ;20 ;60 ;17 ;- ;42 ;60 ;17 ;- ;320 ;620 ;X 23 ;128 ;- ;1 ;100 ;600 ;- ;320 ;- ;- ;1,600 ;- ;403 ;4,428 ;512 ;92 ;
Broddetorp ;6,88 ;23 ;22 ;1,215 ;13 ;;408 ;133 ;660 ;3 ;17 ;2 ;- ;- ;20 ;1 ;- ;70 ;186 ;13 ;25 ;4 ;1 ;20 ;153 ;- ;69 ;X 23 ;;396 ;- ;114 ;1.500 ;- ;39 ;
Brunnhem ;12.75 ;48 ;4 ;1,402 ;53 ;;624 ;25 ;701 ;2 ;35 ;13 ;- ;;4 ;3 ;- ;120 ;258 ;24 ;45 ;- ;3 ;- ;58 ;- ;120 ;- ;- ;806 ;- ;397 ;1,550 ;378 ;113 ;
Dala ;28.69 ;77 ;34 ;3,000 ;50 ;;2,150 ;100 ;700 ;- ;- ;- ;1 ;- ;- ;- ;3 ;280 ;570 ;X 30 ;60 ;X 20 ;10 ;- ;900 ;- ;280 ;X 30 ;- ;1.400 ;- ;440 ;5,350 ;- ;130 ;





