Table: Table_1

Sandhem ;43,13 ;130 ;120 ;;20 ;2,300 ;4,500 ;10,600 ;;;;;;;;;350 ;900 ;5 ;415 ;15 ;;;135 ;;365 ;;;1,800 ;100 ;60 ;8,200 ;300 ;;
Skörstorp. ;10,88 ;25 ;21 ;;4 ;1,220 ;1,040 ;;;2 ;;;;;;;130 ;395 ;30 ;75 ;20 ;;;278 ;;150 ;;;950 ;;252 ;3,200 ;;;
Slôta med Faleqvarna ;45,88 ;137 ;58 ;;25 ;3,160 ;1,235 ;80 ;32 ;86 ;;;;;;;280 ;1,500 ;50 ;400 ;15 ;;100 ;150 ;;681 ;10 ;10 ;1,720 ;24 ;1,200 ;19,000 ;200 ;120 ;
Suntak ;9,63 ;34 ;17 ;;5 ;1,148 ;172 ;960 ;3 ;12 ;;;;;;;140 ;400 ;26 ;75 ;25 ;;492 ;340 ;;140 ;30 ;10 ;800 ;10 ;30 ;345 ;50 ;35 ;
Tiarp ;11,75 ;46 ;;3 ;5 ;1,000 ;300 ;190 ;- ;45 ;;;;;;;;;;;;;;;;;12 ;;450 ;;200 ;3,600 ;400 ;200 ;
Utvängstorp ;7,44 ;44 ;;;;486 ;486 ;;;27 ;;;;;;;55 ;165 ;;100 ;;;;;;95 ;;;230 ;45 ;;1,300 ;50 ;;
Velinge Visttorp ;19,72 11,50 ;79 28 ;112 24 ;;20 20 ;1,496 860 ;1,390 540 ;3,349 800 ;19 3 ;73 24 ;;;;;;;355 70 ;516 850 ;9 ;155 35 ;10 ;;100 ;105 150 ;;313 70 ;X 50 ;2 5 ;1,910 500 ;10 20 ;10 70 ;5,710 3,500 ;150 ;14 20 ;
Vättak ;9,50 ;18 ;;23 ;5 ;74 ;725 ;1,428 ;4 ;9 ;;;;;;;160 ;260 ;2 ;70 ;;3 ;;85 ;;160 ;;1 ;750 ;10 ;12 ;3,000 ;12 ;6 ;
Yllestad ;21,56 ;54 ;74 ;;50 ;1,000 ;600 ;750 ;28 ;40 ;4 ;;70 ;44 ;4 ;;212 ;400 ;2 ;150 ;10 ;;25 ;75 ;;150 ;14 ;;1,000 ;;125 ;3,500 ;;5 ;
Asaka Asle ;23,50 30,18 ;29 99 ;61 115 ;;32 ;959 1,458 ;258 ;318 ;10 ;70 ;4 ;2 ;6 ;26 ;1 ;1 ;150 125 ;730 770 ;7 ;140 ;20 ;2 ;145 ;5 ;;128 ;4 ;1 ;900 650 ;- ;455 420 ;6,115 5,610 ;80 ;35 16 ;
Summa Vartofta härad ;741,56 ;2,500 ;1,714 ;;494 ;58,977 ;38,688 ;65,747 ;224 ;1,060 ;275 ;32 ;259 ;487 ;125 ;9 ;8,455 ;21,999 ;449 ;4,718 ;400 ;160 ;4,671 ;8,330 ;40 ;7,989 ;1,520 ;233 ;49,146 ;1,069 ;7,867 ;209,781 ;4,507 ;1,622 ;
Brismene ;12,50 ;45 ;31 ;;- ;- ;;;- ;- ;- ;- ;;;- ;- ;;- ;- ;;- ;- ;- ;;- ;- ;- ;- ;200 ;;75 ;2.050 ;75 ;5 ;
Börstig ;13,88 ;61 ;18 ;;2 ;420 ;1,240 ;200 ;- ;;- ;- ;;;;- ;40 ;240 ;9 ;60 ;4 ;3 ;;30 ;- ;35 ;- ;X 30 ;260 ;40 ;60 ;2,100 ;50 ;;
Grolanda ;19 ;87 ;;40 ;10 ;630 ;480 ;20 ;8 ;38 ;- ;;;55 ;;- ;60 ;400 ;5 ;80 ;10 ;5 ;;10 ;- ;60 ;- ;;550 ;150 ;250 ;3,420 ;150 ;30 ;
Kinneved ;30,75 ;84 ;27 ;;6 ;1,130 ;1,570 ;10 ;7 ;71 ;4 ;;29 ;79 ;3 ;;128 ;716 ;2 ;70 ;8 ;4 ;;50 ;;152 ;- ;;806 ;;310 ;8,390 ;;10 ;
Smula. ;7.63 ;22 ;;2 ;2 ;137 ;334 ;;;10 ;- ;;;;- ;- ;;;;;;;;;- ;;- ;- ;100 ;- ;60 ;600 ;25 ;5 ;
Varkumla ;18,25 ;30 ;;;3 ;402 ;499 ;10 ;2 ;26 ;- ;- ;- ;2 ;- ;- ;35 ;245 ;2 ;67 ;;;;;- ;45 ;- ;- ;220 ;;94 ;1,449 ;;13 ;
Asarp ;4,50 ;12 ;;8 ;3 ;100 ;68 ;8 ;-- ;10 ;- ;- ;- ;4 ;- ;- ;2 ;6 ;1 ;2 ;2 ;8 ;4 ;;- ;15 ;- ;- ;280 ;8 ;180 ;2,160 ;30 ;36 ;
Summa Frökinds härad ;106,51 ;341 ;133 ;;26 ;2,819 ;4,191 ;256 ;17 ;155 ;4 ;- ;51 ;140 ;7 ;- ;265 ;1,607 ;12 ;279 ;26 ;22 ;4 ;97 ;- ;307 ;- ;30 ;2,416 ;198 ;1,029 ;20,169 ;330 ;107 ;
Amnehärad ;30,19 ;301 ;185 ;;15 ;2,666 ;3,660 ;6,426 ;26 ;262 ;- ;;;42 ;- ;;536 ;710 ;20 ;97 ;3 ;20 ;30 ;800 ;- ;450 ;100 ;- ;2,044 ;- ;40 ;5,620 ;- ;60 ;
Beateberg ;17,50 ;52 ;58 ;;16 ;2,283 ;834 ;3,150 ;3 ;19 ;;2 ;18 ;6 ;;1 ;460 ;650 ;50 ;100 ;15 ;15 ;610 ;;- ;350 ;300 ;;2,460 ;;;5,850 ;;115 ;
Berg ;34,44 ;100 ;61 ;;50 ;1,790 ;1,130 ;2,400 ;45 ;78 ;12 ;2 ;24 ;;;;325 ;585 ;40 ;150 ;;;100 ;400 ;- - ;282 ;150 ;;1,800 ;- ;500 ;3,830 ;100 ;;
Bellefors ;20,25 ;54 23 ;51 ;;6 ;1,440 350 ;200 ;4,420 200 ;;;;;;X 30 ;11 ;1 ;180 75 ;366 150 ;47 5 ;50 20 ;10 ;3 ;170 25 ;434 ;- ;185 75 ;250 60 ;;650 400 ;- ;10 ;2,200 900 ;- ;130 30 ;
Binneberg ;5,50 ;140 ;67 ;;18 ;;140 ;2,000 ;3 ;20 ;2 ;;;;;;400 ;588 ;135 ;60 ;5 ;2 ;400 ;800 ;10 ;400 ;600 ;88 ;;- ;;;- ;;
Björkäng Björsäter ;18 28,88 ;100 ;105 ;;28 ;2,810 2,622 ;30 ;2,850 ;62 ;60 ;;;;;10 ;;370 ;800 ;50 ;100 ;35 ;16 ;156 ;725 ;;370 ;470 ;20 ;1,500 1,350 ;- - ;63 200 ;4,700 3.600 ;- - ;500 90 ;
Back ;14,50 ;30 ;;42 ;50 ;2,610 ;90 ;1,300 ;6 ;43 ;;;;;;;375 ;670 ;40 ;28 ;20 ;4 ;343 ;760 ;4 ;370 ;550 ;- ;1,060 ;- ;;4,025 ;- ;120 ;
Böja ;8,75 ;40 ;;13 ;6 ;745 ;40 ;259 ;3 ;29 ;2 ;;;;;;100 ;205 ;5 ;85 ;15 ;5 ;126 ;150 ;- ;100 ;113 ;- ;517 ;- ;25 ;1,575 ;- ;31 ;
Karlsborg ;;12 ;;;3 ;10 ;4 ;900 ;;;;;;;;;;;;;;;;;- ;;;- ;10 ;- ;;36 ;;;
Ek ;11 ;39 ;;44 ;28 ;1,630 ;10 ;2,300 ;4 ;30 ;;;;;;;250 ;470 ;10 ;25 ;15 ;5 ;145 ;460 ;- ;250 ;130 ;75 ;1,130 ;- ;105 ;3,500 ;- ;50 ;
Ekby ;21,88 ;70 ;;10 ;17 ;1,927 ;223 ;1,304 ;6 ;60 ;;;;;;;328 ;585 ;100 ;35 ;2 ;;160 ;570 ;- ;328 ;485 ;- ;1,210 ;- ;18 ;4,300 ;;450 ;
Ekeskog ;15,18 ;56 ;;24 ;6 ;2,265 ;30 ;1,900 ;6 ;31 ;;;;;;;323 ;583 ;25 ;34 ;;5 ;417 ;61 ;- ;323 ;117 ;;1,500 ;;- ;4,800 ;;75 ;
Elgar&s ;19,81 ;103 ;161 ;;150 ;2,132 ;200 ;6,150 ;100 ;100 ;;;;;;;345 ;625 ;45 ;160 ;12 ;15 ;350 ;400 ;- ;250 ;90 ;12 ;1,340 ;60 ;;3,600 ;;120 ;
Flietad. ;18,75 ;60 ;;13 ;5 ;1,400 ;500 ;175 ;4 ;30 ;;;;;;;242 ;600 ;150 ;20 ;2 ;2 ;140 ;300 ;- ;242 ;472 ;;743 ;;38 ;2,500 ;630 ;470 ;
;;;;;;;;;;;;;;;;;365 ;;;;;;;;;;;;;;;;;;
Finnerödja Fägre ;24,96 36,81 ;209 150 ;212 109 ;;100 ;1,870 7,300 ;130 ;3,250 ;15 ;66 ;;;;;;;1,200 ;590 1,800 ;50 200 ;175 100 ;12 30 ;28 10 ;350 ;400 2,500 ;80 ;250 1,200 ;50 2,700 ;15 ;1,800 3,300 ;30 ;60 50 ;5,000 12,000 ;15 ;125 600 ;
Fredsberg ;42,69 ;256 ;153 ;;45 ;5,870 ;163 ;3,400 ;59 ;152 ;;;;;;;840 ;1,680 ;65 ;100 ;15 ;;670 ;1,670 ;;840 ;1,395 ;- ;2,790 ;;60 ;9,175 ;;250 ;
Frösve ;13,69 ;54 ;;44 ;10 ;1,975 ;139 ;1,513 ;22 ;49 ;;;;;;;330 ;562 ;33 ;50 ;10 ;5 ;165 ;493 ;;328 ;235 ;;1,415 ;;162 ;4,815 ;;118 ;
Götlunda ;27,75 ;136 ;;81 ;25 ;4,000 ;100 ;1,275 ;50 ;132 ;;;;;;;600 ;1,500 ;300 ;176 ;;2 ;148 ;670 ;- ;600 ;1,200 ;;2,400 ;;;13,600 ;;1,100 ;
Halna ;7,50 ;84 ;81 ;;6 ;1,377 ;143 ;2,495 ;37 ;69 ;;;;;;2 ;196 ;484 ;60 ;75 ;9 ;10 ;;300 ;- ;243 ;135 ;- ;1,000 ;- ;6 ;8,000 ;;168 ;
Hialstad ;17,25 ;35 ;;19 ;10 ;956 ;300 ;460 ;;26 ;;;;;;;;;;;;;;;- ;;325 ;- ;755 ;- ;;2,085 ;;120 ;
Hasle, Berga och Färed ;66,75 ;133 ;160 ;;40 ;8,015 ;445 ;12,160 ;26 ;68 ;;;;;;;1,145 ;2,190 ;100 ;180 ;70 ;;720 ;2,515 ;- ;1,087 ;1,100 ;;4,400 ;;90 ;13,000 ;;400 ;
Hofva och Fagerlid ;56,18 ;338 ;142 ;;- ;- ;- ;- ;- ;;;;;;;;950 ;1,600 ;50 ;140 ;30 ;25 ;50 ;1,900 ;- ;950 ;300 ;50 ;4,000 ;100 ;120 ;8,200 ;;200 ;
Horn ;18,88 ;96 ;;24 ;- ;;- ;;- ;;;;;;;;252 ;567 ;55 ;320 ;;2 ;40 ;150 ;- ;250 ;270 ;10 ;900 ;20 ;140 ;2,500 ;;250 ;
Leksberg ;17,75 ;36 ;;59 ;18 ;1,715 ;66 ;2,400 ;5 ;20 ;;;;;;;240 ;485 ;20 ;50 ;5 ;;75 ;600 ;- ;240 ;300 ;;900 ;- ;10 ;3,395 ;;100 ;
Lyrestad ;43,75 ;249 ;153 ;;77 ;4,038 ;733 ;4,740 ;108 ;246 ;;;;;;;539 ;1,320 ;55 ;129 ;;10 ;200 ;1,078 ;;539 ;324 ;;2,910 ;- ;50 ;11,844 ;;318 ;
Locketorp ;16,50 ;81 ;51 ;;50 ;1,765 ;57 ;3,448 ;40 ;40 ;;;;;;;335 ;480 ;80 ;120 ;10 ;10 ;110 ;250 ;40 ;330 ;310 ;X 40 ;1,320 ;;50 ;3,830 ;20 ;200 ;
Lerdala ;16,44 ;38 ;;75 ;50 ;1,310 ;441 ;1,982 ;43 ;46 ;;;;;;;260 ;350 ;25 ;75 ;10 ;;;359 ;- ;230 ;210 ;;1,175 ;20 ;210 ;2,320 ;40 ;100 ;
Lâstad ;11,44 ;34 ;27 ;;3 ;585 ;840 ;549 ;;;;;;;;;125 ;178 ;28 ;28 ;2 ;12 ;;74 ;- ;125 ;262 ;- ;530 ;- ;30 ;1,600 ;;98 ;
Mo ;11,25 ;16 ;;18 ;18 ;1,260 ;- ;526 ;;;;;;;;;185 ;307 ;35 ;35 ;;;142 ;366 ;- ;190 ;450 ;;405 ;;;2,149 ;;245 ;
Mölltorp. ;21,18 ;116 ;;65 ;;2,687 ;- ;;20 ;64 ;;;;;;;420 ;650 ;15 ;200 ;20 ;;40 ;950 ;- ;385 ;30 ;X 75 ;18,000 ;50 ;10 ;5,500 ;100 ;80 ;
Odensaker ;23,63 ;79 ;;12 ;18 ;1,502 ;195 ;341 ;1 ;60 ;;;;;;;265 ;500 ;28 ;89 ;5 ;;;375 ;- ;240 ;157 ;- ;1,134 ;;63 ;3,024 ;;144 ;
Ransberg ;31,56 ;300 ;150 ;;40 ;4,000 ;960 ;4,000 ;80 ;170 ;;;;;;;650 ;1,000 ;50 ;300 ;;100 ;100 ;800 ;- ;1,000 ;50 ;- ;2,500 ;130 ;- ;7,560 ;- ;63 ;





