Table: Table_1

Sandhem Skörstorp ;;;;10,000 5,071 ;;;;;8,800 4,410 ;;180 1,260 ;13,800 18,900 ;4.800 1.071 ;150 ;- - ;220 ;;60.000 22,050 ;2,205 ;;5 ;;;;10 ;;;145 ;;;;;;
Slota med Faleqvarna ;5 ;;;8,500 ;;;;X ;8,400 ;125 ;6,750 ;55,000 ;3,000 ;1,050 ;- ;660 ;;51,000 ;7,000 ;100 ;;;6,000 ;180 ;50 ;270 ;;;;;;;;
Suntak ;;;;1,800 ;;;;;4,290 ;40 ;50 ;9,175 ;;60 ;- ;60 ;;7,800 ;;;5 ;;;;;;;;;;;;;
;;;;;;;;;3,150 ;;;18,200 ;370 ;800 ;;150 ;;4,000 ;;;;;;;;;;;;;;;;
Tiarp ;;;;1,000 ;;;;;;;1,100 ;13,125 ;150 ;;- ;;;;-- ;;;;;;;;;;;;;;;
Tidaholm, del af Ängarp Utvängstorp ;;;;2,000 3,240 ;;;;;4,032 840 ;164 ;300 ;8,900 ;400 ;372 ;- - ;- ;;12,000 22,680 ;- ;90 ;;;2,000 ;;;130 ;;;120 ;;;;;
Velinge ;;;;6,048 ;21 ;;;;10,269 ;X 44 ;132 ;29,666 ;25 ;88 ;;18 ;;30,240 ;2,394 ;65 ;;450 ;2,100 ;;;;;;199 ;540 ;;;;
Visttorp ;2 ;;;1,800 ;;;120 ;10 ;1.120 ;75 ;1,000 ;8,285 ;1,350 ;48 ;;24 ;;6,000 ;600 ;;;;3,600 ;;;;;;100 ;;;;;
Vättak ;;;;2,520 ;12 ;;;;1,575 ;;;6,800 ;252 ;;;;;19,900 ;;;;;1,100 ;;;;;;;;;;;
Yllestad Asaka ;;;;3,000 2,218 ;;;80 ;;5,400 5,064 ;;750 1,690 ;33,600 26,080 ;;192 ;- ;;;15,000 13,808 ;- - ;;;;2,000 ;;;;;;150 ;220 280 ;;;220 ;
Asle ;;30 ;;4,800 ;;;30 ;24 ;8,150 ;- ;3.125 ;27,000 ;600 ;96 ;;150 ;- ;28,80 ;- ;;;;;124 ;60 ;110 ;;340 ;140 ;130 ;;140 ;;
Vartofta härad ;9 ;689 ;- ;150,917 ;550 ;;5,871 ;458 ;241,979 ;3,870 ;47,019 ;810,337 ;30,804 ;8,370 ;14 ;2,817 ;- ;831,802 ;22,299 ;1,268 ;395,70 ;1,365 ;64,050 ;2,117 ;418 ;5,705 ;250 ;10,315 ;4,677 ;12,447 ;9 ;3,603 ;420 ;
Brismene ;;;- ;913 ;;;- ;;1,260 ;;375 ;4,536 ;;;- ;;- ;3,654 ;;- ;;- ;;45 ;15 ;80 ;;150 ;90 ;125 ;;30 ;;
Börstig ;2 ;;;1,000 ;;6 ;;15 ;528 ;66 ;176 ;1,960 ;100 ;24 ;12 ;12 ;;4,000 ;60 ;- ;35 ;;300 ;80 ;20 ;50 ;10 ;220 ;170 ;440 ;;100 ;;
Grolanda ;- ;35 ;;1,350 ;19 ;;;;6,050 ;X 900 ;2,500 ;12,000 ;950 ;200 ;- ;350 ;- ;9,000 ;;- ;19 ;- ;;80 ;20 ;154 ;;300 ;110 ;200 ;;20 ;;
Kinneved ;- ;40 ;;3,000 ;50 ;;;;4,500 ;;6,500 ;27,000 ;;100 ;- ;210 ;- ;20,000 ;... ;- ;20 ;- ;1,000 ;112 ;36 ;160 ;14 ;410 ;260 ;820 ;;130 ;;
Smula ;- ;;- ;300 ;6 ;;- ;;400 ;- ;300 ;2,100 ;100 ;;- ;- ;- ;12,000 ;- ;- ;;- ;1,250 ;25 ;3 ;28 ;3 ;75 ;35 ;65 ;;20 ;;
Varkumla ;- ;;- ;630 ;13 ;;- ;;1,420 ;;756 ;6,489 ;;26 ;- ;;- ;3,780 ;- ;- ;7,20 ;- ;;51 ;10 ;72 ;;141 ;86 ;140 ;;;;
Asarp ;- ;3 ;- - ;100 ;;;- ;;138 ;16 ;80 ;1,050 ;80 ;12 ;- ;12 ;- ;700 ;- ;- ;;- ;;18 ;5 ;26 ;2 ;86 ;15 ;42 ;;;;
Frökinds bärad ;2 ;81 ;- ;7,293 ;94 ;;- ;15 ;14,296 ;982 ;10,687 ;55,135 ;1,230 ;362 ;X 12 ;584 ;- ;53134 ;60 ;- ;81,20 ;- ;2,550 ;406 ;109 ;570 ;42 ;1,332 ;766 ;1,332 ;- ;379 ;- ;
Amnehärad ;;25 ;- ;4,200 ;45 ;;800 ;;24,000 ;- ;600 ;37,000 ;;1,100 ;;150 ;-- ;30,000 ;;- ;40 ;- ;24,000 ;61 ;1 ;250 ;5 ;500 ;300 ;550 ;;170 ;;
Beateberg ;;50 ;;2,300 ;X 50 ;;2,520 ;;11,000 ;;126 ;33,000 ;;250 ;;350 ;;16,100 ;3,150 ;;48 ;- - ;;;;251 ;;330 ;400 ;700 ;;150 ;;
Berg ;;;;5,400 ;;;1,050 ;;10,000 ;- ;3,500 ;18,500 ;550 ;1,400 ;- ;;;30,000 ;;- ;;- ;- ;80 ;10 ;160 ;6 ;405 ;158 ;200 ;2 ;;;
Bellefors ;;;;800 ;;;1,040 ;- ;3,840 ;- ;;12,750 ;;420 ;- ;15 ;- ;8,200 ;;;2 ;- ;- ;34 ;;126 ;4 ;170 ;60 ;100 ;;;;
;;;;325 ;;;900 ;;2,000 ;- ;155 ;5,000 ;270 ;160 ;- ;105 ;;;;50 ;;;;10 ;;32 ;;40 ;25 ;;;;;
Binneberg ;;;;;;;;;;;;;;;;;- ;700 ;175 ;;;;;;;;;;;;;;;
Björkäng ;;;;1,700 ;;;5,760 ;;11,700 ;- ;;24,000 ;;4,200 ;;200 ;- ;11,900 ;;120 ;40 ;2,700 ;9,000 ;36 ;;180 ;5 ;216 ;140 ;400 ;;;;
Björsäter med Gullsäters rotar ;30 ;;;2,850 ;;;3,200 ;140 ;11,240 ;;1,400 ;42,250 ;- ;1,280 ;180 ;700 ;- ;28,500 ;1,700 ;99 ;15 ;4,000 ;31,000 ;95 ;10 ;150 ;;425 ;210 ;250 ;;;;
Bitk ;10 ;;;560 ;;;7,000 ;;9,020 ;;240 ;23,940 ;- ;700 ;X 50 ;150 ;;5,600 ;2,000 ;60 ;20 ;4,000 ;6,000 ;26 ;;122 ;;250 ;100 ;250 ;;;;
Böja ;;;;1,260 ;21 ;;630 ;;2,016 ;;126 ;5,040 ;- ;124 ;;- ;- ;5,040 ;- ;63 ;- ;;;26 ;5 ;43 ;;125 ;150 ;150 ;;;;
Karlsborg ;;;;210 ;;;;;195 ;6 ;;384 ;- ;;- ;;- ;924 ;;;;;;;;;;;;;;;;
Ek ;;;;800 ;24 ;;1,600 ;400 ;7,700 ;;900 ;15,600 ;- ;480 ;;;;800 ;10,800 ;;28 ;;12,000 ;50 ;5 ;128 ;;;;;;;;
Ekby ;X 7 ;;;1,170 ;;;2,400 ;;7,260 ;- ;80 ;21,100 ;- ;1,225 ;21 ;X 80 ;;3,510 ;;;;X 500 ;3,300 ;60 ;6 ;200 ;;;;;;;;
Ekeskog ;;;;880 ;;;468 ;;9,000 ;;- ;28,800 ;- ;225 ;;;;2,000 ;;;6 ;;;20 ;;140 ;;;;;;;;
;;;;;;;110 ;;;;;;;200 ;;20 ;;;;;;;;;;;;;;;;;;
Elgarãs ;;;;2,000 ;;;;;12,000 ;25 ;;57,600 ;- ;;;;;10,000 ;250 ;240 ;40 ;- ;6,400 ;;;160 ;;;;;;;;
Flistad ;;;;7,000 ;;;320 ;;12,800 ;25 ;140 ;30,800 ;- ;1,280 ;X 180 ;2F0 ;- ;42,000 ;;;;;;;;;;;;;;;;
Finnerödja ;;;;7,000 ;;;200 ;;8,500 ;144 ;240 ;22,000 ;- ;900 ;120 ;120 ;- ;21,000 ;450 ;450 ;X 150 ;;- ;100 ;;;;;;;;;;
Fägre ;;;;5,500 ;;;10,800 ;;21,000 ;- ;750 ;84,000 ;;6,000 ;X 100 ;6CO ;;37,500 ;;450 ;;;;200 ;10 ;;;;;;;;;
Fredsberg ;;;;1,600 ;;;13,930 ;;21,788 ;;432 ;54,360 ;;1,250 ;110 ;200 ;- ;12,800 ;633 ;180 ;;6,000 ;18,000 ;44 ;;;;;;;;;;
Frösve ;;;;1,800 ;;;1,880 ;;11,820 ;- ;1,134 ;33,705 ;;896 ;;240 ;;10,800 ;- ;;12 ;;12,500 ;;;;;;;;;;;
Götlanda ;X ;;;1,000 ;;;6,000 ;;19,200 ;;;67,500 ;;4,800 ;40 ;300 ;;6,000 ;;;;;;;;;;;;;;;;
Halna ;19 ;;;2,292 ;;;896 ;;2,900 ;44 ;32 ;19,656 ;;630 ;X 126 ;38 ;- ;3,100 ;192 ;47 ;10 ;;5,500 ;;;;;;;;;;;
;;;;;;;;;;;;33,075 ;;;;;;;;;;;;;;;;;;;;;;
Hjälstad ;;;;1,134 ;;;3,150 ;;9,472 ;;;63,000 ;;628 ;;;- ;5,670 ;;;;;8,400 ;;;;;;;;;;;
Hasle, Berga och Färed ;;;;7,000 ;;;8,000 ;;20,800 ;- ;3,220 ;;;2,400 ;;2,800 ;- ;42,000 ;6,000 ;;;;;;;;;;;;;;;
Hofva med Fagerlid ;;;;6,383 ;1,330 ;;1,720 ;;27,884 ;;904 ;107,856 ;410 ;958 ;60 ;300 ;- ;44,684 ;94,500 ;;140 ;;75,000 ;;;;;;;;;;;
;33 ;;;1,500 ;10 ;;1,880 ;;5,950 ;- ;620 ;20,205 ;;1,370 ;X 153 ;180 ;;;;;;;;;;;;;;;;;;
Horn ;;;;;;;;;;;;;;;;;;9,000 ;77 ;50 ;;;;;;;;;;;;;;
Leksberg ;;;;1,000 ;;;1,530 ;;9,785 ;- ;70 ;23,000 ;;680 ;- ;330 ;;8,050 ;750 ;25 ;6 ;;;;;;;;;;;;;
Lyrestad ;;;;3.220 ;35 ;;2,180 ;;11,520 ;- ;210 ;36,000 ;- ;1,272 ;- ;;;9,960 ;;;35 ;;;;;440 ;;;;;;;;
Locketorp ;;;;3,600 ;;;2,000 ;X 300 ;10,400 ;;120 ;22,000 ;;1,200 ;- ;600 ;;18,000 ;800 ;120 ;;;8,000 ;;8 ;130 ;;;;;;;;
Lerdala ;;;;3,150 ;;;950 ;;5,800 ;X 150 ;1,000 ;15,000 ;550 ;400 ;;;;15,750 ;;1,200 ;;;;;;110 ;;;;;;;;
Listad ;19 ;;;976 ;78 ;X ;;;2,646 ;- ;160 ;9,785 ;;376 ;X 95 ;48 ;;5,856 ;1,582 ;;;;5,000 ;;4 ;130 ;;;;;;;;
Mo. ;;;;1,134 ;;;4,032 ;;2,768 ;;;18,985 ;;1,008 ;;;- ;6,804 ;- ;;;;1,200 ;;;;;;;;;;;
Mölltorp ;;;;6,000 ;50 ;;240 ;X 320 ;11,100 ;150 ;;28,000 ;300 ;120 ;;- ;- ;30,000 ;- ;200 ;;;16,000 ;;;250 ;12 ;550 ;300 ;;;;;
;;;;1,890 ;;;400 ;;8,064 ;;441 ;14,840 ;;441 ;- ;- ;;;;;;;;;;150 ;;250 ;100 ;;;;;
Odens&ker Ransberg ;;;;6,300 ;315 ;;239 ;;12,600 ;504 ;;28,350 ;;242 ;- ;- ;- ;11,340 25,200 ;- - ;945 ;;;;46 80 ;;260 ;;400 ;280 ;1,000 ;;140 ;;





