Table: Table_1

Welinge ;- ;X 60 ;- ;4,700 ;25 ;- ;;;- 120 ;;4,680 ;24 ;60 ;23,500 ;18 ;40 ;- ;- ;- ;18,800 ;200 ;3.000 ;;- ;- ;- ;- ;74 ;8 ;224 ;6 ;450 ;236 ;625 ;;- ;120 ;- ;
Wistorp ;- ;X 6 ;- ;2.060 ;15 ;;;- ;- 5 ;4 ;1,225 ;48 ;370 ;9.495 ;1,233 ;47 ;- ;- ;- ;10,875 ;400 ;- ;;8 ;X 56 ;3.600 ;;43 ;6 ;88 ;10 ;215 ;148 ;306 ;;;99 ;- ;
Wättack ;- ;- ;- ;1,890 ;;;;- ;- - ;- ;1,575 ;113 ;;4,725 ;252 ;- ;;- ;- ;11,340 ;- ;- ;25 ;10 ;- ;1.100 ;;18 ;3 ;64 ;5 ;140 ;50 ;120 ;;- ;40 ;- ;
Yilestad ;- ;- ;- ;8,800 ;- ;;;- ;- - ;- ;2,850 ;;625 ;19,000 ;- ;- ;;;- ;19,000 ;- ;- ;- ;- ;- ;4,000 ;- ;60 ;6 ;110 ;5 ;200 ;50 ;350 ;;- ;80 ;200 ;
Âsaka ;- ;;- ;2,220 ;;- ;;;- - ;- ;2,220 ;- ;888 ;20,727 ;- ;75 ;- ;- ;- ;8.883 ;- ;- ;;- ;-- ;- ;;71 ;23 ;94 ;7 ;235 ;141 ;282 ;;- ;94 ;- ;
Âsled ;- - ;X 126 ;- ;3.843 ;25 ;- ;;;75 ;81 ;3.868 ;;7,245 ;35,437 ;889 ;270 ;- ;504 ;- ;23.058 ;- ;- ;100 ;- ;165 ;- ;- ;119 ;82 ;126 ;11 ;370 ;205 ;175 ;;- ;110 ;- ;
Summa, Wartofta härada) ;8 ;1.033 ;- ;135.877 ;695 ;- ;;- ;- 4,125 ;411 ;191.712 ;2.433 ;35.861 ;713.895 ;23,920 ;4,756 ;51 ;3295 ;- ;714,889 ;7.717 ;13.223 ;1,595 ;267.40 ;221 ;48.210 ;- ;2.016 ;438 ;5.708 ;311 ;10.388 ;4,622 ;12,817 ;;11 ;3,664 ;200 ;
Brismene ;- ;- ;- ;970 ;- ;- ;;- ;- - ;- ;340 ;- ;397 ;2.835 ;- ;- ;;- ;- ;2.910 ;- ;- ;- ;- ;- ;- ;- ;40 ;10 ;84 ;3 ;150 ;74 ;100 ;- ;;15 ;- ;
Börstig ;6 ;9 ;;850 ;15 ;;;;- ;113 ;315 ;88 ;661 ;13,230 ;220 ;75 ;X 40 ;47 ;- ;5.040 ;- ;- ;- ;50 ;- ;- ;- ;55 ;15 ;112 ;7 ;290 ;110 ;325 ;- ;;75 ;- ;





