Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56, ;58. ;59. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Rackeby ;;230 ;- ;1,010 ;;5,200 ;;3,440 ;- ;5,600 ;30,180 ;;3,010 ;;1,610 ;- ;8.080 ;;;- ;108 ;;6 ;8 ;335 ;140 ;120 ;;60 ;;
R&da. ;12 ;484 ;- ;1,816 ;- ;7,120 ;108 ;8,340 ;130 ;4,410 ;37,886 ;444 ;4,620 ;72 ;2,906 ;- ;14,480 ;11,200 ;- ;18 ;177 ;;60 ;12 ;487 ;163 ;251 ;- ;137 ;;
Skalunda ;1 ;300 ;- ;200 ;;1,500 ;10 ;4,500 ;12 ;1,000 ;23,000 ;200 ;800 ;2 ;500 ;- ;2,000 ;- ;;- ;85 ;;32 ;5 ;150 ;50 ;140 ;;40 ;;
Slädene ;;400 ;- ;5,450 ;5 ;3,920 ;- ;21,360 ;;1.400 ;41,200 ;1,400 ;3,500 ;;3,000 ;- ;54,000 ;;10 ;- ;230 ;;;45 ;350 ;125 ;150 ;- ;120 ;;
Strö ;;1,000 ;;1,300 ;10 ;3.010 ;- ;4,640 ;- ;2,800 ;10,200 ;1,200 ;2,400 ;;7,000 ;- ;9,100 ;10,000 ;60 ;14 ;70 ;;40 ;3 ;240 ;170 ;250 ;;125 ;;
Sunnersberg ;10 ;240 ;- ;1,575 ;25 ;4,800 ;;25,800 ;;6.000 ;12,000 ;4,500 ;4,900 ;40 ;1,200 ;- ;7,300 ;1,800 ;;7 ;140 ;;50 ;5 ;310 ;125 ;145 ;;;;
Söne ;3 ;450 ;- ;690 ;7 ;1,800 ;X 40 ;7,320 ;80 ;5,000 ;15,650 ;130 ;1,800 ;9 ;1,925 ;- ;4,000 ;;25 ;;93 ;;20 ;3 ;270 ;120 ;210 ;;69 ;;
Tranum ;12 ;400 ;- ;825 ;40 ;2,125 ;;6,000 ;;3,750 ;28,700 ;2,500 ;2,250 ;72 ;2,100 ;- ;5,275 ;400 ;;8 ;108 ;;;3 ;228 ;140 ;250 ;- ;80 ;;
T&dene ;12 ;;;662 ;12 ;2,064 ;;3,696 ;;1,575 ;13,734 ;396 ;756 ;;441 ;- ;5.286 ;;- ;;63 ;;;5 ;133 ;37 ;172 ;;19 ;;
Ufvered ;;300 ;- ;1,000 ;9 ;1,920 ;;7,200 ;;1,000 ;27,000 ;750 ;900 ;;1,050 ;- ;6,000 ;150 ;- ;24 ;128 ;;;3 ;275 ;75 ;200 ;;125 ;;
Väla och Gillstad ;4 ;175 ;- ;625 ;8 ;570 ;15 ;5.635 ;;285 ;9,615 ;;180 ;8 ;585 ;- ;5,000 ;;;6 ;69 ;;;4 ;156 ;95 ;170 ;;35 ;;
Asaka ;;200 ;;900 ;10 ;2,500 ;;6.600 ;;1,200 ;24,800 ;;1,200 ;;800 ;;7,200 ;6,000 ;50 ;;95 ;;;10 ;225 ;90 ;170 ;;90 ;;
Oralõea ;20 ;1,000 ;- ;800 ;50 ;4,000 ;- ;9,650 ;- ;3,800 ;24,000 ;4.200 ;8,500 ;200 ;6,000 ;- ;4,800 ;100 ;300 ;;165 ;;80 ;5 ;230 ;150 ;300 ;- ;175 ;;
Summa K&llands härad ;82 ;7,031 ;- ;28,997 ;282 ;69,329 ;X 201 ;190,312 ;672 ;53,194 ;570,474 ;30,693 ;49,593 ;433 ;38,268 ;- ;233,269 ;105,141 ;684 ;115 ;2,715 ;676 ;751 ;165 ;5,930 ;2,572 ;4,386 ;- ;1,902 ;- ;
Eling ;- ;50 ;X 12 ;1,200 ;10 ;240 ;72 ;5,400 ;120 ;500 ;18,000 ;150 ;180 ;;350 ;72 ;8,200 ;- ;60 ;;72 ;35 ;30 ;5 ;210 ;54 ;140 ;- ;65 ;X 20 ;
Essunga ;4 ;;- ;5,150 ;80 ;50 ;35 ;5,625 ;40 ;150 ;36,450 ;600 ;120 ;;25 ;- ;42,150 ;- ;160 ;;165 ;30 ;20 ;3 ;600 ;40 ;300 ;- ;60 ;;
Foglum ;2 ;105 ;- ;1,275 ;50 ;420 ;X 20 ;4,900 ;12 ;1,080 ;32,720 ;200 ;145 ;- ;400 ;- ;8,650 ;- ;175 ;22 ;95 ;37 ;18 ;4 ;335 ;190 ;200 ;- ;80 ;;
Hällum ;- ;;;120 ;;324 ;- ;1.144 ;;80 ;2.248 ;600 ;80 ;6 ;20 400 ;- ;720 ;- ;;- ;78 ;18 ;6 ;6 ;208 ;66 ;105 ;- ;25 ;;
Kedum Lekasa ;1 3 ;125 85 ;1 - ;2,460 1,430 ;70 32 ;1,300 425 ;X 45 ;10,300 7.840 ;80 155 ;550 1,170 ;50,000 29,400 ;10.000 415 ;225 375 ;15 ;455 ;5 - ;13,000 9,100 ;- ;200 95 ;45 ;150 82 ;35 22 ;12 34 ;8 9 ;400 285 ;150 155 ;250 265 ;- - ;100 98 ;X 20 ;
Levene, del ;- ;30 ;- ;500 ;;420 ;- ;3,600 ;- ;210 ;15,000 ;300 ;200 ;;100 ;- ;3,500 ;- ;;- ;40 ;3 ;;;63 ;22 ;40 ;- ;;;
Long ;- ;450 ;- ;1,800 ;12 ;4.000 ;;12,000 ;- ;2,400 ;43,200 ;;2,400 ;;2.700 ;- ;14,400 ;- ;60 ;;128 ;32 ;40 ;10 ;320 ;120 ;300 ;;100 ;;
Naum ;2 ;30 ;;4,900 ;90 ;400 ;X 96 ;11,720 ;52 ;258 ;35.000 ;500 ;600 ;12 ;150 ;- ;39,000 ;- ;270 ;30 ;153 ;60 ;25 ;5 ;370 ;112 ;290 ;;90 ;;
Ryda med Half&s ;- ;1,200 ;- - ;2,000 ;;1,750 ;;12,600 ;;1,000 ;50.000 ;1.600 ;2,500 ;;7,200 ;- ;10,000 ;;;;300 ;70 ;18 ;10 ;750 ;270 ;275 ;- ;150 ;- ;
