Table: Table_1

Stenstorp ;- ;- ;;- ;1,575 ;6 ;;;- ;- ;- ;- ;2,520 ;- ;472 ;13,267 ;- ;75 ;- ;-- ;- ;9,450 ;- ;;- ;- ;- ;fi ;- ;40 ;10 ;70 ;3 ;186 ;93 ;240 ;;62 ;;
Sjögerstad ;- ;- ;;;3,780 ;19 ;;;- ;-- ;;;- ;-- ;- ;- ;;;- ;- ;;- ;;;;- ;;;;45 ;15 ;100 ;10 ;200 ;100 ;400 ;- ;;- ;
Sätuna ;- ;- ;;;831 ;X 6 ;;;- ;- ;;- ;2,140 ;- ;441 ;8,246 ;X 567 ;200 ;-- ;;- ;2,493 ;300 ;- ;24 ;- ;X 1,000 ;-- ;;26 ;24 ;48 ;2 ;100 ;46 ;50 ;- ;40 ;- ;
Torbjörntorp ;- ;X 6 ;;- ;1,260 ;- ;;;- ;- ;50 ;;2,898 ;- ;756 ;11,844) ;756 ;63 ;- ;X 12 ;;5,040 ;9,450 ;- ;;- ;- ;;;48 ;5 ;72 ;;180 ;85 ;155 ;- ;72 ;- ;
Tunhem ;- ;;;- ;1,638 ;- ;;;- ;- ;;;2,047 ;- ;1,890 ;8,820 ;;252 ;- ;- ;;8,190 ;630 ;- ;- ;- ;- ;- ;- ;46 ;4 ;44 ;1 ;120 ;40 ;120 ;- ;60 ;- ;
U'gglum ;- ;- ;;- ;1,260 ;;- ;;- ;- ;- ;;3,024 ;- ;1,890 ;6,300 ;;352 ;- ;- ;- ;10,080 ;1,260 ;- ;G ;- ;- ;- ;- ;G2 ;10 ;G2 ;2 ;124 ;100 ;200 ;- ;60 ;- ;
Waltorp ;- ;- ;;;1 228 ;8 ;-- ;;;- ;176 ;- ;4,567 ;- ;586 ;16,285 ;50 ;334 ;- ;- ;- ;4,914 ;- ;- ;20 ;7,60 ;- ;2,070 ;- ;45 ;3 ;86 ;5 ;183 ;119 ;173 ;- ;G2 ;- ;
Summa, Gudhems härad ;- ;X 80 ;;6 ;42,651 ;205 ;- ;;_ ;- ;1.228 ;- ;73.286 ;- ;26,923 ;254,709 ;16,724 ;4,347 ;- ;X 36 ;12 ;189,686 ;134,540 ;X 300 ;127 ;63.00 ;3,955 ;5,579 ;- ;1,094 ;279 ;1,771 ;92 ;3,988 ;1,937 ;4,205 ;- ;1,443 ;30 ;
Bolum ;- ;- ;;- ;1,500 ;- ;;;- ;- ;120 ;;6,600 ;- ;4,880 ;12,880 ;4,050 ;760 ;- ;- ;- ;6,000 ;- ;- ;-- ;- ;- ;1,260 ;- ;79 ;21 ;48 ;3 ;165 ;87 ;170 ;- ;86 ;- ;
Eggby ;- ;X 30 ;;;2,800 ;;;;- ;- ;375 ;;7,980 ;- ;2,835 ;17,325 ;X 630 ;1,323 ;- ;180 ;;16,800 ;- ;- ;;- ;- ;- ;;45 ;;90 ;8 ;180 ;80 ;250 ;--- ;100 ;- ;
Häggum ;- ;- ;;- ;2,362 ;- ;;;- ;;60 ;;2,705 ;- ;652 ;10,432 ;X 1,230 ;400 ;- ;- ;- ;9,450 ;- ;;;- ;80 ;X 860 ;- ;75 ;14 ;54 ;;245 ;180 ;219 ;- ;G9 ;-- ;
Istrum ;- ;X 12 ;;- ;2,520 ;;- ;;- ;;250 ;;4,986 ;- ;315 ;11,970 ;X 680 ;564 ;- ;72 ;- ;17,640 ;- ;--- ;- ;- ;- ;;;36 ;;80 ;G ;160 ;80 ;150 ;- ;100 ;- ;
Lundby ;- ;- ;;- ;3,528 ;;;;- ;;1,890 ;- ;8,316 ;- ;5,027 ;17,199 ;;2,362 ;- ;- ;;17,640 ;- ;- ;- ;;;8,000 ;- ;65 ;3 ;100 ;5 ;250 ;100 ;300 ;- ;50 ;- ;
Skarke ;- ;- ;;- ;5,400 ;X 60 ;;;20 ;X 30 ;300 ;- ;8,000 ;- ;3,000 ;13,000 ;500 ;2,000 ;- ;- ;;27,000 ;1,200 ;3,000 ;120 ;- ;300 ;1,500 ;- ;46 ;10 ;96 ;10 ;170 ;90 ;400 ;- ;90 ;- ;
Skärf. ;X - ;- ;;;2,268 ;10 ;;;- ;- ;250 ;- ;1,410 ;- ;950 ;4,536 ;125 ;80 ;- ;- ;;9,072 ;- ;- ;X 10 ;10 ;- ;- ;- ;48 ;5 ;66 ;7 ;100 ;55 ;140; ;- ;50 ;- ;
Stenum ;- ;- ;;- ;3,402 ;9 ;- ;;;- ;250 ;- ;3,590 ;- ;945 ;5,860 ;285 ;;- ;- ;;17,010 ;- ;- ;- ;9 ;- ;- ;- ;45 ;8 ;100 ;5 ;220 ;120 ;260 ;- ;85 ;- ;
Wing ;- ;X 18 ;;- ;1,512 ;3 ;;;- ;- ;135 ;- ;2,835 ;-- ;615 ;2,976 ;65 ;56 ;- ;X 90 ;- ;6,048 ;- ;- ;- ;3 ;- ;- ;- ;35 ;5 ;48 ;3 ;75 ;45 ;125 ;- ;35 ;;
Öglunda ;- ;- ;;- ;945 ;- ;- ;;- ;- ;76 ;- ;3,528 ;- ;945 ;1.575 ;- ;X 378 ;- ;;- ;2,070 ;;;;;- ;;- ;27 ;5 ;18 ;3 ;90 ;50 ;140 ;- ;50 ;- ;
Summa, Walle härad ;- ;X 60 ;;- ;26,237 ;X 82 ;- ;;20 ;X 30 ;3,706 ;- ;49,950 ;- ;19,664 ;97,253 ;7,515 ;8,123 ;- ;342 ;- ;128,730 ;1.200 ;3.000 ;130 ;22 ;386 ;11,620 ;- ;501 ;88 ;700 ;55 ;1,655 ;837 ;2,154 ;- ;715 ;- ;
Brevik ;- ;X 40 ;;- ;5,000 ;X 54 ;- ;;- ;- ;- ;- ;6,000 ;- ;- ;1,238 ;- ;;- ;- ;- ;20,000 ;- ;- ;- ;28 ;- ;- ;;36 ;- ;18G ;G ;350 ;150 ;650 ;4 ;90 ;- ;
Forsby ;- ;- ;;- ;800 ;- ;;;;- ;480 ;- ;8,000 ;- ;- ;15,120 ;- ;375 ;- ;-- ;- ;3,200 ;- ;- ;;;-- ;;;18 ;3 ;90 ;1 ;180 ;50 ;175 ;;55 ;- ;
Fâgelâs, Norra ;-- ;X 189 ;;- ;9,765 ;X 67 ;- ;;- ;- ;919 ;;15,750 ;- ;- ;86,540 ;X 680 ;198 ;- ;1,260 ;- ;49,140 ;25,200 ;- ;176 ;60 ;7,000 ;21,000 ;;79 ;8 ;305 ;14 ;638 ;195 ;908 ;- ;284 ;- ;
Fâgel&s, Södra ;- ;64 ;;- ;7,480 ;X 42 ;;;;- ;730 ;5 ;9,500 ;180 ;500 ;27,800 ;855 ;215 ;- ;252 ;;37,611 ;- ;- ;168 ;31 ;- ;11,300 ;- ;70 ;6 ;S00 ;8 ;516 ;190 ;750 ;2 ;188 ;- ;
Grefbäck ;;X 60 ;;- ;9,000 ;32 ;;;- ;- ;- ;;9,925 ;552 ;- ;23,500 ;- ;52 ;- ;- ;- ;36,000 ;3,000 ;180 ;95 ;14 ;1,000 ;15,000 ;- ;53 ;4 ;240 ;8 ;400 ;160 ;410 ;;190, ;- ;
Hagelberg ;- ;- ;;;3,000 ;9 ;;;- ;- ;425 ;- ;4,050 ;- ;- ;10,500 ;- ;140 ;- ;- ;- ;12,000 ;- ;- ;;7 ;;;;34 ;5 ;100 ;5 ;188 ;97 ;180 ;- ;90 ;- ;
Hjo landaförsamling ;- ;X - ;;- ;5,040 ;63 ;;;- ;;126 ;- ;5,922 ;X 63 ;- ;17,325 ;189 ;50 ;- ;- ;- ;25,200 ;- ;- ;X 126 ;;- ;- ;;40 ;5 ;80 ;7 ;328 ;80 ;300 ;;50 ;- ;
Kyrkefalla ;- ;- ;;X ;5,985 ;68 ;;;- ;- ;315 ;- ;11,970 ;189 ;- ;30,240 ;- ;252 ;- ;- ;;17,955 ;- ;- ;X 126 ;;- ;- ;;100 ;10 ;270 ;12 ;450 ;180 ;900 ;G ;;;
Kyrketorp ;- ;X ;;X ;4,780 ;9 ;;;- ;- ;350 ;- ;5,950 ;150 ;X 450 ;14,200 ;- ;450 ;;- ;- ;19,120 ;5,000 ;-- ;- ;X 40 ;- ;- ;;64 ;4 ;218 ;6 ;302 ;72 ;270 ;;;- ;
Mofalla ;X - ;X X - ;;X - ;600 ;12 ;;;;- ;- ;- ;2,640 ;- ;- ;4,000 ;- ;30 ;- ;- ;- ;1,800 ;- ;- ;- ;5 ;- ;;- ;14 ;4 ;60 ;2 ;90 ;30 ;130 ;- ;20 ;- ;
Ryd ;X - ;- ;;X - ;1,890 ;- ;;;;- ;31 ;- ;3,042 ;- ;2,016 ;1,461 ;- ;397 ;- ;- ;- ;8,505 ;- ;- ;- ;- ;- ;4,800 ;- ;14 ;3 ;44 ;3 ;108 ;10 ;80 ;- ;;- ;
Sköfde landsförsamling ;- ;- ;;;1,800 ;- ;;;- ;- ;900 ;-- ;6,000 ;;- ;12,000 ;- ;375 ;- ;- ;;10,800 ;;- ;- ;- ;- ;;;70 ;15 ;150 ;4 ;290 ;140 ;;- ;100 ;;
Suntetorp och Sventorp ;- ;- ;;- ;5,040 ;X 120 ;- ;;- ;- ;825 ;- ;11,340 ;- ;- ;44,424 ;- ;320 ;- ;- ;;20,160 ;2,000 ;- ;X 250 ;- ;-- ;- ;- ;108 ;17 ;216 ;15 ;850 ;220 ;600 ;- ;230 ;- ;
Warola ;- ;;;;2,010 ;X 48 ;- ;;- ;- ;680 ;;6,453 ;- ;189 ;19,725 ;;643 ;- ;- ;;8,040 ;- ;- ;;- ;- ;- ;- ;54 ;2 ;215 ;5 ;535 ;190 ;275 ;- ;135 ;- ;
Wersis ;- ;- ;;;12,000 ;- ;- ;;- ;- ;900 ;;14,000 ;- ;- ;89,900 ;;400 ;- ;- ;- ;25,000 ;- ;- ;- ;- ;- ;- ;- ;84 ;6 ;270 ;12 ;642) ;188 ;600 ;- ;140 ;;





