Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1792 ;42.2 ;25.0 ;22.4 ;34.7 ;24.0 ;;36.6 ;23.9 ;20.0 ;
1793 ;43.8 ;25.6 ;19.4 ;34.1 ;22.1 ;;34.4 ;24.3 ;17.8 ;
1794 ;41.4 ;32.0 ;18.6 ;33.7 ;20.8 ;;33.8 ;23.6 ;16.4 ;
1795 ;42.1 ;23.6 ;15.8 ;32.3 ;22.6 ;15.5 ;32.0 ;27.9 ;15.2 ;
1796 ;39.7 ;23.4 ;16.8 ;31.5 ;21.5 ;15.7 ;34.7 ;24.7 ;17.2 ;
1797 ;41.2 ;20.2 ;16.4 ;32.7 ;22.4 ;16.2 ;34.8 ;23.8 ;16.9 ;
1798 ;38.6 ;22.0 ;15.2 ;32.3 ;22.6 ;16.6 ;33.7 ;23.1 ;16.6 ;
1799 ;38.7 ;27.6 ;15.4 ;32.5 ;20.9 ;15.7 ;32.0 ;25.2 ;14.7 ;





