Table: Table_1

23 ;Fresta ;21-000 ;20 ;- ;5 ;2 ;3 ;- ;8 ;6 ;1 ;17 ;2,814 ;13 ;884 ;28 ;1,198 ;117 ;222 ;33 ;20 ;13 ;- ;18 ;347 ;- ;114 ;117 ;930 ;165 ;1,145 ;- ;- ;- ;--- ;42 ;315 ;467 ;3,538 ;28 ;
24) ;Hammarby ;28-563 ;18 ;;3 ;3 ;2 ;;2 ;6 ;2 ;22 ;2,090 ;30 ;1,000 ;20 ;851 ;147 ;241 ;32 ;24 ;16 ;- ;23 ;391 ;- ;126 ;127 ;981 ;216 ;1,585 ;- ;- ;- ;- ;87 ;656 ;476 ;3,547 ;24 ;
;Vallentuna ;51-500 ;81 ;1 ;24 ;16 ;4 ;3 ;13 ;19 ;1 ;71 ;5,952 ;33 ;2,356 ;23 ;2,863 ;328 ;592 ;72 ;52 ;12 ;- ;21 ;950 ;- ;329 ;252 ;1,942 ;541 ;3,780 ;;- ;- ;- ;108 ;747 ;1,875 ;10,099 ;25 ;
;Vada ;17-500 12-250 ;14 16 ;1 ;2 ;4 7 ;- ;- - ;2 2 ;7 4 ;1 ;26 12 ;1,975 1,658 ;5 5 ;635 578 ;53 14 ;1,067 783 ;87 83 ;160 141 ;22 21 ;12 9 ;5 ;- ;4 6 ;257 232 ;- - ;88 82 ;86 80 ;636 575 ;131 128 ;972 880 ;- ;- ;- - ;- ;46 40 ;348 305 ;362 335 ;2,640 2,540 ;26 27 ;
28 ;Angarn Osseby-Garn ;46-500 ;48 ;1 ;13 ;14 ;6 ;1 ;5 ;7 ;1 ;61 ;11,054 ;21 ;2,359 ;59 ;7,042 ;329 ;622 ;70 ;43 ;16 ;- ;24 ;923 ;- ;339 ;319 ;2,314 ;478 ;3,375 ;- 10 ;55 ;- - ;- - ;145 ;1,040 ;1,421 ;10,685 ;28 ;
;Vallentuna härad ;177-818 ;197 ;3 ;47 ;46 ;15 ;4 ;27 ;49 ;6 ;209 ;25,043 ;107 ;7,812 ;197 ;13,804 ;1,091 ;1,978 ;250 ;160 ;66 ;- ;96 ;3,100 ;- ;1,071 ;981 ;7,878 ;1,659 ;11,737 ;10 ;55 ;- ;- ;468 ;3,411 ;4,436 ;33,049 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29 ;Börstil ;100958 ;423 ;41 ;358 ;8 ;- ;- ;12 ;3 ;1 ;217 ;21,595 ;28 ;2,789 ;2,758 ;11,691 ;476 ;682 ;85 ;132 ;19 ;5 ;18 ;884 ;- ;488 ;247 ;1,856 ;946 ;6,625 ;- ;- ;- ;- ;476 ;8,666 ;1,431 ;10,735 ;29 ;
;Edebo ;65-375 ;112 ;1 ;94 ;4 ;6 ;- ;4 ;3 ;;90 ;12,639 ;10 ;2,555 ;772 ;6,670 ;415 ;695 ;66 ;87 ;31 ;6 ;41 ;824 ;- ;390 ;157 ;1,179 ;862 ;6,037 ;- ;;- ;- ;274 ;2,119 ;1,642 ;12,318 ;30 ;
;Forsmark ;12-417 ;14 ;1 ;3 ;1 ;1 ;- ;5 ;3 ;;9 ;8,156 ;8 ;492 ;1.034 ;5,145 ;81 ;134 ;11 ;27 ;10 ;;4 ;136 ;- ;88 ;21 ;162 ;184 ;1,291 ;;;- ;- ;97 ;747 ;216 ;1,627 ;31 ;
32 ;Gräaö ;18:500 ;126 ;26 ;94 ;- ;- ;- ;5 ;1 ;- ;43 ;11,988 ;4 ;606 ;574 ;3,305 ;100 ;149 ;29 ;43 ;4 ;1 ;6 ;178 ;- ;96 ;47 ;355 ;227 ;1,585 ;- ;- ;- ;- ;101 ;780 ;357 ;2,680 ;32 ;
33 ;Harg ;47-625 ;88 ;;53 ;- ;1 ;- ;34 ;;- ;169 ;18,544 ;14 ;1,872 ;1,997 ;10,820 ;380 ;480 ;44 ;103 ;30 ;;18 ;525 ;- ;388 ;95 ;715 ;735 ;5,149 ;;;;- ;518 ;3,989 ;823 ;6,175 ;33 ;
84 ;Hökhufvud ;60-042 ;80 ;2 ;45 ;13 ;1 ;- ;18 ;1 ;;48 ;10,927 ;7 ;1,610 ;1,305 ;6,190 ;283 ;441 ;44 ;41 ;21 ;3 ;24 ;482 ;- ;271 ;105 ;790 ;622 ;4,358 ;- ;- ;- ;- ;305 ;2,345 ;600 ;4,510 ;34 ;
35 ;Valö ;46-750 ;129 ;2 ;80 ;5 ;- ;- ;86 ;5 ;1 ;78 ;17,137 ;13 ;1,880 ;1,918 ;8,673 ;342 ;526 ;50 ;78 ;15 ;5 ;18 ;521 ;- ;325 ;195 ;1,464 ;664 ;4,646 ;- ;- ;- ;- ;342 ;2,637 ;961 ;7,211 ;35 ;
;Frösakers härad ;851-667 ;972 ;73 ;727 ;31 ;9 ;- ;114 ;16 ;2 ;654 ;100,986 ;84 ;11,804 ;10,358 ;52,494 ;2,027 ;8,107 ;329 ;511 ;130 ;25 ;129 ;3,550 ;- ;1,996 ;867 ;6,521 ;4,240 ;29,691 ;- ;- ;- ;- ;2,113 ;16,276 ;6,030 ;45,256 ;;
36 ;Almunge ;56-750 ;99 ;1 ;50 ;9 ;3 ;- ;12 ;22 ;2 ;150 ;15,385 ;15 ;3,142 ;564 ;8,115 ;480 ;812 ;84 ;83 ;31 ;5 ;34 ;1,145 ;- ;468 ;304 ;2,283 ;930 ;6,512 ;50 ;256 ;- ;- ;316 ;2,530 ;1,678 ;11,746 ;36 ;
37 ;Knutby ;49-600 ;68 ;- ;35 ;4 ;2 ;- ;15 ;11 ;1 ;60 ;13,111 ;11 ;2,386 ;624 ;7,516 ;346 ;613 ;72 ;76 ;15 ;3 ;38 ;872 ;- ;351 ;170 ;1,280 ;698 ;4,889 ;- ;- ;- ;-- ;315 ;2,524 ;1.339 ;9,973 ;37 ;
38 ;Faringe ;31:875 ;59 ;- ;34 ;2 ;;- ;15 ;7 ;1 ;52 ;6,044 ;10 ;1,331 ;343 ;3,145 ;219 ;835 ;40 ;41 ;12 ;2 ;19 ;461 ;- ;202 ;133 ;989 ;414 ;2,898 ;;- ;- ;-- ;171 ;1,371 ;780 ;5,464 ;38 ;
39 ;Bladaker ;21-250 28.875 ;48 67 ;3 ;39 41 ;- ;1 2 ;- ;4 23 ;1 ;1 ;59 ;8,037 7,555 ;10 7 ;1,121 1,182 ;754 453 ;4,325 4,025 ;189 186 ;286 319 ;33 ;41 ;16 7 ;4 3 ;12 10 ;361 385 ;- ;179 186 ;89 91 ;672 ;384 374 ;2,692 ;- ;- ;- ;- ;189 ;1,513 ;574 762 ;4,025 ;39 40 ;
40 41 ;Ununge Edsbro ;28-088 ;95 ;7 ;79 ;4 ;- ;- - ;5 ;;- ;25 56 ;9,633 ;7 ;1,329 ;956 ;4,615 ;223 ;344 ;38 40 ;48 53 ;10 ;3 ;18 ;418 ;--- - ;220 ;111 ;680 836 ;372 ;2,618 2,610 ;- - ;- - ;- - ;- - ;130 176 ;1,042 1,411 ;822 ;5,337 5,753 ;41 ;
;Närdinghundra härad ;216-888 ;436 ;11 ;278 ;19 ;8 ;- ;74 ;41 ;5 ;402 ;59,765 ;60 ;10,491 ;8,694 ;31,741 ;1,643 ;2,709 ;007 ;342 ;91 ;20 ;131 ;3,649 ;- ;1,606 ;898 ;6,740 ;3,172 ;22,219 ;50 ;256 ;- ;- ;1,297 ;10,891 ;5,955 ;41,698 ;;
42 ;Väddö ;88-875 ;404 ;55 ;319 ;6 ;- ;- ;23 ;1 ;- ;333 ;13,892 ;26 ;1,888 ;2,358 ;7,001 ;347 ;495 ;68 ;123 ;9 ;3 ;15 ;490 ;- ;338 ;117 ;819 ;751 ;5,257 ;- ;- ;- ;- ;205 ;1,439 ;1,214 ;8,501 ;42 ;
43 ;Häfverö ;64:750 ;243 ;17 ;208 ;9 ;- ;- ;8 ;1 ;- ;113 ;13,127 ;20 ;1,684 ;1,192 ;7,065 ;293 ;405 ;57 ;78 ;16 ;2 ;15 ;497 ;- ;271 ;126 ;882 ;543 ;3,801 ;- ;- ;- ;- ;190 ;1,335 ;998 ;6,982 ;43 ;
44; ;Singö ;13:600 ;81 ;33 ;44 ;- ;- ;- ;4 ;;- ;34 ;3,355 ;4 ;294 ;276 ;1,750 ;64 ;81 ;11 ;18 ;1 ;1 ;2 ;54 ;- ;62 ;18 ;126 ;142 ;998 ;- ;- ;- ;- ;52 ;360 ;179 ;1,259 ;44 ;
;Vaddo och Häfverö skeppsing ;166-625 ;728 ;105 ;571 ;15 ;- ;- ;35 ;2 ;- ;480 ;80,874 ;50 ;8,816 ;8,826 ;15,816 ;704 ;981 ;136 ;219 ;26 ;6 ;32 ;1,041 ;- ;671 ;261 ;1,827 ;1,436 ;10,056 ;- ;- ;- ;- ;447 ;8,134 ;2,291 ;16,742 ;;
45 ;Söderby-Karl ;71:500 ;146 ;18 ;99 ;8 ;3 ;- ;15 ;3 ;;103 ;10,201 ;17 ;2,817 ;88 ;5,566 ;420 ;753 ;92 ;94 ;26 ;6 ;38 ;986 ;-- ;402 ;242 ;1,698 ;822 ;5,592 ;- ;- ;- ;- ;297 ;2,083 ;1,878 ;13,149 ;45 ;
;Estona ;74-000 ;108 ;10 ;67 ;10 ;3 ;- ;9 ;8 ;1 ;77 ;5,712 ;17 ;2,293 ;175 ;2,279 ;351 ;596 ;83 ;79 ;26 ;3 ;29 ;799 ;- ;327 ;186 ;1,304 ;700 ;4,760 ;- ;- ;- ;- ;247 ;1,781 ;1,401 ;9,811 ;46 ;
;Lohärad ;36-625 ;60 ;1 ;43 ;7 ;1 ;- ;7 ;1 ;- ;41 ;5,828 ;8 ;1,526 ;330 ;3,037 ;244 ;414 ;45 ;45 ;16 ;3 ;15 ;506 ;- ;238 ;124 ;871 ;468 ;3,185 ;-- ;- ;- ;- ;146 ;1,030 ;911 ;6,379 ;47 ;
;Malsta ;19-875 ;26 ;;20 ;3 ;- ;- ;3 ;;- ;13 ;1,366 ;4 ;585 ;30 ;562 ;89 ;156 ;17 ;18 ;4 ;;8 ;208 ;- ;84 ;43 ;307 ;183 ;1,249 ;- ;- ;- ;- ;47 ;325 ;423 ;2,963 ;48 ;
;Husby-Lyhundra ;47-750 ;70 ;2 ;53 ;2 ;1 ;- ;11 ;1 ;- ;26 ;4,414 ;7 ;1,507 ;27 ;2,183 ;215 ;386 ;54 ;42 ;11 ;4 ;26 ;565 ;- ;204 ;148 ;1,039 ;439 ;2,981 ;- ;- ;- ;- ;138 ;966 ;974 ;6,822 ;49 ;
;Lyhundra härad ;249-750 ;410 ;81 ;282 ;80 ;8 ;- ;45 ;13 ;1 ;260 ;27,521 ;53 ;8,728 ;650 ;13,627 ;1,819 ;2,306 ;291 ;278 ;83 ;17 ;116 ;3,064 ;- I ;1,255 ;743 ;5,219 ;2,612 ;17,767 ;- ;- ;- ;- ;875 ;6,135 ;5,587 ;89,124 ;;





