Table: Table_1

26) ;Vada ;351 ;1,855 ;173 ;1,300 ;28 ;175 ;;;;;318 ;960 ;;;;- ;30 ;25 ;8,900 ;- ;;-- ;;- ;- ;;- ;50 ;56 ;8 ;29 ;8 ;211 ;17 56 ;;53 ;;700 ;26 ;
87 ;Angarns , ;518 ;3,640 ;76 ;495 ;39 ;240 ;2 ;10 ;5 ;35 ;306 ;950 ;100 ;;;;25 ;20 ;9,700 ;- ;15 ;;50 ;;- ;;;150 ;53 ;8 ;48 ;13 ;176 ;49 69 ;;40 ;20 ;700 ;27 ;
88 ;Osseby-Garns , ;1,780 ;12,455 ;593 ;4,445 ;114 ;670 ;12 ;59 ;15 ;117 ;1,394 ;4,195 ;400 ;3 ;9 ;2 ;61 ;49 ;30,250 ;- ;17 ;- ;63 ;- ;- ;2 ;- ;100 ;265 ;21 ;113 ;23 ;795 ;168 283 ;---- ;156 ;64 ;2,100 ;188 ;
;Vallentuna härad ;5,526 ;38,100 ;1,808 ;13,530 ;386 ;2,315 ;27 ;134 ;37 ;297 ;5,170 ;15,905 ;780 ;4 ;II ;3 ;281 ;269 ;108,850 ;- ;47 ;- ;173 ;- ;- ;10 ;- ;520 ;777 ;75 ;418 ;90 ;2,537 ;388 868 ;- ;646 ;154 ;6,800 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
89 ;Börstils socken ;1,670 ;11,690 ;26 ;180 ;11 ;65 ;16 ;80 ;18 ;135 ;2,147 ;7,000 ;;22 ;40 ;20 ;22 ;12 ;21,000 ;- ;11 ;- ;15 ;- ;--- ;;- ;102 ;851 ;168 ;18 ;95 ;1,853 ;589 2,236 ;;542 ;15 ;1,800 ;29 ;
;Edebo ;1,389 ;9,830 ;265 ;1,860 ;190 ;910 ;17 ;80 ;48 ;350 ;918 ;2,710 ;3,100 ;11 ;17 ;13 ;53 ;53 ;27,000 ;- ;;- ;30 ;-- ;- ;1 ;- ;43 ;365 ;61 ;87 ;24 ;968 ;382 793 ;;282 ;29 ;1,500 ;(so ;
;Formmarks ;172 ;1,180 ;;63 ;5 ;30 ;1 ;4 ;3 ;22 ;235 ;700 ;;;;;5 ;3 ;8,150 ;- ;5 ;- ;10 ;- ;;2 ;- ;;100 ;11 ;23 ;16 ;441 ;199 88 ;-- ;119 ;3 ;600 ;31 ;
;Gräsö ;313 ;2,185 ;17 ;120 ;58 ;350 ;7 ;35 ;;;328 ;1,000 ;- ;4 ;9 ;4 ;4 ;23 ;4,400 ;- ;;;;;;;;55 ;156 ;23 ;;24 ;457 ;144 654 ;;130 ;e ;900 ;32 ;
;Hargs ;594 ;4,110 ;5 ;35 ;75 ;450 ;11 ;56 ;6 ;45 ;1,027 ;3,100 ;9,000 ;9 ;11 ;8 ;21 ;14 ;10,000 ;;;;10 ;- ;- ;;1 ;;435 ;124 ;41 ;40 ;800 ;428 1,109 ;;270 ;5 ;1,100 ;ss ;
