Table: Table_1

;1. ;40. ;41. ;42. ;43. ;44. ;45. Il ;46. ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56 ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;73 ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81 I ;82. ;83. 11. ;
24 ;Sk& ;325 ;2,439 ;76 ;535 ;4 ;23 ;25 ;175 ;1,264 ;5,056 ;10,400 ;;X - ;- ;47 ;31 ;7,722 ;- ;1 ;- ;1 ;2 ;0.8 ;100 ;106 ;12 ;58 ;19 ;359 ;67 ;56 ;- ;149 ;21 ;900 124 ;
;Färentuna härad ;2,208 ;16,572 ;522 ;3,680 ;22 ;122 ;186 ;1,304 ;10,103 ;40,421 ;84,516 ;- ;- ;- ;374 ;312 ;72,697 ;- ;11 ;- ;11 ;19 ;3:8 ;1,098 ;963 ;120 ;306 ;126 ;3,179 ;749 ;4S0 ;1 ;1.613 ;202 ;7,876 ;
25 ;Östra Ryd ;504 ;4,695 ;191 ;1,270 ;6 ;22 ;265 ;2,160 ;3,720 ;15,750 ;18,350 ;- ;- ;- ;78 ;90 ;15,235 ;- ;- ;- ;1 ;8 ;4 ;80 ;270 ;25 ;10 ;34 ;780 ;165 ;137 ;- ;543 ;83 ;1.160 25 ;
26 ;Täby ;342 ;2.685 ;80 ;655 ;3 ;18 ;320 ;2.505 ;1,029 ;4,644 ;31,620 ;- ;- ;- ;77 ;68 ;17,555 ;- ;- ;- ;35 ;10 ;10 ;165 ;262 ;26 ;14 ;31 ;786 ;155 ;39 ;1 ;390 ;63 ;1,155 26 ;
27 ;Danderyd ;312 ;2,500 ;18 ;145 ;2 ;7 ;67 ;502 ;633 ;3,145 ;10,100 ;;- ;- ;33 ;10 ;7,282 ;- ;- ;-- ;;;;428 ;130 ;6 ;16 ;8 ;413 ;8 ;- ;- ;847 ;21 ;1,330 27 ;
28 ;Lidingö köping ;263 ;2,010 ;15 ;100 ;2 ;8 ;40 ;303 ;659 ;2,388 ;5,150 ;- ;- ;- ;21 ;5 ;6.850 ;;- ;- ;1 ;1 ;1 ;250 ;114 ;;2 ;10 ;268 ;19 ;- ;- ;71 ;10 ;1,095 28 ;
29 ;Solna ;53 ;413 ;13 ;97 ;1 ;4 ;28 ;215 ;516 ;2,285 ;3,015 ;- ;- ;- ;16 ;5 ;7,070 ;555 ;- ;- ;- ;- ;- ;210 ;300 ;3 ;6 ;4 ;247 ;8 ;- ;-- ;732 ;25 ;1,140 29 ;
;Danderyds skeppslag ;1,474 ;12,303 ;317 ;2,267 ;14 ;54 ;720 ;5,685 ;6,557 ;28,212 ;68,235 ;- ;- ;- ;225 ;178 ;53,992 ;555 ;- ;- ;37 ;19 ;15 ;1,133 ;1,076 ;60 ;48 ;87 ;2,494 ;355 ;176 ;1 ;2,083 ;202 ;5,880 ;
30 ;Österâker ;666 ;4,995 ;174 ;1,218 ;4 ;21 ;100 ;702 ;2,291 ;6,873 ;2,510 ;- ;- ;- ;99 ;72 ;23,704 ;- ;1 ;- ;1 ;20 ;0.5 ;225 ;404 ;47 ;67 ;34 ;1,223 ;412 ;413 ;- ;345 ;51 ;2,120 30 ;
31) ;Riala ;263 ;1,972 ;95 ;665 ;5 ;27 ;23 ;163 ;1,165 ;3,495 ;3,000 ;X 2 ;5 ;3 ;39 ;33 ;7,840 ;- ;- ;- ;4 ;2 16 ;- 07 ;45 ;225 102 ;39 ;22 ;13 ;692 ;205 ;260 ;- ;173 ;14 ;1,070 31 32 ;
32 ;Roslags-Kulla ;277 ;2,079 ;34 ;239 ;3 ;15 ;15 ;110 ;480 ;1,445 ;504 ;;;;26 ;14 ;4,860 ;- ;- ;- ;;;;62 ;;7 ;36 ;3 ;326 ;145 ;79 ;- ;118 ;10 ;500 ;
33 ;Ljusterö ;137 ;10,275 ;118 ;830 ;6 ;34 ;11 ;79 ;1,590 ;4,778 ;1,502 ;X 2 ;4 ;X 4 ;48 ;35 ;9,603 ;- ;X 2 ;- ;- ;-- ;- ;74 ;227 ;21 ;38 ;27 ;677 ;257 ;430 ;- ;222 ;21 ;1,750 33 ;
;Äkers skeppslag ;1,343 ;19,321 ;421 ;2,952 ;18 ;97 ;149 ;1,054 ;5,526 ;16,591 ;7,516 ;X 4 ;9 ;X 7 ;212 ;154 ;45,507 ;- ;3 ;- ;5 ;38 ;1:2 ;406 ;958 ;114 ;163 ;77 ;2.918 ;1,019 ;1,182 ;- ;858 ;96 ;5,440 ;
34 ;Värmdö ;207 ;1,552 ;94 ;661 ;-- ;- ;6 ;46 ;2,559 ;7,677 ;12.500 ;- ;- ;- ;116 ;42 ;29,980 ;- ;6 ;- ;X 49 ;22 ;44 ;324 ;381 ;38 ;92 ;67 ;1,238 ;381 ;391 ;- ;943 ;34 ;2,734 34 ;
85 ;Gustafsberg ;15 ;114 ;5 ;35 ;- ;- ;- ;- ;170 ;512 ;5,007 ;- ;- ;- ;10 ;;4,803 ;- ;4 ;;20 ;;;123 ;63 ;3 ;36 ;6 ;199 ;19 ;4 ;2 ;36 ;7 ;1,310 35 ;
