Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1915 ;;;;;;;30.9 ;22.1 ;12.5 ;21.6 ;14.7 ;11.7 ;
1916 ;;;;;;;29.1 ;21.4 ;13.3 ;21.2 ;13.6 ;12.2 ;
1917 ;;;;;;;29.0 ;22.5 ;13.7 ;20.9 ;13.4 ;12.3 ;
1918 ;;;;;;;29.3 ;33.3 ;13.5 ;20.3 ;18.0 ;13.3 ;
1919 ;. ;;;... ;;;27.9 ;23.0 ;15.9 ;19.8 ;14.5 ;13.8 ;
1920 ;30.9 ;;;;;;29.5 ;23.4 ;16.6 ;23.6 ;13.3 ;14.6 ;
1921 ;32.6 ;;;;;;30.5 ;21.4 ;15.5 ;21.5 ;12.4 ;13.3 ;
1922 ;33.421 ;;;;;;30.5 ;20.5 ;15.2 ;19.6 ;12.8 ;12.3 ;
1923 ;38.8 ;;;;;;30.5 ;20.7 ;14.5 ;18.9 ;11.4 ;12.6 ;
1924 ;43.1 ;;;;;;29.7 ;19.6 ;14.4 ;18.1 ;12.0 ;12.4 ;
1925 ;44.7 ;;;. ;;;29.1 ;19.2 ;14.3 ;17.6 ;11.7 ;12.4 ;
1926 ;43.6 ;19.9 ;;;;;29.6 ;18.8 ;14.5 ;16.8 ;11.8 ;12.6 ;
1927 ;43.221 ;20.821 ;;;;;28.1 ;18.6 ;14.1 ;16.1 ;12.7 ;12.8 ;
1928 ;44.3 ;23.3 ;;;;;29.1 ;18.1 ;14.9 ;16.1 ;12.0 ;13.3 ;
1929 ;;;;;;;28.3 ;17.6 ;14.6 ;15.2 ;12.2 ;13.7 ;
1930 ;;;;. ;;;28.3 ;16.9 ;14.9 ;15.4 ;11.7 ;14.3 ;
1931 ;;;;;;;27.6 ;17.4 ;14.9 ;14.8 ;12.5 ;13.9 ;
1932 ;;;;;;;28.2 ;16.4 ;13.3 ;14.5 ;11.6 ;13.5 ;
1933 ;;;;;;;27.7 ;16.4 ;12.3 ;13.7 ;11.2 ;14.0 ;
1934 ;;;;;;;26.2 ;16.0 ;12.0 ;13.7 ;11.2 ;15.5 ;
1935 ;30.121 ;;;;;;25.7 ;15.7 ;12.3 ;13.8 ;11.7 ;16.4 ;
1936 ;33.621 ;;;;;;24.7 ;16.7 ;11.2 ;14.2 ;12.0 ;17.0 ;
1937 ;38.7 ;18.9 ;;;;;22.6 ;18.9 ;11.4 ;14.4 ;12.0 ;17.7 ;
1938 ;37.5 ;17.5 ;;;;;20.0 ;19.2 ;8.9 ;14.9 ;11.5 ;18.5 ;
1939 ;36.5 ;17.3 ;;;;;16.5 ;18.4 ;11.3 ;15.4 ;11.5 ;19.4 ;
1940 ;31.2 ;18.3 ;;;;;24.4 ;16.5 ;16.8 ;15.1 ;11.4 ;18.6 ;
1941 ;;;;;;;19.6 ;18.6 ;14.6 ;15.6 ;11.3 ;18.2 ;
1942 ;;;;;;;20.2 ;14.7 ;14.3 ;17.7 ;9.9 ;19.8 ;
1943 ;;;;;;;22.9 ;13.2 ;13.2 ;19.3 ;10.2 ;19.4 ;
1944 ;;;;. ;;;22.5 ;13.0 ;14.1 ;20.6 ;11.0 ;19.7 ;
1945 ;;;;;;;23.1 ;12.2 ;14.4 ;20.4 ;10.8 ;19.4 ;
1946 ;23.8 ;10.8 ;;;;;21.4 ;12.9 ;15.0 ;19.7 ;10.5 ;19.0 ;
1947 ;;;;;;;21.4 ;12.0 ;16.5 ;18.9 ;10.8 ;17.5 ;
1948 ;;;;;;;23.1 ;10.9 ;15.6 ;18.4 ;9.8 ;16.9 ;
1949 ;;;;;;;21.5 ;11.4 ;14.2 ;17.4 ;10.0 ;15.9 ;





