Table: Table_1

;Seminghundra härad ;2,866 ;21,510 ;498 ;3,742 ;33 ;173 ;259 ;1,664 ;5,449 ;17,411 ;3,012 ;4 ;10 ;8 ;270 ;268 ;75,543 ;- ;10 ;- ;21 ;14 ;- ;311 ;1,045 ;133 ;273 ;120 ;3,748 ;744 ;971 ;- ;993 ;98 ;4,505 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Fresta ;209 ;1,603 ;50 ;366 ;3 ;13 ;60 ;445 ;494 ;1,758 ;7,195 ;- ;- ;- ;34 ;22 ;7,480 ;- ;- ;- ;- ;10 ;8 ;10 ;112 ;9 ;10 ;18 ;368 ;78 ;61 ;- ;95 ;34 ;785 ;23 ;
;Hammarby ;318 ;2,375 ;55 ;411 ;2 ;12 ;45 ;350 ;605 ;2,034 ;8,035 ;- ;- ;- ;44 ;32 ;8,950 ;- ;;-- ;;1 ;1 ;33 ;151 ;13 ;12 ;12 ;393 ;91 ;53 ;- ;118 ;5 ;645 ;24 ;
;Vallentuna ;639 ;4.681 ;112 ;935 ;3 ;15 ;112 ;789 ;1,472 ;4,251 ;5,880 ;- ;- ;- ;93 ;72 ;23,083 ;-- ;1 ;- ;2 ;4 ;- ;62 ;265 ;36 ;41 ;26 ;912 ;166 ;137 ;- ;334 ;42 ;1,437 ;25 ;
;Vada ;184 ;1,863 ;36 ;281 ;8 ;13 ;80 ;220 ;292 ;956 ;3,035 ;- ;- ;- ;27 ;21 ;5,735 ;- ;- ;- ;- ;- ;- ;- ;58 ;8 ;14 ;8 ;279 ;46 ;57 ;- ;65 ;- ;327 ;26 ;
;Angarn ;152 ;1.129 ;31 ;244 ;1 ;4 ;35 ;244 ;230 ;938 ;2,245 ;- ;- ;- ;24 ;17 ;6,335 ;- ;- ;- ;- ;;- ;;66 ;8 ;13 ;8 ;236 ;86 ;24 ;- ;72 ;- ;315 ;27 ;
28 ;Össeby-Garn ;826 ;5,680 ;109 ;857 ;6 ;31 ;102 ;756 ;1,117 ;3,403 ;9,630 ;- ;- ;- ;96 ;77 ;24,985 ;- ;- ;- ;- ;10 ;- ;55 ;279 ;23 ;42 ;35 ;989 ;188 ;201 ;- ;266 ;18 ;1.215 ;28 ;
;Vallentana härad ;2,328 ;16,831 ;393 ;3,094 ;18 ;88 ;884 ;2,804 ;4,210 ;13,340 ;36,020 ;- ;- ;- ;818 ;241 ;76,568 ;- ;1 ;- ;2 ;25 ;9 ;160 ;931 ;97 ;132 ;102 ;3,177 ;605 ;533 ;- ;950 ;99 ;4.724 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
