Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1864 ;40.6 ;30.1 ;16.5 ;32.1 ;23.7 ;15.1 ;;;;30.1 ;23.2 ;11.3 ;
1865 ;38.0 ;30.5 ;15.6 ;31.6 ;24.7 ;15.2 ;;;;31.1 ;23.0 ;17.8 ;
1866 ;37.9 ;40.8 ;13.0 ;31.7 ;30.3 ;15.2 ;;;;32.0 ;20.2 ;16.8 ;
1867 ;36.8 ;29.4 ;19.4 ;32.6 ;21.9 ;15.8 ;;;;30.3 ;19.8 ;15.3 ;
1868 ;38.1 ;28.7 ;18.4 ;31.9 ;22.0 ;14.8 ;;;;31.0 ;19.2 ;14.6 ;
1869 ;39.6 ;29.0 ;20.8 ;32.0 ;22.1 ;15.0 ;;;;29.3 ;19.0 ;14.7 ;
1870 ;39.8 ;29.4 ;19.6 ;32.7 ;23.6 ;14.0 ;;;;30.3 ;19.0 ;14.7 ;
1871 ;38.7, ;29.89 ;18.89 ;31.2 ;28.1 ;14.7 ;;;;30.1 ;19.4 ;14.6 ;
1872 ;38.9 ;32.6 ;18.6 ;32.7 ;23.5 ;15.7 ;;;;30.3 ;18.4 ;15.0 ;
1873 ;39.6 ;38.9 ;18.8 ;33.0 ;21.8 ;15.7 ;;;;30.8 ;18.6 ;16.2 ;
1874 ;39.6 ;31.7 ;18.0 ;33.1 ;20.9 ;15.4 ;;;;30.9 ;20.0 ;16.4 ;
1875 ;39.8 ;30.0 ;17.0 ;32.9 ;22.9 ;14.6 ;;;;31.9 ;21.0 ;17.0 ;
1876 ;40.0 ;29.8 ;16.6 ;32.7 ;21.6 ;14.1 ;;;;32.6 ;19.7 ;17.1 ;
1877 ;38.5 ;31.5 ;15.0 ;32.8 ;21.4 ;13.7 ;;;;32.3 ;18.7 ;16.1 ;
1878 ;38.4 ;31.6 ;15.2 ;31.9 ;21.7 ;13.5 ;;;;31.6 ;18.4 ;14.8 ;
1879 ;39.1 ;29.9 ;15.4 ;31.9 ;22.1 ;12.2 ;;;;31.9 ;19.7 ;14.7 ;
1880 ;37.5 ;29.7 ;15.2 ;31.0 ;22.3 ;14.1 ;;;;31.7 ;20.4 ;15.2 ;
1881 ;37.5 ;30.5 ;16.0 ;31.8 ;21.2 ;14.3 ;33.7 ;16.4 ;20.2 ;32.2 ;18.3 ;15.6 ;
1882 ;39.0 ;30.8 ;16.4 ;31.6 ;20.5 ;14.0 ;36.7 ;19.1 ;19.4 ;32.3 ;19.2 ;15.4 ;
1883 ;38.1 ;30.1 ;15.6 ;30.9 ;21.1 ;13.7 ;38.5 ;19.8 ;19.8 ;31.8 ;18.4 ;15.4 ;
1884 ;38.6 ;29.3 ;15.8 ;30.9 ;21.2 ;13.6 ;38.5 ;17.2 ;17.6 ;33.3 ;18.3 ;15.6 ;
1885 ;37.5 ;30.1 ;15.2 ;30.3 ;21.4 ;13.8 ;37.6 ;16.7 ;13.2 ;32.5 ;17.8 ;15.1 ;
1886 ;37.9 ;29.4 ;15.6 ;29.9 ;21.3 ;13.5 ;32.6 ;19.2 ;18.4 ;32.4 ;18.1 ;14.2 ;
1887 ;38.2 ;28.9 ;15.6 ;29.7 ;19.3 ;14.4 ;38.410 ;18.210 ;18.610 ;31.7 ;18.2 ;14.0 ;
1888 ;37.8 ;29.2 ;15.8 ;29.4 ;20.3 ;14.2 ;37.7 ;18.2 ;16.6 ;31.5 ;19.5 ;14.2 ;
1889 ;37.8 ;27.3 ;15.0 ;29.4 ;19.8 ;14.5 ;36.7 ;18.5 ;16.0 ;31.2 ;18.5 ;14.2 ;
1890 ;36.2 ;29.1 ;15.0 ;29.0 ;20.8 ;14.6 ;35.1 ;21.1 ;18.2 ;30.5 ;19.0 ;13.8 ;
1891 ;38.2 ;28.0 ;15.4 ;30.0 ;21.2 ;15.0 ;39.1 ;26.7 ;18.2 ;31.0 ;20.0 ;13.6 ;
1892 ;36.0 ;28.8 ;15.6 ;28.9 ;21.8 ;15.4 ;36.0 ;31.6 ;16.8 ;29.6 ;19.5 ;13.5 ;
1893 ;37.9 ;27.1 ;15.8 ;29.5 ;20.3 ;15.2 ;35.0 ;27.6 ;13.2 ;30.8 ;19.0 ;14.0 ;
1894 ;36.6 ;27.8 ;15.8 ;29.0 ;18.6 ;15.0 ;38.0 ;27.4 ;15.8 ;30.4 ;17.6 ;13.8 ;
1895 ;37.9 ;27.5 ;16.0 ;28.5 ;19.5 ;15.5 ;40.7 ;26.5 ;18.4 ;30.3 ;16.9 ;14.1 ;
1896 ;37.8 ;26.2 ;15.8 ;29.0 ;17.5 ;16.2 ;41.4 ;24.3 ;16.8 ;30.5 ;15.7 ;14.5 ;
1897 ;37.2 ;25.5 ;16.0 ;29.0 ;17.2 ;16.5 ;42.5 ;25.6 ;16.6 ;29.8 ;16.6 ;14.9 ;
1898 ;36.0 ;24.8 ;15.8 ;28.6 ;17.6 ;16.6 ;39.4 ;23.1 ;15.8 ;30.2 ;15.5 ;15.1 ;
1899 ;36.8 ;25.2 ;16.4 ;28.8 ;18.8 ;16.5 ;40.7 ;24.8 ;17.6 ;29.7 ;17.3 ;15.0 ;





